"BitcoiDaysDestroyed","seasonal","trend","remainder"
0,-748457.488507708,553899.285656532,194558.202851176
0,-327306.157993221,483758.292758298,-156452.134765078
0,-327306.157993221,413617.299860065,-86311.1418668444
0,-327306.157993221,346972.469293966,-19666.3113007456
0,-327306.157993221,280327.638727868,46978.5192653531
0,-58296.6598578463,218001.812538545,-159705.152680698
0,-58296.6598578463,155675.986349222,-97379.3264913753
0,-58296.6598578463,130845.603018779,-72548.9431609322
0,-58296.6598578463,106015.219688335,-47718.5598304891
153,-213642.916257114,89407.4611786556,124388.455078459
15,-213642.916257114,72799.7026689758,140858.213588138
0,-213642.916257114,72346.7621044494,141296.154152665
750,-213642.916257114,71893.821539923,142499.094717191
164,-320713.161700137,81287.8584459968,239589.30325414
243,-320713.161700137,90681.8953520706,230274.266348066
0,-320713.161700137,71476.297962455,249236.863737682
335,-320713.161700137,52270.7005728393,268777.461127298
3071,-73881.8904904657,-7843.16339558668,84796.0538860524
1854,-73881.8904904657,-67957.0273640127,143692.917854478
1963,-73881.8904904657,-144337.766947215,220182.657437681
695,-73881.8904904657,-220718.506530417,295295.397020883
3294,-231456.060109313,-308310.551588212,543060.611697525
88,-231456.060109313,-395902.596646007,627446.65675532
0,-231456.060109313,-463396.08276336,694852.142872673
3328,-231456.060109313,-530889.568880712,765673.628990026
0,-29424.1857826606,-550322.209114866,579746.394897527
0,-29424.1857826606,-569754.84934902,599179.03513168
1492,-29424.1857826606,-550466.079950943,581382.265733603
0,-29424.1857826606,-531177.310552865,560601.496335526
12416,203986.919863757,-510679.998954025,319109.079090268
0,203986.919863757,-490182.687355185,286195.767491428
920,203986.919863757,-460941.347996959,257874.428133202
826,203986.919863757,-431700.008638732,228539.088774976
0,-180471.049634796,-417224.163497902,597695.213132698
0,-180471.049634796,-402748.318357071,583219.367991867
10977,-180471.049634796,-401051.503814727,592499.553449524
7863,-180471.049634796,-399354.689272384,587688.73890718
13601,-115053.722808274,-387143.058296095,515797.781104369
0,-115053.722808274,-374931.427319807,489985.15012808
994,-115053.722808274,-342730.623588502,458778.346396776
198,-115053.722808274,-310529.819857198,425781.542665472
0,-70827.8533076928,-273497.516634776,344325.369942469
0,-70827.8533076928,-236465.213412354,307293.066720047
3695,-70827.8533076928,-189731.581490342,264254.434798035
0,-70827.8533076928,-142997.94956833,213825.802876023
6309,-189343.863221396,-131227.065780194,326879.92900159
0,-189343.863221396,-119456.181992057,308800.045213453
0,-189343.863221396,-117357.997960572,306701.861181968
2555,-189343.863221396,-115259.813929088,307158.677150484
0,34442.7926778751,-135889.471784436,101446.679106561
1979,34442.7926778751,-156519.129639785,124055.33696191
0,34442.7926778751,-203730.938685581,169288.146007706
0,34442.7926778751,-250942.747731378,216499.955053503
0,53122.1419881,-342816.568625653,289694.426637553
0,53122.1419881,-434690.389519929,381568.247531829
0,53122.1419881,-589365.688141489,536243.546153389
9922,53122.1419881,-744040.986763048,700840.844774948
1334,-222593.88421986,-913822.719632214,1137750.60385207
0,-222593.88421986,-1083604.45250138,1306198.33672124
1606,-222593.88421986,-1191587.94912988,1415787.83334974
0,-222593.88421986,-1299571.44575837,1522165.32997823
5182,-125232.400294294,-1331595.02900313,1462009.42929743
929,-125232.400294294,-1363618.61224789,1489780.01254218
0,-125232.400294294,-1348112.76840083,1473345.16869513
5562,-125232.400294294,-1332606.92455378,1463401.32484807
0,-31864.4661362589,-1300470.66432771,1332335.13046397
0,-31864.4661362589,-1268334.40410165,1300198.87023791
0,-31864.4661362589,-1244272.40748726,1276136.87362352
546,-31864.4661362589,-1220210.41087288,1252620.87700914
2757,-229826.563177173,-1198693.04860662,1431276.6117838
0,-229826.563177173,-1177175.68634037,1407002.24951754
0,-229826.563177173,-1161894.24755892,1391720.81073609
19202,-229826.563177173,-1146612.80877746,1395641.37195464
0,112079.173271875,-1099061.57978249,986982.40651061
0,112079.173271875,-1051510.35078751,939431.177515633
2772,112079.173271875,-1010143.64455836,900836.471286482
1518,112079.173271875,-968776.938329205,858215.76505733
0,319717.898264916,-960683.485103388,640965.586838472
4032,319717.898264916,-952590.03187757,636904.133612655
0,319717.898264916,-929125.37767472,609407.479409804
0,319717.898264916,-905660.72347187,585942.825206954
0,544162.395665872,-850616.061126877,306453.665461005
5792,544162.395665872,-795571.398781883,257201.003116012
0,544162.395665872,-728901.815456753,184739.419790881
4738,544162.395665872,-662232.232131622,122807.83646575
0,844504.513237857,-595251.370945235,-249253.142292623
0,844504.513237857,-528270.509758847,-316234.00347901
5369,844504.513237857,-476411.67839922,-362723.834838637
0,844504.513237857,-424552.847039594,-419951.666198264
0,428919.226258144,-411866.514342124,-17052.7119160201
0,428919.226258144,-399180.181644654,-29739.0446134897
0,428919.226258144,-430124.294860589,1205.06860244449
0,428919.226258144,-461068.408076523,32149.1818183787
3391,483308.391201445,-498703.357924586,18785.9667231413
0,483308.391201445,-536338.307772649,53029.9165712046
0,483308.391201445,-545305.060686678,61996.6694852331
0,483308.391201445,-554271.813600706,70963.4223992616
0,599013.482655771,-543653.250866034,-55360.2317897371
954,599013.482655771,-533034.688131361,-65024.7945244098
0,599013.482655771,-502906.195660482,-96107.2869952889
3869,599013.482655771,-472777.703189603,-122366.779466168
0,746734.951130219,-378216.043875864,-368518.907254355
0,746734.951130219,-283654.384562124,-463080.566568094
0,746734.951130219,-144641.957425458,-602092.993704761
0,746734.951130219,-5629.53028879063,-741105.420841428
2815,663072.58457081,110895.057108338,-771152.641679148
2822,663072.58457081,227419.644505467,-887670.229076277
52981,663072.58457081,324035.768956503,-934127.353527312
49490,663072.58457081,420651.893407538,-1034234.47797835
0,301253.822941516,474461.879846833,-775715.70278835
0,301253.822941516,528271.866286129,-829525.689227645
0,301253.822941516,522489.950432087,-823743.773373604
0,301253.822941516,516708.034578046,-817961.857519562
3157,720233.512259966,527507.348999218,-1244583.86125918
0,720233.512259966,538306.663420389,-1258540.17568036
0,720233.512259966,596157.192737623,-1316390.70499759
0,720233.512259966,654007.722054858,-1374241.23431482
5289,588702.707973284,717871.423477166,-1301285.13145045
0,588702.707973284,781735.124899474,-1370437.83287276
461,588702.707973284,835490.180865147,-1423731.88883843
4408,588702.707973284,889245.23683082,-1473539.9448041
82,190038.643764324,934199.874341354,-1124156.51810568
5511,190038.643764324,979154.511851888,-1163682.15561621
1261,190038.643764324,1014765.34253275,-1203542.98629707
0,190038.643764324,1050376.17321361,-1240414.81697794
0,410975.087492213,1078083.88024915,-1489058.96774137
0,410975.087492213,1105791.58728469,-1516766.67477691
0,410975.087492213,1116914.16392161,-1527889.25141382
190,410975.087492213,1128036.74055852,-1538821.82805073
0,325893.417458348,1138670.06707181,-1464563.48453015
