"BitcoinDaysDestroyedCumulative","seasonal","trend","remainder"
0,-66105728.2032592,67885183.7954998,-1779455.59224059
0,-61949110.9766039,64064042.565045,-2114931.58844109
0,-61949110.9766039,60242901.3345901,1706209.64201377
0,-61949110.9766039,56407314.9742977,5541796.00230615
0,-61949110.9766039,52571728.6140054,9377382.36259852
0,-57736751.9169322,48719471.4230146,9017280.49391754
0,-57736751.9169322,44867214.2320239,12869537.6849083
0,-57736751.9169322,40981676.2965342,16755075.620398
0,-57736751.9169322,37096138.3610445,20640613.5558877
153,-53975761.6664605,33087000.5010453,20888914.1654151
168,-53975761.6664605,29077862.6410462,24898067.0254143
168,-53975761.6664605,24974066.623808,29001863.0426524
918,-53975761.6664605,20870270.6065698,33106409.0598906
1082,-51052946.3206083,17047686.7699849,34006341.5506234
1325,-51052946.3206083,13225102.9334,37829168.3872083
1325,-51052946.3206083,9341722.53791417,41712548.7826941
1660,-51052946.3206083,5458342.14242828,45596264.17818
4731,-47117467.8064918,1362123.53707903,45760075.2694128
6585,-47117467.8064918,-2734095.06827022,49858147.874762
8548,-47117467.8064918,-6968616.79301522,54094632.5995071
9243,-47117467.8064918,-11203138.5177602,58329849.3242521
12537,-42979777.3014292,-15598144.3830695,58590458.6844987
12625,-42979777.3014292,-19993150.2483787,62985552.5498079
12625,-42979777.3014292,-24277665.9847451,67270068.2861743
15953,-42979777.3014292,-28562181.7211115,71557912.0225407
15953,-39589918.9410474,-32807820.1764495,72413692.1174968
15953,-39589918.9410474,-37053458.6317875,76659330.5728348
17445,-39589918.9410474,-41254367.9798977,80861731.9209451
17445,-39589918.9410474,-45455277.328008,85062641.2690554
29861,-36508633.4023909,-49567853.0786182,86106347.4810091
29861,-36508633.4023909,-53680428.8292285,90218923.2316194
30781,-36508633.4023909,-57817225.7770865,94356640.1794774
31607,-36508633.4023909,-61954022.7249446,98494263.1273354
31607,-31223486.4039255,-66225102.1264226,97480195.5303481
31607,-31223486.4039254,-70496181.5279007,101751274.931826
42584,-31223486.4039254,-74898314.9790715,106164385.382997
50447,-31223486.4039254,-79300448.4302424,110574381.834168
64048,-25958994.296425,-83753029.1659456,109776071.462371
64048,-25958994.296425,-88205609.9016489,114228652.198074
65042,-25958994.296425,-92712085.6578803,118736121.954305
65240,-25958994.296425,-97218561.4141116,123242795.710537
65240,-22868077.8320362,-101869600.216335,124802918.048371
65240,-22868077.8320362,-106520639.018558,129453956.850594
68935,-22868077.8320362,-111233422.972119,134170435.804155
68935,-22868077.8320362,-115946206.925679,138883219.757715
75244,-19083565.6216682,-120595717.728125,139754527.349793
75244,-19083565.6216682,-125245228.53057,144404038.152238
75244,-19083565.6216682,-129714860.453857,148873670.075525
77799,-19083565.6216682,-134184492.377143,153345856.998812
77799,-14603997.8067569,-138465151.9953,153146948.802056
79778,-14603997.8067569,-142745811.613456,157429587.420213
79778,-14603997.8067569,-146757298.057244,161441073.864001
79778,-14603997.8067569,-150768784.501032,165452560.307789
79778,-10488627.5682796,-157021000.81312,167589406.3814
79778,-10488627.5682796,-163273217.125208,173841622.693488
79778,-10488627.5682796,-169176849.063711,179745254.631991
89700,-10488627.5682796,-175080481.002214,185658808.570494
91034,-7152283.84566931,-181267646.997491,188510964.843161
91034,-7152283.84566931,-187454812.992769,194698130.838438
92640,-7152283.84566931,-194701607.558932,201946531.404601
92640,-7152283.84566931,-201948402.125095,209193325.970765
97822,-4078664.55571323,-207285005.338049,211461491.893762
98751,-4078664.55571323,-212621608.551002,216799024.106715
98751,-4078664.55571323,-217986098.585759,222163514.141473
104313,-4078664.55571323,-223350588.620517,227533566.17623
104313,-1044032.13079948,-230710110.451554,231858455.582354
104313,-1044032.13079948,-238069632.282592,239217977.413391
104313,-1044032.13079948,-244692184.619287,245840529.750087
104859,-1044032.13079948,-251314736.955983,252463628.086782
107616,4084499.84081517,-257716992.399354,253740108.558539
107616,4084499.84081517,-264119247.842725,260142364.00191
107616,4084499.84081517,-270916552.664642,266939668.823827
126818,4084499.84081517,-277713857.486559,273756175.645744
126818,9653798.68340436,-282161288.903097,272634308.219693
126818,9653798.68340436,-286608720.319636,277081739.636231
129590,9653798.68340436,-291132475.531394,281608266.84799
131108,9653798.68340436,-295656230.743153,286133540.059748
131108,13164909.460962,-299988541.780643,286954740.319681
135140,13164909.460962,-304320852.818134,291291083.357172
135140,13164909.460962,-308505633.580011,295475864.119049
135140,13164909.460962,-312690414.341888,299660644.880926
135140,16913704.9569756,-316570023.778252,299791458.821276
140932,16913704.9569756,-320449633.214616,303676860.257641
140932,16913704.9569756,-324030713.716204,307257940.759228
145670,16913704.9569756,-327611794.217792,310843759.260816
145670,21666654.4891971,-332349457.252977,310828472.763779
145670,21666654.4891971,-337087120.288161,315566135.798964
151039,21666654.4891971,-341579110.478362,320063494.989165
151039,21666654.4891971,-346071100.668562,324555485.179365
151039,26459607.9041163,-350741375.483108,324432806.578992
151039,26459607.9041163,-355411650.297654,329103081.393538
151039,26459607.9041163,-360458448.322236,334149879.418119
151039,26459607.9041163,-365505246.346817,339196677.442701
154430,31341844.9474684,-369872300.33658,338684885.389111
154430,31341844.9474684,-374239354.326342,343051939.378873
154430,31341844.9474684,-378800941.095731,347613526.148263
154430,31341844.9474684,-383362527.86512,352175112.917652
154430,35866543.7865194,-388318013.798026,352605900.011506
155384,35866543.7865194,-393273499.730931,357562339.944412
155384,35866543.7865194,-397750767.138435,362039607.351915
159253,35866543.7865194,-402228034.545939,366520743.759419
159253,39819524.6349919,-406189700.752662,366529429.11767
159253,39819524.6349919,-410151366.959385,370491095.324393
159253,39819524.6349919,-413896449.041934,374236177.406942
159253,39819524.6349919,-417641531.124483,377981259.489491
162068,43455046.5335998,-420537454.385917,377244475.852318
164890,43455046.5335998,-423433377.647352,380143221.113752
217871,43455046.5335998,-425566233.925444,382329058.391844
267361,43455046.5335998,-427699090.203536,384511404.669936
267361,46967151.1755457,-429277659.786145,382577869.610599
267361,46967151.1755457,-430856229.368754,384156439.193208
267361,46967151.1755457,-250801516.635144,204101726.459599
267361,46967151.1755457,-70746803.9015347,24047013.725989
270518,51254428.9988471,16651351.1372254,-67635262.1360725
270518,51254428.9988471,104049506.175985,-155033417.174833
270518,51254428.9988471,307160639.112127,-358144550.110974
270518,51254428.9988471,510271772.048268,-561255683.047115
275807,55515263.5304101,510068355.582111,-565307812.112522
275807,55515263.5304101,509864939.115955,-565104395.646365
276268,55515263.5304101,509391534.983046,-564630530.513456
280676,55515263.5304101,508918130.850137,-564152718.380547
280758,59551120.6833656,508106166.61872,-567376529.302086
286269,59551120.6833656,507294202.387304,-566559054.070669
287530,59551120.6833656,505893397.643323,-565156988.326688
287530,59551120.6833656,504492592.899342,-563756183.582707
