"BitcoinDaysDestroyedMinMonth","seasonal","trend","remainder"
0,-710238.030744957,535722.636370469,174515.394374488
0,-427962.818742667,481670.143575874,-53707.3248332079
0,-427962.818742667,427617.65078128,345.167961386964
0,-427962.818742667,376689.017611227,51273.80113144
0,-427962.818742667,325760.384441174,102202.434301493
0,-138725.970805601,276721.637340631,-137995.66653503
0,-138725.970805601,227682.890240089,-88956.9194344883
0,-138725.970805601,207555.054714536,-68829.0839089353
0,-138725.970805601,187427.219188983,-48701.2483833823
0,-217349.145626021,177146.537384039,40202.6082419821
0,-217349.145626021,166865.855579095,50483.2900469263
0,-217349.145626021,161512.792001688,55836.3536243331
0,-217349.145626021,156159.728424281,61189.4172017398
0,-301501.267935053,151568.540491764,149932.72744329
0,-301501.267935053,146977.352559246,154523.915375807
0,-301501.267935053,119312.070097813,182189.19783724
0,-301501.267935053,91646.7876363803,209854.480298673
0,-134586.87314402,28395.630615549,106191.242528471
0,-134586.87314402,-34855.5264052823,169442.399549302
0,-134586.87314402,-117714.133370428,252301.006514448
0,-134586.87314402,-200572.740335574,335159.613479594
0,-319327.339569019,-285586.153751334,604913.493320353
0,-319327.339569019,-370599.567167093,689926.906736112
0,-319327.339569019,-434492.848095647,753820.187664667
0,-319327.339569019,-498386.129024202,817713.468593221
0,-260131.8305079,-519196.638594805,779328.469102705
0,-260131.8305079,-540007.148165408,800138.978673308
0,-260131.8305079,-517041.344210445,777173.174718345
0,-260131.8305079,-494075.540255482,754207.370763382
0,60791.9916897528,-468559.631339991,407767.639650238
0,60791.9916897528,-443043.7224245,382251.730734747
0,60791.9916897528,-402285.477409077,341493.485719324
0,60791.9916897528,-361527.232393653,300735.2407039
0,-219614.411797016,-326907.580769805,546521.992566821
0,-219614.411797016,-292287.929145956,511902.340942972
0,-219614.411797016,-278388.655207514,498003.06700453
0,-219614.411797016,-264489.381269072,484103.793066088
0,-249811.069522989,-258791.059957667,508602.129480657
0,-249811.069522989,-253092.738646263,502903.808169252
0,-249811.069522989,-238369.592049918,488180.661572907
0,-249811.069522989,-223646.445453572,473457.514976562
0,-82725.733315504,-220732.713077697,303458.446393201
0,-82725.733315504,-217818.980701822,300544.714017326
0,-82725.733315504,-198696.572804695,281422.306120199
0,-82725.733315504,-179574.164907569,262299.898223073
0,-223236.543015216,-174469.753283021,397706.296298237
0,-223236.543015216,-169365.341658473,392601.884673689
0,-223236.543015216,-167814.843275689,391051.386290905
0,-223236.543015216,-166264.344892905,389500.887908121
0,-100837.826560463,-184913.330686983,285751.157247446
0,-100837.826560463,-203562.316481062,304400.143041525
0,-100837.826560463,-232531.265643636,333369.092204099
0,-100837.826560463,-261500.214806211,362338.041366674
0,-106953.985616844,-320361.230282843,427315.215899687
0,-106953.985616844,-379222.245759476,486176.23137632
0,-106953.985616844,-506802.095906769,613756.081523613
0,-106953.985616844,-634381.946054061,741335.931670905
0,-290088.487924369,-793116.640941959,1083205.12886633
0,-290088.487924369,-951851.335829857,1241939.82375423
0,-290088.487924369,-1065137.42037268,1355225.90829705
0,-290088.487924369,-1178423.50491551,1468511.99283988
0,-92076.6852178698,-1241550.66488986,1333627.35010773
0,-92076.6852178698,-1304677.8248642,1396754.51008207
0,-92076.6852178698,-1306857.30138988,1398933.98660775
0,-92076.6852178698,-1309036.77791556,1401113.46313343
0,-6943.62896433185,-1258714.49255802,1265658.12152236
0,-6943.62896433184,-1208392.20720049,1215335.83616482
0,-6943.62896433184,-1166388.50834829,1173332.13731262
0,-6943.62896433184,-1124384.80949609,1131328.43846042
0,-206509.695551439,-1104629.80487169,1311139.50042313
0,-206509.695551439,-1084874.80024729,1291384.49579873
0,-206509.695551439,-1073102.89790304,1279612.59345448
0,-206509.695551439,-1061330.9955588,1267840.69111024
0,111234.664424623,-1025255.64777125,914020.983346625
0,111234.664424623,-989180.299983698,877945.635559075
0,111234.664424623,-955346.168044164,844111.503619541
0,111234.664424623,-921512.036104629,810277.371680007
0,295118.050456453,-905398.152910664,610280.102454212
0,295118.050456453,-889284.269716699,594166.219260247
0,295118.050456453,-851384.466737687,556266.416281234
0,295118.050456453,-813484.663758674,518366.613302221
0,417087.002559019,-753914.991591943,336827.989032923
0,417087.002559019,-694345.319425212,277258.316866192
0,417087.002559019,-637903.67733662,220816.674777601
0,417087.002559019,-581462.035248029,164375.03268901
0,719331.897215672,-531811.019274198,-187520.877941474
0,719331.897215672,-482160.003300366,-237171.893915305
0,719331.897215672,-452207.144407803,-267124.752807868
0,719331.897215672,-422254.285515241,-297077.611700431
0,472696.032762539,-424075.042528096,-48620.9902344428
0,472696.032762539,-425895.799540951,-46800.2332215874
0,472696.032762539,-454922.008792808,-17774.0239697307
0,472696.032762539,-483948.218044665,11252.1852821261
0,504964.63285018,-519750.953892245,14786.3210420642
0,504964.63285018,-555553.689739825,50589.0568896441
0,504964.63285018,-559584.540873765,54619.9080235841
0,504964.63285018,-563615.392007704,58650.759157524
0,543076.65576974,-550185.339440134,7108.68367039354
0,543076.65576974,-536755.286872563,-6321.36889717705
0,543076.65576974,-510052.99483868,-33023.6609310602
0,543076.65576974,-483350.702804797,-59725.9529649434
0,730247.663937308,-387361.044183264,-342886.619754044
0,730247.663937308,-291371.385561732,-438876.278375576
0,730247.663937308,-152356.304897529,-577891.359039779
0,730247.663937308,-13341.2242333254,-716906.439703982
2712,643903.409246983,99067.5345281823,-740258.943775165
0,643903.409246983,211476.29328969,-855379.702536673
34685,643903.409246983,294816.035406318,-904034.444653301
0,643903.409246983,378155.777522947,-1022059.18676993
0,288082.745103495,416826.107145986,-704908.852249481
0,288082.745103495,455496.436769025,-743579.18187252
0,288082.745103495,449359.010727301,-737441.755830796
0,288082.745103495,443221.584685578,-731304.329789072
0,661235.025739269,465836.499121659,-1127071.52486093
0,661235.025739269,488451.413557741,-1149686.43929701
0,661235.025739269,549292.081207649,-1210527.10694692
0,661235.025739269,610132.748857557,-1271367.77459683
0,523134.83562621,676310.695592901,-1199445.53121911
0,523134.83562621,742488.642328246,-1265623.47795446
0,523134.83562621,795288.486152356,-1318423.32177857
0,523134.83562621,848088.329976466,-1371223.16560268
0,113744.843987658,888438.331782933,-1002183.17577059
0,113744.843987658,928788.3335894,-1042533.17757706
0,113744.843987658,961591.144855592,-1075335.98884325
0,113744.843987658,994393.956121785,-1108138.80010944
0,248744.131441143,1022285.48353425,-1271029.61497539
0,248744.131441143,1050177.01094671,-1298921.14238786
0,248744.131441143,1069605.75079422,-1318349.88223537
0,248744.131441143,1089034.49064174,-1337778.62208288
0,361418.522601207,1104947.37899974,-1466365.90160094
0,361418.522601207,1120860.26735774,-1482278.78995894
0,361418.522601207,1136384.9272272,-1497803.4498284
0,361418.522601207,1151909.58709666,-1513328.10969787
0,591519.334142945,1153163.38933944,-1744682.72348238
0,591519.334142945,1154417.19158222,-1745936.52572516
0,591519.334142945,1144536.39620168,-1736055.73034463
0,591519.334142945,1134655.60082114,-1726174.93496409
0,297151.46475321,1113275.19336635,-1410426.65811956
0,297151.46475321,1091894.78591157,-1389046.25066478
0,297151.46475321,1014973.54840164,-1312125.01315485
0,297151.46475321,938052.310891713,-1235203.77564492
0,-321320.601042309,842567.560329683,-521246.959287374
0,-321320.601042309,747082.809767653,-425762.208725344
0,-321320.601042309,653782.503237161,-332461.902194852
0,-321320.601042309,560482.196706669,-239161.59566436
0,136534.613679744,480353.778863262,-616888.392543007
0,136534.613679744,400225.361019855,-536759.9746996
0,136534.613679744,346270.652167518,-482805.265847262
0,136534.613679744,292315.94331518,-428850.556994924
2101,693538.712914081,257264.580271459,-948702.29318554
0,693538.712914081,222213.217227739,-915751.93014182
0,693538.712914081,193267.89714285,-886806.61005693
0,693538.712914081,164322.577057961,-857861.289972041
0,209681.922906511,149594.825374276,-359276.748280786
0,209681.922906511,134867.07369059,-344548.996597101
0,209681.922906511,133955.723244111,-343637.646150622
0,209681.922906511,133044.372797632,-342726.295704143
0,71641.091188058,128570.036771725,-200211.127959783
0,71641.091188058,124095.700745819,-195736.791933877
0,71641.091188058,120726.725366074,-192367.816554132
0,71641.091188058,117357.749986329,-188998.841174386
0,400509.487477649,112882.522715706,-513392.010193355
0,400509.487477649,108407.295445084,-508916.782922733
0,400509.487477649,101167.732275237,-501677.219752885
0,400509.487477649,93928.1691053891,-494437.656583038
0,240679.05939017,135302.399187764,-375981.458577935
0,240679.05939017,176676.62927014,-417355.68866031
0,240679.05939017,237914.03280908,-478593.09219925
0,240679.05939017,299151.43634802,-539830.49573819
0,102184.55839564,343787.155532053,-445971.713927692
0,102184.55839564,388422.874716085,-490607.433111725
0,102184.55839564,421909.123596443,-524093.681992083
5303,102184.55839564,455395.372476801,-552276.930872441
0,59070.3326542372,461788.213771207,-520858.546425444
0,59070.3326542372,468181.055065613,-527251.38771985
0,59070.3326542372,446613.816996895,-505684.149651133
0,59070.3326542372,425046.578928178,-484116.911582415
0,230541.032340231,425911.20755431,-656452.239894541
0,230541.032340231,426775.836180443,-657316.868520674
0,230541.032340231,440097.215095449,-670638.247435679
0,230541.032340231,453418.594010454,-683959.626350685
0,124929.932098488,492234.481718601,-617164.413817089
0,124929.932098488,531050.369426747,-655980.301525236
0,124929.932098488,595506.227105237,-720436.159203725
0,124929.932098488,659962.084783727,-784892.016882215
0,34290.1777412314,707974.974627851,-742265.152369083
0,34290.1777412314,755987.864471976,-790278.042213207
0,34290.1777412314,816530.696106495,-850820.873847726
0,34290.1777412314,877073.527741015,-911363.705482246
0,229623.233194903,936302.392912325,-1165925.62610723
0,229623.233194903,995531.258083635,-1225154.49127854
0,229623.233194903,982385.892712928,-1212009.12590783
0,229623.233194903,969240.527342222,-1198863.76053712
0,327209.712526427,952015.147252046,-1279224.85977847
0,327209.712526427,934789.76716187,-1261999.4796883
0,327209.712526427,930036.745329418,-1257246.45785584
0,327209.712526427,925283.723496965,-1252493.43602339
0,184364.597415079,912380.852914819,-1096745.4503299
0,184364.597415079,899477.982332672,-1083842.57974775
6853,184364.597415079,915903.077271064,-1093414.67468614
0,184364.597415079,932328.172209455,-1116692.76962453
0,-31032.2842144451,966744.591255779,-935712.307041334
0,-31032.2842144451,1001161.0103021,-970128.726087658
0,-31032.2842144451,986204.181872972,-955171.897658527
0,-31032.2842144451,971247.353443841,-940215.069229396
0,336055.498882847,927330.374168443,-1263385.87305129
0,336055.498882847,883413.394893044,-1219468.89377589
0,336055.498882847,840416.564358787,-1176472.06324163
0,336055.498882847,797419.733824531,-1133475.23270738
0,429743.98572222,761655.92536867,-1191399.91109089
0,429743.98572222,725892.116912809,-1155636.10263503
0,429743.98572222,714150.902462306,-1143894.88818453
0,429743.98572222,702409.688011804,-1132153.67373402
0,249783.644131352,718806.918191852,-968590.562323205
0,249783.644131352,735204.148371901,-984987.792503253
0,249783.644131352,765927.857568679,-1015711.50170003
0,249783.644131352,796651.566765458,-1046435.21089681
11328,342234.592036424,828130.506952055,-1159037.09898848
0,342234.592036424,859609.447138652,-1201844.03917508
0,342234.592036424,859508.031318757,-1201742.62335518
0,342234.592036424,859406.615498862,-1201641.20753529
0,520033.686527464,818331.47318207,-1338365.15970953
0,520033.686527464,777256.330865277,-1297290.01739274
0,520033.686527464,727598.925787801,-1247632.61231527
0,520033.686527464,677941.520710325,-1197975.20723779
0,724939.923698513,638238.360703742,-1363178.28440225
0,724939.923698513,598535.200697159,-1323475.12439567
0,724939.923698513,565678.573445154,-1290618.49714367
0,724939.923698513,532821.946193148,-1257761.86989166
0,914888.177658876,539756.47716577,-1454644.65482465
0,914888.177658876,546691.008138391,-1461579.18579727
0,914888.177658876,590764.997124888,-1505653.17478376
0,914888.177658876,634838.986111386,-1549727.16377026
0,1612210.1948837,673045.237258229,-2285255.43214192
0,1612210.1948837,711251.488405072,-2323461.68328877
0,1612210.1948837,750973.823787043,-2363184.01867074
0,1612210.1948837,790696.159169015,-2402906.35405271
0,2089104.75504272,819048.303407969,-2908153.05845069
0,2089104.75504272,847400.447646923,-2936505.20268965
0,2089104.75504272,833487.978875761,-2922592.73391848
0,2089104.75504272,819575.5101046,-2908680.26514732
0,1786699.666042,789779.016573739,-2576478.68261574
0,1786699.666042,759982.523042878,-2546682.18908487
0,1786699.666042,759525.032274766,-2546224.69831676
0,1786699.666042,759067.541506653,-2545767.20754865
0,1252357.56030885,782918.510080404,-2035276.07038926
0,1252357.56030885,806769.478654155,-2059127.03896301
0,1252357.56030885,848213.116979808,-2100570.67728866
0,1252357.56030885,889656.755305461,-2142014.31561431
0,7110099.5785017,952044.74654316,-8062144.32504486
0,7110099.5785017,1014432.73778086,-8124532.31628256
0,7110099.5785017,1037289.46693378,-8147389.04543549
0,7110099.5785017,1060146.19608671,-8170245.77458841
0,7156095.06708469,1056015.26425958,-8212110.33134427
0,7156095.06708469,1051884.33243245,-8207979.39951714
0,7156095.06708469,1018529.93079812,-8174624.99788281
0,7156095.06708469,985175.529163789,-8141270.59624848
0,1000697.68959239,930790.791695024,-1931488.48128742
0,1000697.68959239,876406.054226259,-1877103.74381865
0,1000697.68959239,847739.860581364,-1848437.55017375
0,1000697.68959239,819073.666936468,-1819771.35652886
0,1096095.95423828,829621.135092868,-1925717.08933115
0,1096095.95423828,840168.603249268,-1936264.55748755
0,1096095.95423828,870933.492373177,-1967029.44661146
0,1096095.95423828,901698.381497085,-1997794.33573537
0,1318962.4749642,949666.190417791,-2268628.66538199
0,1318962.4749642,997633.999338498,-2316596.47430269
0,1318962.4749642,1005881.30516927,-2324843.78013346
0,1318962.4749642,1014128.61100004,-2333091.08596424
0,1220648.54589896,989503.155747859,-2210151.70164682
0,1220648.54589896,964877.700495678,-2185526.24639464
0,1220648.54589896,941181.715952947,-2161830.26185191
0,1220648.54589896,917485.731410216,-2138134.27730918
0,1310638.3546497,853946.887521746,-2164585.24217145
0,1310638.3546497,790408.043633277,-2101046.39828298
0,1310638.3546497,718831.556819797,-2029469.9114695
0,1310638.3546497,647255.070006317,-1957893.42465602
0,1387424.56335774,592475.10437722,-1979899.66773496
0,1387424.56335774,537695.138748123,-1925119.70210587
0,1387424.56335774,491060.393171329,-1878484.95652907
0,1387424.56335774,444425.647594536,-1831850.21095228
0,639179.476841124,409065.714811646,-1048245.19165277
290977,639179.476841124,373705.782028756,-721908.25886988
0,639179.476841124,368009.942510244,-1007189.41935137
0,639179.476841124,362314.102991732,-1001493.57983286
0,552576.822364071,358194.33170192,-910771.154065991
0,552576.822364071,354074.560412107,-906651.382776178
0,552576.822364071,345553.177140212,-898129.999504283
0,552576.822364071,337031.793868316,-889608.616232387
0,878088.363245422,327347.244801173,-1205435.6080466
0,878088.363245422,317662.695734029,-1195751.05897945
1659,878088.363245422,299207.788124877,-1175637.1513703
0,878088.363245422,280752.880515726,-1158841.24376115
0,1158981.01665319,235835.872638204,-1394816.88929139
0,1158981.01665319,190918.864760683,-1349899.88141387
0,1158981.01665319,100341.658117784,-1259322.67477097
0,1158981.01665319,9764.4514748838,-1168745.46812807
0,1412431.9154085,-104756.917610886,-1307674.99779762
0,1412431.9154085,-219278.286696656,-1193153.62871185
0,1412431.9154085,-329083.594334964,-1083348.32107354
0,1412431.9154085,-438888.901973272,-973543.01343523
0,860601.779815504,-535838.806896207,-324762.972919297
0,860601.779815504,-632788.711819142,-227813.067996363
0,860601.779815504,-712867.054566139,-147734.725249365
0,860601.779815504,-792945.397313136,-67656.382502368
0,845584.426816149,-887373.164300828,41788.7374846796
0,845584.426816149,-981800.93128852,136216.504472372
0,845584.426816149,-1115530.81005979,269946.383243643
0,845584.426816149,-1249260.68883106,403676.262014915
0,872222.638846596,-1361345.88920745,489123.250360852
0,872222.638846596,-1473431.08958383,601208.450737236
0,872222.638846596,-1605048.41719826,732825.778351666
0,872222.638846596,-1736665.74481269,864443.105966096
0,754801.227378915,-1759659.31492351,1004858.0875446
0,754801.227378915,-1782652.88503433,1027851.65765542
0,754801.227378915,-1770428.03122526,1015626.80384635
0,754801.227378915,-1758203.17741619,1003401.95003727
0,616000.03449754,-1739673.87268297,1123673.83818543
0,616000.03449754,-1721144.56794974,1105144.5334522
0,616000.03449754,-1613165.32853299,997165.294035447
0,616000.03449754,-1505186.08911623,889186.05461869
0,634118.447499252,-1431316.93636232,797198.488863068
0,634118.447499252,-1357447.78360841,723329.336109158
0,634118.447499252,-1313433.343222,679314.89572275
0,634118.447499252,-1269418.90283559,635300.455336343
0,929572.629461704,-1224686.891142,295114.261680296
0,929572.629461704,-1179954.87944841,250382.249986702
0,929572.629461704,-1152123.95395107,222551.324489368
0,929572.629461704,-1124293.02845374,194720.398992034
0,873425.69637264,-1085711.77330697,212286.076934334
0,873425.69637264,-1047130.51816021,173704.82178757
0,873425.69637264,-1027944.2580798,154518.561707164
0,873425.69637264,-1008757.9979994,135332.301626757
1106665,650869.399353974,-999155.662208749,1454951.26285477
0,650869.399353974,-989553.326418101,338683.927064126
0,650869.399353974,-935253.764293317,284384.364939343
0,650869.399353974,-880954.202168534,230084.80281456
0,176837.772984145,-804281.405657925,627443.63267378
0,176837.772984145,-727608.609147316,550770.836163171
0,176837.772984145,-677475.700608485,500637.92762434
