"BitcoinDaysDestroyedMinWeek","seasonal","trend","remainder"
0,-723883.122510519,542031.968275082,181851.154235437
0,-332535.84190706,472275.313816632,-139739.471909572
0,-332535.84190706,402518.659358182,-69982.8174511226
0,-332535.84190706,335982.780736238,-3446.93882917863
0,-332535.84190706,269446.902114294,63088.9397927654
0,-61636.2093100542,206843.136954673,-145206.927644619
0,-61636.2093100542,144239.371795052,-82603.1624849978
0,-61636.2093100542,117262.922430662,-55626.7131206081
0,-61636.2093100542,90286.4730662727,-28650.2637562185
0,-204784.101101804,72648.4015270919,132135.699574712
0,-204784.101101804,55010.329987911,149773.771113893
0,-204784.101101804,54221.4672836335,150562.63381817
0,-204784.101101804,53432.604579356,151351.496522448
0,-306102.591104532,63828.7279082899,242273.863196242
0,-306102.591104532,74224.8512372238,231877.739867308
0,-306102.591104532,56997.7125702252,249104.878534307
0,-306102.591104532,39770.5739032266,266332.017201305
0,-72730.2735627063,-18438.906571179,91169.1801338853
0,-72730.2735627063,-76648.3870455846,149378.660608291
795,-72730.2735627063,-150257.624279374,223782.89784208
0,-72730.2735627063,-223866.861513164,296597.13507587
408,-228871.441122466,-304635.13450882,533914.575631285
0,-228871.441122466,-385403.407504476,614274.848626942
0,-228871.441122466,-447430.622647012,676302.063769478
0,-228871.441122466,-509457.837789548,738329.278912014
0,-16059.0200059404,-524820.608121086,540879.628127027
0,-16059.0200059404,-540183.378452624,556242.398458565
0,-16059.0200059404,-521338.619890911,537397.639896851
0,-16059.0200059404,-502493.861329197,518552.881335138
12302,223998.629666,-489170.844287961,277474.214621961
0,223998.629666,-475847.827246725,251849.197580725
868,223998.629666,-453737.923673451,230607.294007451
658,223998.629666,-431628.020100177,208287.390434177
0,-155338.363900403,-418689.908649611,574028.272550014
0,-155338.363900403,-405751.797199045,561090.161099448
9303,-155338.363900403,-402550.012672429,567191.376572832
7863,-155338.363900403,-399348.228145813,562549.592046216
8793,-97772.4591968894,-384304.426639131,490869.885836021
0,-97772.4591968894,-369260.62513245,467033.084329339
0,-97772.4591968894,-335799.725651108,433572.184847998
0,-97772.4591968894,-302338.826169766,400111.285366656
0,-30793.1489584592,-267801.699444926,298594.848403385
0,-30793.1489584592,-233264.572720085,264057.721678544
2898,-30793.1489584592,-190564.254939005,224255.403897464
0,-30793.1489584592,-147863.937157925,178657.086116384
2289,-166539.620924475,-137006.686119625,305835.3070441
0,-166539.620924475,-126149.435081324,292689.056005799
0,-166539.620924475,-124637.096927957,291176.717852432
544,-166539.620924475,-123124.75877459,290208.379699065
0,35753.372460358,-142715.403298201,106962.030837843
365,35753.372460358,-162306.047821812,126917.675361454
0,35753.372460358,-206392.447993853,170639.075533495
0,35753.372460358,-250478.848165894,214725.475705536
0,62952.8859600147,-337701.775207359,274748.889247344
0,62952.8859600147,-424924.702248824,361971.816288809
0,62952.8859600147,-574810.720019632,511857.834059617
4123,62952.8859600147,-724696.73779044,665866.851830425
0,-214414.559564224,-891698.169406733,1106112.72897096
0,-214414.559564224,-1058699.60102303,1273114.16058725
929,-214414.559564224,-1166324.75925082,1381668.31881505
0,-214414.559564224,-1273949.91747862,1488364.47704284
1990,-101277.814648528,-1307877.21355196,1411145.02820049
0,-101277.814648528,-1341804.5096253,1443082.32427383
0,-101277.814648528,-1325871.99437944,1427149.80902797
1394,-101277.814648528,-1309939.47913358,1412611.2937821
0,-21733.7370825144,-1272310.2766939,1294044.01377642
0,-21733.7370825144,-1234681.07425423,1256414.81133674
0,-21733.7370825144,-1209277.19769885,1231010.93478136
0,-21733.7370825144,-1183873.32114347,1205607.05822599
0,-232463.805782096,-1166607.57237751,1399071.37815961
0,-232463.805782096,-1149341.82361155,1381805.62939364
0,-232463.805782096,-1139290.33705521,1371754.14283731
14749,-232463.805782096,-1129238.85049887,1376451.65628097
0,117218.704443439,-1088808.98587695,971590.281433512
0,117218.704443439,-1048379.12125503,931160.41681159
352,117218.704443439,-1010118.62450194,893251.920058499
0,117218.704443439,-971858.127748848,854639.423305409
0,333174.395872232,-961567.193719107,628392.797846875
2856,333174.395872232,-951276.259689366,620957.863817134
0,333174.395872232,-922998.671493182,589824.275620949
0,333174.395872232,-894721.083296997,561546.687424765
0,553035.320039673,-837656.364122929,284621.044083257
0,553035.320039673,-780591.644948861,227556.324909189
0,553035.320039673,-714668.585241552,161633.265201879
1444,553035.320039673,-648745.525534243,97154.20549457
0,831521.146702613,-583383.977013944,-248137.169688669
0,831521.146702613,-518022.428493645,-313498.718208968
636,831521.146702613,-470526.359235298,-360358.787467314
0,831521.146702613,-423030.289976952,-408490.856725661
0,406831.950782429,-413143.953818095,6312.00303566566
0,406831.950782429,-403257.617659238,-3574.33312319091
0,406831.950782429,-432761.556515251,25929.605732822
0,406831.950782429,-462265.495371264,55433.5445888349
742,479419.326147863,-502256.54553308,23579.2193852172
0,479419.326147863,-542247.595694897,62828.2695470335
0,479419.326147863,-554165.74112764,74746.4149797771
0,479419.326147863,-566083.886560384,86664.5604125207
0,524029.125254089,-558727.967996827,34698.8427427383
0,524029.125254089,-551372.04943327,27342.9241791813
0,524029.125254089,-523500.424774034,-528.700480054831
3040,524029.125254089,-495628.800114798,-25360.325139291
0,674118.166107495,-397882.683852026,-276235.482255469
0,674118.166107495,-300136.567589255,-373981.59851824
0,674118.166107495,-155751.515016614,-518366.651090881
0,674118.166107495,-11366.4624439734,-662751.703663522
2712,659780.851291596,110558.015536364,-767626.86682796
1989,659780.851291596,232482.493516702,-890274.344808298
51586,659780.851291596,326374.673302391,-934569.524593987
47353,659780.851291596,420266.853088081,-1032694.70437968
0,286592.792333883,465935.267663263,-752528.059997146
0,286592.792333883,511603.682238445,-798196.474572328
0,286592.792333883,499670.254200613,-786263.046534495
0,286592.792333883,487736.82616278,-774329.618496663
941,678465.91943418,495612.349407461,-1173137.26884164
0,678465.91943418,503487.872652143,-1181953.79208632
0,678465.91943418,554816.581638167,-1233282.50107235
0,678465.91943418,606145.290624192,-1284611.21005837
3167,537778.901058858,665650.980065192,-1200262.88112405
0,537778.901058858,725156.669506192,-1262935.57056505
461,537778.901058858,777025.711379236,-1314343.61243809
3037,537778.901058858,828894.753252279,-1363636.65431114
0,190224.23311717,874197.763230808,-1064421.99634798
0,190224.23311717,919500.773209337,-1109725.00632651
0,190224.23311717,959394.68840082,-1149618.92151799
0,190224.23311717,999288.603592302,-1189512.83670947
0,439459.926198971,1033424.8230716,-1472884.74927057
0,439459.926198971,1067561.0425509,-1507020.96874987
0,439459.926198971,1087778.65891928,-1527238.58511825
0,439459.926198971,1107996.27528766,-1547456.20148663
0,375116.144139161,1124386.921534,-1499503.06567316
0,375116.144139161,1140777.56778034,-1515893.7119195
0,375116.144139161,1152494.88524058,-1527611.02937974
0,375116.144139161,1164212.20270081,-1539328.34683998
3934,580670.54607456,1163127.62466355,-1739864.17073811
0,580670.54607456,1162043.04662629,-1742713.59270085
0,580670.54607456,1157597.72582011,-1738268.27189467
0,580670.54607456,1153152.40501393,-1733822.95108849
0,553213.356180462,1141570.5994397,-1694783.95562017
0,553213.356180462,1129988.79386548,-1683202.15004594
0,553213.356180462,1060550.10471245,-1613763.46089291
0,553213.356180462,991111.41555942,-1544324.77173988
0,-28623.8244549004,901978.216900765,-873354.392445865
0,-28623.8244549004,812845.018242111,-784221.19378721
0,-28623.8244549004,721463.768391511,-692839.943936611
0,-28623.8244549004,630082.518540912,-601458.694086011
0,289337.810237292,551296.99817816,-840634.808415452
23119,289337.810237292,472511.477815409,-738730.288052701
0,289337.810237292,415722.926380686,-705060.736617978
0,289337.810237292,358934.374945964,-648272.185183256
2101,881659.330259655,314934.923275733,-1194493.25353539
0,881659.330259655,270935.471605503,-1152594.80186516
0,881659.330259655,225341.828832563,-1107001.15909222
0,881659.330259655,179748.186059624,-1061407.51631928
0,435678.058808066,152084.017405789,-587762.076213855
0,435678.058808066,124419.848751955,-560097.907560021
0,435678.058808066,108834.25519978,-544512.314007846
0,435678.058808066,93248.6616476043,-528926.72045567
0,87312.9220377832,80483.304391998,-167796.226429781
0,87312.9220377832,67717.9471363916,-155030.869174175
0,87312.9220377832,78558.8226908889,-165871.744728672
0,87312.9220377832,89399.6982453862,-176712.620283169
0,329332.166388155,101703.886486611,-431036.052874766
0,329332.166388155,114008.074727836,-443340.241115991
0,329332.166388155,119965.457405455,-449297.623793611
0,329332.166388155,125922.840083075,-455255.00647123
0,209717.08440548,188682.913087969,-398399.997493449
0,209717.08440548,251442.986092862,-461160.070498343
0,209717.08440548,324695.535324053,-534412.619729533
0,209717.08440548,397948.084555244,-607665.168960724
0,57852.083023794,442194.482424989,-500046.565448783
44682,57852.083023794,486440.880294734,-499610.963318528
0,57852.083023794,518948.523177942,-576800.606201736
6471,57852.083023794,551456.166061151,-602837.249084945
0,68108.4968379036,544249.470441462,-612357.967279365
4735,68108.4968379036,537042.774821772,-600416.271659676
0,68108.4968379036,495236.655795267,-563345.152633171
0,68108.4968379036,453430.536768763,-521539.033606666
0,148318.50518177,442108.725114287,-590427.230296056
0,148318.50518177,430786.91345981,-579105.41864158
0,148318.50518177,433294.35055997,-581612.85574174
0,148318.50518177,435801.787660129,-584120.292841899
0,-10005.9104144768,471391.565093357,-461385.65467888
0,-10005.9104144768,506981.342526584,-496975.432112108
0,-10005.9104144768,576642.198581157,-566636.28816668
0,-10005.9104144768,646303.05463573,-636297.144221253
0,557.057532671955,698339.070101054,-698896.127633726
0,557.05753267197,750375.085566379,-750932.143099051
0,557.05753267197,824515.943792909,-825073.001325581
0,557.057532671955,898656.802019438,-899213.85955211
0,209883.706491199,971423.269499882,-1181306.97599108
0,209883.706491199,1044189.73698033,-1254073.44347152
0,209883.706491199,1040201.36432995,-1250085.07082115
0,209883.706491199,1036212.99167957,-1246096.69817077
0,352921.708520943,1028294.64205881,-1381216.35057976
0,352921.708520943,1020376.29243806,-1373298.000959
0,352921.708520943,1023571.09978241,-1376492.80830335
0,352921.708520943,1026765.90712675,-1379687.6156477
0,169727.912631088,1015603.02709943,-1185330.93973051
0,169727.912631088,1004440.1470721,-1174168.05970319
94497,169727.912631088,1021544.55229154,-1096775.46492262
0,169727.912631088,1038648.95751098,-1208376.87014206
0,-125014.202550343,1071276.85497612,-946262.652425779
0,-125014.202550343,1103904.75244127,-978890.549890924
0,-125014.202550343,1078820.22811569,-953806.02556535
0,-125014.202550343,1053735.70379012,-928721.501239775
0,286114.048749634,995251.401269257,-1281365.45001889
0,286114.048749634,936767.098748396,-1222881.14749803
0,286114.048749634,884412.175276262,-1170526.2240259
0,286114.048749634,832057.251804128,-1118171.30055376
0,397491.594817932,791076.60978321,-1188568.20460114
0,397491.594817932,750095.967762292,-1147587.56258022
0,397491.594817932,730757.319867324,-1128248.91468526
0,397491.594817932,711418.671972356,-1108910.26679029
0,209316.052200846,729455.666601632,-938771.718802479
0,209316.052200846,747492.661230909,-956808.713431755
0,209316.052200846,790166.89537485,-999482.947575696
0,209316.052200846,832841.129518791,-1042157.18171964
59247,323647.097793229,874269.248624484,-1138669.34641771
0,323647.097793229,915697.367730178,-1239344.46552341
0,323647.097793229,924946.796147705,-1248593.89394093
0,323647.097793229,934196.224565233,-1257843.32235846
0,837378.814247023,898680.809239156,-1736059.62348618
0,837378.814247023,863165.393913078,-1700544.2081601
0,837378.814247023,808166.958995314,-1645545.77324234
0,837378.814247023,753168.52407755,-1590547.33832457
0,1119560.74458087,708348.643200479,-1827909.38778134
0,1119560.74458087,663528.762323407,-1783089.50690427
0,1119560.74458087,631797.434120669,-1751358.17870153
0,1119560.74458087,600066.10591793,-1719626.8504988
0,1029881.27703153,616955.502893791,-1646836.77992532
0,1029881.27703153,633844.899869651,-1663726.17690118
0,1029881.27703153,686913.269664222,-1716794.54669576
0,1029881.27703153,739981.639458794,-1769862.91649033
0,1613104.15375003,779340.871760785,-2392445.02551081
0,1613104.15375003,818700.104062776,-2431804.2578128
0,1613104.15375003,858830.74656785,-2471934.90031788
39444,1613104.15375003,898961.389072923,-2472621.54282295
0,2056598.83922123,924523.966985309,-2981122.80620654
0,2056598.83922123,950086.544897694,-3006685.38411892
0,2056598.83922123,928484.793709288,-2985083.63293051
0,2056598.83922123,906883.042520882,-2963481.88174211
0,1731677.14099458,865340.158560379,-2597017.29955496
0,1731677.14099458,823797.274599876,-2555474.41559446
0,1731677.14099458,813232.102426012,-2544909.24342059
0,1731677.14099458,802666.930252147,-2534344.07124673
