"BitcoinDaysDestroyedMinYear","seasonal","trend","remainder"
0,-43525.8318257846,26539.5211057576,16986.310720027
0,65538.3700690545,11039.6060852068,-76577.9761542612
0,65538.3700690545,-4460.30893534409,-61078.0611337104
0,65538.3700690545,-20301.4081373502,-45236.9619317042
0,65538.3700690545,-36142.5073393564,-29395.8627296981
0,60964.5639933181,-51772.3033322984,-9192.26066101967
0,60964.5639933181,-67402.0993252405,6437.53533192237
0,60964.5639933181,-80094.9586614706,19130.3946681526
0,60964.5639933181,-92787.8179977008,31823.2540043828
0,16481.7251304953,-115642.571163199,99160.8460327032
0,16481.7251304953,-138497.324328696,122015.599198201
0,16481.7251304953,-163599.140146662,147117.415016167
0,16481.7251304953,-188700.955964628,172219.230834133
0,28241.3614053601,-209941.288215495,181699.926810135
0,28241.3614053601,-231181.620466362,202940.259061002
0,28241.3614053601,-239173.972863507,210932.611458147
0,28241.3614053601,-247166.325260652,218924.963855291
0,3861177.88085563,-252102.961344514,-3609074.91951111
0,3861177.88085563,-257039.597428376,-3604138.28342725
0,3861177.88085563,-256308.404895837,-3604869.47595979
0,3861177.88085563,-255577.212363299,-3605600.66849233
0,3852038.97690747,-255607.871830699,-3596431.10507677
0,3852038.97690747,-255638.531298098,-3596400.44560937
0,3852038.97690747,-263309.697709108,-3588729.27919836
0,3852038.97690747,-270980.864120119,-3581058.11278735
0,104126.637510295,-272254.793021182,168128.155510888
0,104126.637510295,-273528.721922246,169402.084411951
0,104126.637510295,-265340.732722552,161214.095212257
0,104126.637510295,-257152.743522859,153026.106012564
0,98517.9652563213,-254378.044472502,155860.079216181
0,98517.9652563213,-251603.345422146,153085.380165824
0,98517.9652563213,-259153.846723582,160635.881467261
0,98517.9652563213,-266704.348025019,168186.382768697
0,54795.8743579504,-283307.835382145,228511.961024195
0,54795.8743579504,-299911.322739272,245115.448381322
0,54795.8743579504,-315965.425932571,261169.55157462
0,54795.8743579504,-332019.529125869,277223.654767919
0,148705.753703034,-343291.656903951,194585.903200917
0,148705.753703034,-354563.784682034,205858.030978999
0,148705.753703034,-350295.40341456,201589.649711526
0,148705.753703034,-346027.022147087,197321.268444053
0,211182.973727706,-336817.063215655,125634.089487949
0,211182.973727706,-327607.104284223,116424.130556517
0,211182.973727706,-324711.70696878,113528.733241074
0,211182.973727706,-321816.309653338,110633.335925631
0,175070.151506603,-325473.02476673,150402.873260127
0,175070.151506603,-329129.739880122,154059.588373519
