"CostPerTransactionPercent","seasonal","trend","remainder"
0,-72369.7680927174,57699.1825301599,14670.5855625576
0,-78302.6484022312,57824.8653496843,20477.7830525469
0,-78376.4537615212,57950.5481692087,20425.9055923126
0,-78121.1926516003,58309.1677010729,19812.0249505273
0,-77636.3282214847,58667.7872329372,18968.5409885475
0,-57159.4718396926,58970.3472266154,-1810.87538692279
0,-59092.9071502669,59272.9072202936,-180.000070026734
0,-60697.1300131477,58806.1378254075,1890.99218774019
0,-62070.8989303031,58339.3684305214,3731.53049978165
18541.6666667,-64495.9090522911,59845.5724286094,23192.0032903816
57500,-66430.1691512299,61351.7764266974,62578.3927245324
0,-68035.0708239929,68547.5411878056,-512.470363812754
1533.81642512,-69408.6679254995,75743.3059489138,-4800.82159829429
5800,-57938.2098768948,78050.1442501137,-14311.9343732189
5400,-58014.4896012785,80356.9825513136,-16942.4929500351
0,-57761.264921004,80543.9857380124,-22782.7208170084
3966.66666667,-57275.8850439423,80730.9889247112,-19488.437214099
748.387096774,-44832.8756182383,80730.9889247112,-35149.726209699
1130,-44909.9801309866,80730.9889247112,-34691.0087937247
750,-44657.4342605942,80730.9889247112,-35323.554664117
2233.33333333,-44171.8825678838,80730.9889247112,-34325.7730234975
1243.75,-39872.2869948001,80730.9889247112,-39614.9519299111
19400,-39950.216295913,80730.9889247112,-21380.7726287982
0,-39698.1433035245,72868.9867358368,-33170.8434323123
447.826086957,-39212.6257270436,65006.9845469623,-25346.5327329617
0,-57508.2094444679,65006.9845469623,-7498.77510249434
0,-57586.9635339454,65006.9845469623,-7420.02101301691
1008.33333333,-57335.3634195607,65006.9845469623,-6663.28779407158
0,-56849.8799593094,65006.9845469623,-8157.10458765292
527.272727273,-61346.5526330722,65006.9845469623,-3133.15918661712
0,-61426.1315109141,65006.9845469623,-3580.85303604814
5911.18449639,-61175.0042745333,65006.9845469623,2079.20422396105
16171.4435972,-60689.5549305116,65006.9845469623,11854.0139807493
0,-66811.0693361856,65006.9845469623,1804.08478922327
0,-66891.4730023921,65006.9845469623,1884.48845542982
547.826086957,-66640.8186440151,66265.3975113442,923.247219627941
670,-66155.4034162229,67523.8104757261,-698.407059503152
290.909090909,-87707.7646593215,68782.223440108,19216.4503101226
0,-87788.9931138926,70040.6364044899,17748.3567094028
1871.21471832,-87538.8116335195,70040.6364044899,19369.3899473496
2950,-87053.4305219569,70040.6364044899,19962.794117467
0,-81543.6582356732,69934.7434034104,11608.9148322629
0,-81625.7114786089,69828.8504023309,11796.8610762781
677.777777778,-81376.0028762396,69483.5558963331,12570.2247576845
0,-80890.6558809066,69138.2613903354,11752.3944905712
393.333333333,-77462.6044471689,68779.3483667352,9076.58941376663
0,-77545.4824784691,68420.435343135,9125.04713533407
0,-77296.2467541036,67797.29826478,9498.94848932362
800,-76810.9338750002,67174.161186425,10436.7726885752
0,-85988.0751381456,67070.539151163,18917.5359869826
576.19047619,-86071.7779578104,66966.917115901,19681.0513180994
0,-85823.0151114488,66905.9948777769,18917.0202336719
0,-85337.7363485748,66845.0726396528,18492.663708922
0,-77116.9781985157,66791.1337725745,10325.8444259411
0,-77201.505806545,66737.1949054962,10464.3109010488
0,-76953.2158381873,66640.3061500515,10312.9096881358
283.333333333,-76467.971191543,66543.4173946068,10207.8871302691
1514.28571429,-70919.896271948,66365.4690979732,6068.71288826482
0,-71005.248668342,66187.5208013396,4817.72786700237
1325,-70757.4315779881,66097.779211895,5984.65236609308
0,-70272.2210475733,66008.0376224504,4264.18342512293
441.545241725,-75451.3505898254,65838.7231019087,10054.1727296417
1475,-75537.5277745839,65669.4085813672,11343.1191932167
0,-75290.1835622338,65624.391857737,9665.79170449681
361.290322581,-74805.0071480486,65579.3751341069,9586.92233652271
0,-70135.8728951292,65520.173422376,4615.69947275313
0,-70222.8748682522,65460.9717106452,4761.90315760707
0,-69976.003533906,65408.4766146714,4567.52691923462
3933.33333333,-69490.8612359504,65355.9815186976,8068.21305058273
760,-64241.4832323272,65388.7835534389,-387.300321111703
0,-64329.3099938148,65421.5855881802,-1092.27559436538
0,-64082.9115374725,65637.2408660749,-1554.32932860238
270.833333333,-63597.8033557464,65852.8961439695,-1984.25945489009
0,-66189.9221582565,66117.7266260028,72.1955322536523
0,-66278.5737081086,66382.5571080361,-103.983399927485
871.428571429,-66032.6481297701,66673.5796243668,230.497076832326
983.333333333,-65547.5740642736,66964.6021406975,-433.694743090891
0,-54736.9076701109,67293.6855539627,-12556.7778838519
863.636363636,-54826.3840083276,67622.768967228,-11932.7485952644
0,-54580.9313079929,67796.8062943027,-13215.8749863098
0,-54095.891358726,67970.8436213775,-13874.9522626515
0,-40072.0952604254,68146.0279442003,-28073.9326837749
403.571428571,-40162.3963870067,68321.212267023,-27755.2444514454
0,-39917.4165646758,68537.550285723,-28620.1337210472
595,-39432.4107316385,68753.888304423,-28726.4775727845
0,-71557.018557885,68901.2398325834,2655.77872530161
0,-71648.1444728308,69048.5913607438,2599.55311208707
353.125,-71403.6375285039,69146.013765935,2610.74876256891
0,-70918.6658116961,69243.4361711262,1675.22964056987
0,-73242.8880846809,69253.8035379257,3989.08454675516
0,-74820.5901431138,69264.1709047252,5556.4192383886
0,-76062.3074319132,69224.2383741005,6838.06905781268
0,-77063.1211864575,69184.3058434759,7878.81534298163
676.470588235,-96903.446205306,69128.2292301964,28451.6875633446
0,-98481.9730521035,69072.1526169169,29409.8204351865
0,-99724.1632189067,68986.0090535464,30738.1541653603
0,-100725.011089681,68899.8654901758,31825.1455995048
0,-91427.0433508098,68783.7832236247,22643.2601271851
1742.85714286,-93024.3817754826,68667.7009570736,26099.5379612691
0,-94285.0316098006,68539.9571755635,25745.0744342371
598.958333333,-95303.9003863148,68412.2133940534,27490.6453255943
0,-52817.2665826334,68301.4045771526,-15484.1379945192
0,-55853.9783409836,68190.5957602517,-12336.6174192681
0,-58553.6495986182,68064.8870649308,-9511.23746631261
0,-61011.1010366748,67939.1783696099,-6928.07733293506
5303.42549122,-65876.0221872977,67834.1280381744,3345.31964034325
1322.22222222,-67409.8205893792,67729.077706739,1002.96510486021
260,-68606.2265803842,67639.3673406038,1226.85923978042
175.713783675,-69559.9739900371,67549.6569744686,2186.03079924344
0,-64985.5394792791,67515.9867286012,-2530.44724932214
0,-65081.6141244123,67482.3164827338,-2400.70235832148
0,-64839.9444481084,67449.2381472755,-2609.29369916709
0,-64355.177428678,67416.1598118172,-3060.9823831392
726.666666667,-61654.3662354814,67391.4918671717,-5010.4589650233
0,-61751.2656689792,67366.8239225262,-5615.55825354702
0,-61510.0688706792,67351.9488825805,-5841.88001190136
0,-61025.3359674783,67337.0738426348,-6311.7378751565
660,-61625.6839749434,67153.9272332544,-4868.24325831096
0,-61723.2514374623,66970.7806238739,-5247.52918641159
20500000,-61482.6842765096,65130.7630268884,20496351.9212496
816.034359341,-60997.9854895383,63290.745429903,-1476.72558102367
12200,-58787.9080222518,274714.838650758,-203726.930628506
440,-58886.1435137918,486138.931871613,-426812.788357821
1370,-58646.2059901864,497046.394738118,-437030.188747931
0,-58161.5413194447,507953.857604623,-449792.316285178
0,-61142.6153844692,517093.56413871,-455950.948754241
0,-61241.5189050303,526233.270672796,-464991.751767766
0,-61002.2110187722,511105.835621865,-450103.624603093
11900,-60517.58046426,495978.400570934,-423560.820106674
0,-59691.3526341408,289487.012543049,-229795.659908908
11274.5098039,-60074.0971107397,82995.6245151632,-11647.0176005235
6582.85488022,-60118.5917888455,84818.6327939234,-18117.1861248579
14300,-59917.1682775796,86641.6410726837,-12424.4727951041
1140,-58469.5808441788,82249.2438758306,-22639.6630316518
0,-58852.9933497987,77856.8466789774,-19003.8533291787
0,-58898.1176652518,77938.8385443009,-19040.7208790491
0,-58696.7282702155,78020.8304096245,-19324.1021394089
0,-56824.8051725531,78117.8436545788,-21293.0384820257
0,-56925.6836297224,78214.8568995332,-21289.1732698108
0,-56688.2646555062,78324.5352943071,-21636.2706388009
0,-56203.7364496828,78434.2136890811,-22230.4772393983
0,-56728.5196930921,78554.2215160155,-21825.7018229234
0,-56830.0370288275,78674.22934295,-21844.1923141225
0,-56593.2476919586,78794.8941764828,-22201.6464845242
0,-56108.7536023647,78915.5590100157,-22806.8054076509
0,-58857.4288430284,79069.1246926638,-20211.6958496353
178.333333333,-59272.7502356876,79222.6903753119,-19771.6068062913
0,-59349.7557145237,79404.8753222494,-20055.1196077257
0,-59178.4609195171,79587.0602691869,-20408.5993496698
36500000,-63076.5189318755,79677.4193896717,36483399.0995422
0,-63492.4792031007,79767.7785101564,-16275.2993070557
0,-63570.1143192841,79772.595786555,-16202.4814672709
0,-63398.9023326081,79777.4130629536,-16378.5107303454
0,-63391.5172900344,79696.0298238103,-16304.5125337758
0,-63675.0650964229,79614.646584667,-15939.5814882441
0,-63620.2785065508,79477.8354940564,-15857.5569875056
0,-63316.0979848026,79341.0244034457,-16024.9264186431
0,-65540.0600468575,79184.5474245285,-13644.487377671
0,-66182.5410350837,79028.0704456113,-12845.5294105276
0,-66486.6783858306,78887.1890351831,-12400.5106493525
0,-66540.8749756848,78746.3076247549,-12205.4326490701
0,-69863.4330307068,78618.8698600472,-8755.43682934037
0,-70326.4390625441,78491.4320953395,-8164.99303279544
0,-70451.0922156834,78365.426183918,-7914.33396823466
0,-70325.2577789132,78239.4202724965,-7914.16249358335
0,-70413.0382866819,78116.070676383,-7703.03238970108
0,-70518.3888938135,77992.7210802694,-7474.33218645591
0,-70285.3773810284,78973.7047721203,-8688.32739109197
0,-69801.3314493171,79954.6884639713,-10153.3570146542
0,-69003.1061440358,81187.108005486,-12184.0018614502
133.333333333,-69109.0956297334,82419.5275470007,-13177.0985839343
0,-68876.5241367866,82318.4656802903,-13441.9415435037
3400.27202176,-68392.750630915,82217.4038135799,-10424.3811609049
0,-68659.8039414012,81699.5221278954,-13039.7181864942
445,-68766.4323056648,81181.640442211,-11970.2081365461
0,-68534.3008325564,80869.9798425439,-12335.6790099875
10200,-68050.7997525243,80558.3192428768,-2307.51949035254
0,-68740.6226728013,80247.1390349316,-11506.5163621304
3480,-68847.8899156309,79935.9588269864,-7608.06891135547
4150,-68616.1984623608,78731.4393102431,-5965.24084788233
0,-68132.9698081683,77526.9197934998,-9393.94998533149
41500,-68743.4134275327,76931.7172198403,33311.6962076924
0,-68851.3195489284,76336.5146461808,-7485.19509725242
0,-68620.0681154965,76263.4311646879,-7643.36304919139
0,-68137.1118871437,76190.347683195,-8053.23579605136
0,-68993.0052427034,76265.7156068856,-7272.71036418222
0,-69101.5502426651,76341.0835305761,-7239.53328791101
0,-68870.7388290715,76423.5725944832,-7552.83376541166
0,-68388.0550265583,76506.0616583903,-8118.00663183206
0,-68838.3809894831,76599.1508776834,-7760.7698882003
0,-68947.5648680109,76692.2400969766,-7744.67522896563
0,-68717.1934742557,76774.162805176,-8056.96933092028
0,-68234.782097582,76856.0855133754,-8621.30341579339
0,-68312.7327395488,76910.7997757981,-8598.06703624928
0,-68422.5554966426,76965.5140382208,-8542.95854157819
0,-68192.6241227257,76988.6643677114,-8796.04024498574
0,-67710.4851718916,77011.814697202,-9301.32952531042
0,-68247.566261127,77003.0641175171,-8755.49785639008
0,-68358.0278967868,76994.3135378321,-8636.28564104525
61.6666666667,-68128.5365427082,76958.5118721047,-8768.30866272985
0,-67646.6700177137,76922.7102063774,-9276.0401886637
0,-68258.989088077,76868.7185491096,-8609.72946103259
0,-68370.0896023029,76814.7268918419,-8444.63728953892
0,-68141.0382680626,76760.8193702081,-8619.78110214547
0,-67659.4441689077,76706.9118485743,-9047.4676796666
0,-68080.9825969835,76638.1149754341,-8557.13237845064
0,-68192.7219897754,76569.3181022939,-8376.59611251851
0,-67964.1106753734,76502.7577066404,-8538.64703126706
666.666666667,-67482.7890020581,76436.197310987,-8286.74164226188
0,-67943.5981523867,76374.6590323117,-8431.06087992495
0,-68055.9764237447,76313.1207536364,-8257.1443298917
0,-67827.805129181,76247.0047509368,-8419.1996217558
0,-67346.7558817053,76180.8887482372,-8834.13286653196
0,-67811.368372321,76128.2164598142,-8316.84808749323
0,-67924.385522245,76075.5441713913,-8151.15864914627
0,-67696.6542475196,76024.7374754197,-8328.08322790008
0,-67215.8774258835,75973.9307794481,-8758.05335356464
74.5454545455,-67700.6397174647,75914.0968939238,-8138.91172191355
0,-67814.2957459548,75854.2630083994,-8039.96726244467
0,-67587.0044910677,75780.8217770476,-8193.81728597997
0,-67106.5000952712,75707.3805456958,-8600.88045042468
0,-67677.4770350687,75618.3187078383,-7940.8416727696
0,-67791.7719421248,75529.2568699808,-7737.48492785603
0,-67564.920707076,75425.293476123,-7860.37276904698
0,-67084.6887371191,75321.3300822651,-8236.64134514605
0,-67837.2659492704,75202.0783688098,-7364.8124195394
0,-67838.9680705665,75082.8266553545,-7243.858584788
0,-67499.32519103,74947.7220467524,-7448.39685572241
0,-66906.1339825866,74812.6174381504,-7906.48345556374
0,-67281.4302734802,74662.3441065296,-7380.91383304936
0,-67283.7712733423,74512.0707749088,-7228.29950156649
0,-66944.5684136442,74349.4266529935,-7404.85823934928
0,-66351.6496310404,74186.7825310781,-7835.13290003766
0,-67335.8083710635,74028.1943120334,-6692.38594096994
0,-67452.0199138176,73869.6060929887,-6417.58617917112
0,-67226.4887382838,73720.0257429274,-6493.53700464366
65.2307210604,-66747.0740458456,73570.4453928662,-6758.14062596014
0,-67227.7434188686,73279.3241982036,-6051.58077933498
0,-67344.5938401888,72988.2030035411,-5643.60916335223
9000,-67119.5026844933,72764.6347648619,3354.86791963143
1566.66666667,-66640.3604178948,72541.0665261827,-4334.03944161793
0,-67213.1311254459,72264.0581418279,-5050.92701638197
0,-67330.6204253322,71987.0497574731,-4656.42933214095
428.571428571,-67105.9692894749,71824.1914369978,-4289.65071895182
0,-66627.099448716,71661.3331165224,-5034.23366780643
0,-67041.4069434764,71547.6657729005,-4506.25882942401
0,-67159.5351219287,71433.9984292785,-4274.4633073498
600,-66935.3240059098,71325.0877545162,-3789.76374860645
0,-66456.7265909904,71216.177079754,-4759.45048876354
0,-66848.92326512,71159.6737986222,-4310.75053350211
0,-66967.6903221383,71103.1705174903,-4135.48019535201
0,-66743.9192259577,71088.2858509642,-4344.36662500643
0,-66265.594236878,71073.401184438,-4807.80694756001
0,-66735.7461165192,71099.5728096529,-4363.8266931337
0,-66855.1520521035,71125.7444348678,-4270.5923827643
0,-66631.8209757612,71201.3772658869,-4569.55629012565
290000,-66153.7684125211,71277.0100969059,284876.758315615
83,-66610.7922459757,71409.2984403638,-4715.5061943881
0,-66730.8370601261,71541.5867838217,-4810.74972369564
0,-66507.9460036221,71551.7326790545,-5043.78667543244
0,-66030.1658662215,71561.8785742873,-5531.71270806582
0,-66524.0581299694,71435.7899766981,-4911.73184672867
425,-66644.7418226858,71309.7013791089,-4239.95955642304
67.5,-66422.2907860201,71196.6884473532,-4706.89766133303
0,-65944.7830744591,71083.6755155975,-5138.89244113833
384.615384615,-66790.0626715191,70964.3613703911,-3789.683314257
0,-66513.75437197,70845.0472251847,-4331.29285321468
556.25,-65894.5608788187,70750.0194311126,-4299.20855229393
0,-65019.9189195195,70654.9916370405,-5635.07271752097
193.023255814,-65099.9098981084,70552.2638638674,-5259.33070994494
0,-64824.0162798717,70449.5360906943,-5625.5198108226
0,-64205.4870038123,70378.3326127641,-6172.84560895179
750,-63331.1174703528,70307.129134834,-6226.01166448119
0,-66296.0869216797,70287.7816676641,-3991.69474598439
0,-66418.0146583329,70268.4342004941,-3850.41954216118
0,-66197.5562729434,70285.1941479338,-4087.63787499034
1025,-65720.8658389012,70301.9540953734,-3556.08825647217
0,-66389.2982684893,70351.5256029383,-3962.22733444898
0,-66511.6406864549,70401.0971105032,-3889.45642404835
0,-66291.8465181574,70460.2831025358,-4168.43658437836
0,-65815.4285099548,70519.4690945684,-4704.04058461354
0,-66536.4879521478,70566.5879970317,-4030.1000448839
61.3861386139,-66659.2450514256,70613.7068994951,-3893.0757094555
0,-66440.1151002202,70651.0792504047,-4210.96415018443
0,-65963.9695178572,70688.4516013143,-4724.48208345703
0,-66706.5320311706,70699.9643866903,-3993.43235551968
33.5051546392,-66829.6658415072,70711.4771720663,-3848.30617591988
0,-66611.2001073939,70691.2428281322,-4080.04272073836
914.285714286,-66135.3269508705,70671.0084841981,-3621.39581904167
0,-67224.2694789196,70626.0912401157,-3401.82176119604
0,-67280.1275272926,70581.1739960332,-3301.04646874061
83,-66994.6735372489,70504.8826182097,-3427.20908096085
33.4636600217,-66451.4203335426,70428.5912403863,-3943.70724682193
0,-67147.8222366018,70366.7275394638,-3218.90530286205
0,-67204.0569960335,70304.8638385414,-3100.80684250788
29.7959183673,-66919.2672230818,70241.4312640185,-3292.36812256939
0,-66376.2864452152,70177.9986894957,-3801.71224428044
25.3846153846,-67397.8087886854,70104.1336845062,-2680.94028043619
0,-67522.0727321983,70030.2686795167,-2508.19594731837
500,-67305.5996493611,69957.6889096736,-2152.0892603125
196.774193548,-66830.5826307685,69885.1091398305,-2857.75231551407
0,-67833.6780611222,69807.013257462,-1973.33519633979
0,-67958.3187156939,69728.9173750934,-1770.59865939953
0,-67742.5098499487,69647.6641849801,-1905.15433503137
0,-67267.8041176077,69566.4109948668,-2298.60687725911
0,-68220.4733207855,69489.0198849747,-1268.54656418927
20.6451612903,-68345.490686416,69411.6287750827,-1045.49292737643
0,-68130.3460377629,69341.3219802263,-1210.97594246342
0,-67655.9515916734,69271.0151853699,-1615.06359369648
0,-68557.6534748946,69210.6571703959,-653.003695501306
0,-68683.0475515839,69150.299155422,-467.251603838144
0,-68468.5671200228,69078.2106776662,-609.643557643343
19.1666666667,-67994.4839601849,69006.1221999104,-992.47157305872
0,-68898.7674250404,68937.1127318087,-38.3453067682276
673.076923077,-69024.5382127884,68868.103263707,829.511872158473
0,-68810.7219983194,68802.6993812008,8.02261711866595
0,-68336.9501247331,68737.2954986946,-400.345373961434
0,-69200.3575799443,68663.061857846,537.295722098308
0,-69326.5050787511,68588.8282169974,737.676861753687
0,-69113.2140059791,68523.5565800799,589.65742589919
0,-68639.8924940394,68458.2849431624,181.607550876957
9.24464487035,-69489.7326012747,68391.8324903215,1107.14475582358
0,-69616.2568111403,68325.3800374805,1290.87677365978
0,-69403.4908800653,68249.1575852357,1154.33329482959
0,-68930.6197297722,68172.9351329909,757.684596781313
0,-69745.8083315529,68085.4929670732,1660.3153644797
0,-69872.7092524772,67998.0508011555,1874.65845132174
0,-69660.4684630993,67903.7081137589,1756.76034934042
0,-69188.0476744528,67809.3654263623,1378.68224809055
0,-70001.1963326727,67714.022216392,2287.17411628061
0,-70128.4739646558,67618.6790064218,2509.79495823395
0,-69916.7583169748,67534.9304269699,2381.82789000489
0,-69444.787889975,67451.1818475181,1993.60604245694
48.9990200196,-70189.7962472744,67390.310950638,2848.48431665597
0,-70317.4505903163,67329.440053758,2988.01053655827
0,-70106.2600843324,67288.5879040668,2817.6721802656
0,-69634.7400189792,67247.7357543755,2387.0042646036
527.293727716,-69283.6868801992,67225.5492244793,2585.43138343588
0,-69411.7179342998,67203.362694583,2208.35523971681
396.666666667,-69201.0525700129,67195.3113020267,2402.40793465325
223.384030418,-68729.9828663063,67187.2599094703,1766.106987254
24523.8095238,-69378.0660335568,67171.7912944098,26730.084262947
0,-69506.4737987162,67156.3226793493,2350.15111936691
97.1153846154,-69296.3335761263,67129.2326729745,2264.2162877673
0,-68825.7142340664,67102.1426665996,1723.57156746676
16.6170718873,-70462.245120313,93445.9932560606,-22967.1310638603
106.422018349,-70591.0295965312,119789.843845522,-49092.3922306414
699.177438308,-70381.4145156384,137780.045950753,-66699.4539968063
4014.96259352,-69911.245535225,155770.248055984,-81844.0399272387
2e+06,-70502.3150720876,163309.971588778,1907192.34348331
22400,-70631.4762593646,170849.695121571,-77818.2188622068
0,-70422.3863201687,116534.283832529,-46111.8975123605
18700,-69952.667701402,62218.872543487,26433.795157915
0,-70525.1922099762,62218.872543487,8306.3196664892
0,-70654.730108312,62218.872543487,8435.85756482494
0,-70446.1653108131,62218.872543487,8227.29276732613
1570000,-69976.897053693,62218.872543487,1577758.02451021
0,-70526.8738727745,62218.872543487,8308.00132928751
3380,-70656.788482169,62218.872543487,11817.915938682
0,-70448.7488263672,62935.572372072,7513.17645429523
0,-69979.9309308937,63652.272200657,6327.65873023675
0,-70514.4985359335,69870.9634984054,643.535037528098
0,-70644.7898563868,76089.6547961539,-5444.86493976708
0,-70437.275342282,82308.3460939023,-11871.0707516203
6500,-69968.9078084551,88527.0373916508,-12058.1295831957
0,-70530.2814225461,89243.7372202358,-18713.4557976897
45.7214141296,-72369.7680927174,89960.4370488208,-17544.9475419737
0,-78302.6484022312,88856.5369573898,-10553.8885551587
0,-78376.4537615212,87752.6368659589,-9376.18310443772
0,-78121.1926516003,95398.0142920292,-17276.821640429
0,-77636.3282214847,103043.391718099,-25407.0634966148
0,-57159.4718396926,218854.116214821,-161694.644375128
0,-59092.9071502669,334664.840711542,-275571.933561275
0,-60697.1300131477,348754.555153471,-288057.425140324
77.2164852544,-62070.8989303031,362844.269595401,-300696.154179843
131666.666667,-64495.9090522911,331893.755185289,-135731.179465998
790000,-66430.1691512299,300943.240775178,555486.928376052
