"Date","seasonal","trend","remainder"
14247,-30.0529615021084,14276.8414977412,0.211463760937477
14248,-31.8126634723879,14279.3091474051,0.503516067288729
14249,-31.7733820622198,14281.776797069,-1.00341500681134
14250,-31.7337490150389,14284.1997223569,-2.46597334186299
14251,-31.6988083801163,14286.6226476448,-3.92383926465664
14252,-33.6585043490701,14289.0029634563,-3.34445910726754
14253,-33.6192257249908,14291.3832792679,-4.76405354291091
14254,-33.579592144139,14292.6193957168,-5.03980357262662
14255,-33.544626347249,14293.8555121656,-5.31088581837867
14256,-35.4937351466397,14294.8245465207,-3.33081137405679
14257,-35.4544593086492,14295.7935808758,-3.33912156711631
14258,-35.4148251941267,14296.4859694879,-3.07114429376816
14259,-35.3798342352693,14297.1783581,-2.79852386475432
14260,-37.3336362935761,14297.7466788144,-0.41304252080954
14261,-37.2943632416745,14298.3149995287,-0.0206362870740122
14262,-37.2547285934812,14300.3761134326,-1.1213848391053
14263,-37.2197124726564,14302.4372273364,-2.21751486376706
14264,-39.0155826949675,14303.0731890725,-0.057606377537013
14265,-38.9763124291548,14303.7091508086,0.267161620569823
14266,-38.9366772472906,14303.7091508086,1.22752643870626
14267,-38.9016359644984,14303.7091508086,2.19248515591426
14268,-40.2281678815174,14303.7091508086,4.51901707293291
14269,-40.1889004017935,14303.7091508086,5.47974959320891
14270,-40.1492649159582,14303.7091508086,6.44011410737403
14271,-40.1141982414989,14303.7091508086,7.40504743291422
14272,-40.9611042003939,14303.6594385453,9.30166565508989
14273,-40.9218395067588,14303.609726282,10.3121132247343
14274,-40.8822037169524,14303.7290945165,11.1531092004479
14275,-40.847111650826,14303.848462751,11.9986488998402
14276,-41.4121399380145,14303.776574846,13.6355650920505
14277,-41.3728780304683,14303.7046869409,14.6681910895259
14278,-41.3332419366908,14303.6654602271,15.6677817096224
14279,-41.2981244788972,14303.6262335132,16.6718909657047
14280,-41.6897643637575,14303.6262335132,18.0635308505643
14281,-41.6505052423001,14303.6262335132,19.0242717291076
14282,-41.6108688445516,14303.6262335132,19.9846353313587
14283,-41.5757259950908,14303.6262335132,20.9494924818991
14284,-41.8714477592009,14303.629803555,22.2416442042249
14285,-41.8321914238323,14303.6333735968,23.1988178270749
14286,-41.7925547221127,14303.6395994786,24.1529552435277
14287,-41.7573864809849,14303.6458253604,25.1115611205751
14288,-41.8507881866022,14303.66533418,26.1854540065578
14289,-41.8115346373224,14303.6848429997,27.1266916376408
14290,-41.7718976316317,14303.6989902317,28.0729073999501
14291,-41.7367039988367,14303.7131374637,29.023566535152
14292,-42.6942468044135,14303.717621733,30.9766250714147
14293,-42.6549960412226,14303.7221060023,31.93289003891
14294,-42.6153587315608,14303.7247081331,32.8906505984942
14295,-42.5801397070987,14303.7273102638,33.8528294432799
14296,-42.5691871960972,14303.7295908576,34.8395963384974
14297,-42.5299392189951,14303.7318714514,35.7980677676151
14298,-42.4903016053622,14303.7307143855,36.7595872198744
14299,-42.455057189233,14303.7295573196,37.725499869639
14300,-41.504662669109,14303.7268071241,37.7778555450059
14301,-41.4654174780958,14303.7240569286,38.7413605494821
14302,-41.4257795604918,14303.7179828282,39.7077967323075
14303,-41.3905097526955,14303.7119087278,40.6786010249398
14304,-40.7501617072551,14303.7101911132,41.0399705941054
14305,-40.7109193023307,14303.7084734985,42.0024458037879
14306,-40.6712810807556,14303.7108230136,42.9604580671948
14307,-40.6359858812922,14303.7131725286,43.9228133527158
14308,-39.7079612729392,14303.7234156121,43.9845456608018
14309,-39.6687216541036,14303.7336586957,44.9350629584042
14310,-39.6290831285574,14303.7264143083,45.9026688202921
14311,-39.5937625374268,14303.7191699208,46.8745926165939
14312,-39.1522228054433,14303.7070749356,47.4451478698338
14313,-39.1129859726966,14303.6949799504,48.4180060223116
14314,-39.0733471431793,14303.7067393467,49.3666077964626
14315,-39.0380011603816,14303.718498743,50.3195024173328
14316,-38.3187755352383,14303.7649872671,50.5537882681838
14317,-38.2795414885804,14303.8114757911,51.4680656975179
14318,-38.239902355092,14303.8214083917,52.4184939634288
14319,-38.2045309806272,14303.8313409923,53.3731899883642
14320,-37.3360861097132,14303.8320644283,53.5040216814486
14321,-37.2968548491442,14303.8327878643,54.4640669848777
14322,-37.2572154116848,14303.8330784758,55.4241369358388
14323,-37.2218186455528,14303.8333690874,56.3884495581278
14324,-36.4080136149288,14303.8335465202,56.5744670947606
14325,-36.3687851404486,14303.8337239529,57.5350611875347
14326,-36.3291453990181,14303.8107572005,58.5183881985358
14327,-36.293723241219,14303.7877904481,59.5059327931667
14328,-35.3422346978649,14303.7579818181,59.5842528797457
14329,-35.3174508349337,14303.7281731882,60.5892776467499
14330,-35.2922526149922,14303.7251440051,61.5671086099228
14331,-35.2712468909861,14303.722114822,62.5491320690307
14332,-34.3320413253688,14303.7235152452,62.608526080212
14333,-34.3252321969686,14303.7249156684,63.6003165286111
14334,-34.3180056214983,14303.7340541254,64.5839514960535
14335,-34.3149464542672,14303.7431925825,65.5717538717345
14336,-33.4154046595156,14303.7444957355,65.6709089240248
14337,-33.3941564917441,14303.7457988884,66.6483576032952
14338,-33.3724877868426,14303.7350437223,67.6374440645213
14339,-33.3549614024843,14303.7242885562,68.6306728462914
14340,-32.3099996749636,14303.719734182,68.5902654929814
14341,-32.2924347162352,14303.7151798078,69.5772549084631
14342,-32.2744461303169,14303.7115463255,70.5628998048505
14343,-32.2605747772458,14303.7079128432,71.5526619340817
14344,-31.3263168430516,14303.7055365504,71.6207802926419
14345,-31.3087546704121,14303.7031602577,72.6055944127565
14346,-31.2907657805227,14303.7049230926,73.5858426879331
14347,-31.2768690357845,14303.7066859275,74.5701831082606
14348,-30.2280031441097,14303.7871316985,74.4408714456276
14349,-30.2106193238024,14303.8675774694,75.343041854363
14350,-30.1928056961852,14305.2142008234,74.9786048727528
14351,-30.1790591260232,14306.5608241774,74.6182349485989
14352,-29.4347317405038,14308.0024933203,73.4322384202096
14353,-29.4173507062853,14309.4441624632,72.9731882431188
14354,-29.3995367746971,14311.070238937,72.3292978376812
14355,-29.385764812868,14312.6963154109,71.6894494020016
14356,-28.3418241353874,14314.3565065581,69.9853175772441
14357,-28.3224555635425,14316.0166977054,69.3057578581229
14358,-28.3026510042679,14316.519079534,69.7835714702269
14359,-28.2868633270564,14317.0214613627,70.2654019643942
14360,-27.2234673273452,14323.3666179558,63.8568493715684
14361,-27.2220826801708,14329.7117745489,58.5103081312791
14362,-27.2202589555067,14351.0046286523,38.2156303031716
14363,-27.2224270252096,14372.2974827558,17.9249442694327
14364,-26.2133896556137,14391.9486253689,-1.73523571330043
14365,-26.2091215823675,14411.5997679821,-20.3906463996827
14366,-26.2044113955291,14440.3468938001,-48.1424824045553
14367,-26.203667888383,14469.0940196181,-75.8903517297367
14368,-25.205758636251,14477.0242625575,-83.8185039212349
14369,-25.1995568181008,14484.9545054969,-90.7549486787539
14370,-25.1929098502559,14485.5684615287,-90.3755516784186
14371,-25.1902044474286,14486.1824175605,-89.9922131130625
14372,-24.1977604946875,14486.1817966275,-89.9840361327715
14373,-24.1746100069047,14486.1811756944,-89.0065656875231
14374,-24.1510113333248,14486.1803350979,-88.0293237645274
14375,-24.1313291100877,14486.1794945013,-87.0481653911884
14376,-23.1287099030972,14486.1792594979,-87.05054959478
14377,-23.1037731139008,14486.1790244945,-86.0752513805801
