"Difficulty","seasonal","trend","remainder"
1,2262094799.43473,-2274663951.97284,12569153.5381112
0,2284886021.75854,-2275298915.69678,-9587106.06175852
0,2281199693.39027,-2275933879.42072,-5265813.96955109
0,2278026795.07964,-2277288559.86689,-738235.212753296
0,2275611473.19091,-2278643240.31307,3031767.12216091
0,2297355325.82425,-2283409668.33288,-13945657.4913769
1,2293668941.02096,-2288176096.35268,-5492843.66827583
1,2290494393.24078,-2316951562.90443,26457170.663651
1,2288078564.05837,-2345727029.45618,57648466.3978057
1,2293851379.59566,-2568653263.72552,274801885.12986
1,2290164938.35734,-2791579497.99485,501414560.637513
1,2286988741.1076,-2915917334.68399,628928594.576385
1,2284572404.63153,-3040255171.37313,755682767.741596
1,2290816875.75727,-3324358576.80419,1033541702.04692
1,2287130378.08393,-3608461982.23525,1321331605.15133
1,2283952531.36464,-3666676742.76603,1382724212.4014
1,2281535687.59489,-3724891503.29681,1443355816.70192
1,2290802209.62643,-3746299554.59353,1455497345.9671
1,2287115655.51806,-3767707605.89024,1480591951.37218
1,2283936159.32922,-3769049423.45853,1485113265.12931
1,2281518808.26581,-3770391241.02682,1488872433.76101
1,2291482632.25262,-3770440777.27414,1478958146.02152
1,2287796021.70924,-3770490313.52146,1482694292.81223
1,2284615424.04927,-3770518766.24509,1485903343.19582
1,2282197017.69375,-3770547218.96873,1488350202.27497
1,2287641151.70784,-3770394664.59024,1482753513.8824
1,2283954484.72943,-3770242110.21176,1486287626.48233
1,2280772785.59835,-3770223845.5633,1489451060.96495
1,2278353323.95073,-3770205580.91484,1491852257.96412
1,976910077.191056,-4664402415.1913,3687492339.00025
1,1170044315.89378,-5558599249.46776,4388554934.57398
1,1363682477.40774,-6558564734.40301,5194882257.99527
1,1558082922.58418,-7558530219.33826,6000447297.75408
1,1441958230.31582,-7619413237.94061,6177455008.62479
1,1635092412.58352,-7680296256.54296,6045203844.95944
1,1828729472.62636,-7682682555.55465,5853953083.92829
1,2023128862.51069,-7685068854.56633,5661939993.05564
1,4606939505.50012,-7687239673.95278,3080300169.45267
1,4260381289.80332,-7689410493.33923,3429029204.5359
1,3914324906.84557,-7691367666.41442,3777042760.56886
1,3569030899.90832,-7693324839.48962,4124293940.5813
1,3938849218.46737,-7701879728.63146,3763030511.16409
1,3592290946.33555,-7710434617.77329,4118143672.43774
1,3246233461.90668,-7936935894.54199,4690702433.63531
1,2900938399.67733,-8163437171.31068,5262498772.63336
1,3410989284.50673,-8320470501.69289,4909481218.18616
1,3407302335.3532,-8477503832.07509,5070201497.72189
1,3404115128.86652,-8627345095.16417,5223229967.29765
1,3401690390.75837,-8777186358.25324,5375495968.49487
1,3781622664.67862,-8841684778.25762,5060062114.579
1,3777935659.09007,-8906183198.262,5128247540.17194
1,3774747351.13227,-9210938977.72032,5436191627.58805
1,3772321557.73202,-9515694757.17863,5743373200.44662
1,3784192606.44035,-9878896623.30669,6094704017.86634
1,3780505544.41678,-10242098489.4348,6461592946.01797
1,3777316134.98786,-10256156559.0906,6478840425.10279
1,3774889286.2955,-10270214628.7465,6495325343.45103
1,3781181714.81533,-10270407393.1593,6489225679.344
1,3777494596.35673,-10270600157.5721,6493105562.2154
1,3774304085.45669,-10271117044.9794,6496812960.52272
1,3771876181.47223,-10271633932.3867,6499757751.91447
1,3781505062.45365,-10273081231.2105,6491576169.75684
1,3777817887.56003,-10274528530.0343,6496710643.47426
1,3774626275.18887,-10277859118.4795,6503232844.29058
1,3772197315.91231,-10281189706.9246,6508992392.01231
1,3783415588.43967,-10287789246.7464,6504373659.3067
1,3779728357.11102,-10294388786.5681,6514660430.4571
1,3776535643.26875,-10306862428.9996,6530326786.73085
1,3774105628.70008,-10319336071.4311,6545230443.731
1,3784607265.54227,-10337074945.1385,6552467680.59621
1,3780919977.7786,-10354813818.8459,6573893842.06728
1,3777726162.4652,-10378063509.207,6600337347.74178
1,3775295092.60443,-10401313199.5681,6626018107.96365
1,3785378370.74749,-10431026392.0953,6645648022.34781
1,3781691026.54879,-10460739584.6225,6679048559.07372
1,3778496109.76428,-10490404167.5887,6711908058.8244
1,3776063984.6114,-10520068750.5548,6744004766.94344
1,3787144695.74085,-10550671000.9736,6763526306.23276
1,3783457295.10714,-10581273251.3924,6797815957.28525
1,3780261276.8515,-10609229439.0923,6828968163.24083
1,3777828096.40652,-10637185626.7923,6859357531.38576
1,3787797318.16673,-10670521274.5908,6882723957.42409
1,3784109861.098,-10703856922.3894,6919747062.29137
1,3780912741.37124,-10737662718.2699,6956749977.8987
1,3778478505.63415,-10771468514.1505,6992990009.51636
1,3784693270.6588,-10799351009.8979,7014657740.23914
1,3781005757.15504,-10827233505.6454,7046227749.49033
1,3777807535.95716,-10850707178.7686,7072899643.81148
1,3775372244.92797,-10874180851.8919,7098808607.96395
1,3783161393.69969,-10885577304.7247,7102415912.02504
1,3779473823.7609,-10896973757.5575,7117499934.79664
1,3776274501.0919,-11028331358.1318,7252056858.03992
1,3773838154.77061,-11159688958.7061,7385850804.9355
1,3785268084.80455,-11334443028.0161,7549174944.21155
1,3781580458.43074,-11509197097.3261,7727616639.89534
1,3778380034.29063,-11526180284.1022,7747800250.81155
1,3775942632.67722,-11543163470.8783,7767220839.20105
1,3785891174.86165,-11564544145.5048,7778652971.64315
1,3782203492.05282,-11585924820.1313,7803721329.07852
1,3779001966.44159,-11802772215.2102,8023770249.76862
1,3776563509.53608,-12019619610.2891,8243056101.753
1,4047954478.68677,-12188123781.2374,8140169303.55059
1,4044266739.44292,-12356627952.1856,8312361213.74273
1,4041064112.36057,-12608389182.8903,8567325071.5297
1,4038624600.16296,-12860150413.5949,8821525814.43192
1,4308923672.9067,-12867145814.7051,8558222142.79835
1,4305235877.22782,-12874141215.8152,8568905339.58741
1,4302032148.67435,-12874632327.8331,8572600180.15876
1,4299591581.18463,-12875123439.851,8575531859.66636
1,4310672958.06821,-12875613805.5472,8564940848.47903
1,4306985105.95431,-12876104171.2435,8569119066.28917
1,4303780275.92972,-12876227333.0648,8572447058.13504
1,4301338653.14789,-12876350494.886,8575011842.73814
1,4316368697.1105,-12876479022.3702,8560110326.25967
1,4312680788.56157,-12876607549.8543,8563926762.29272
1,4309474857.06586,-12761500447.872,8452025591.80614
1,4307032178.99193,-12646393345.8897,8339361167.89778
1,4308094082.87275,-8553837952.35867,4245743870.48592
1,4304406409.29979,-4461282558.82763,156876150.527841
1,4301199084.92197,-2336654526.95633,-1964544556.96564
1,4298755351.55594,-212026495.085038,-4086728855.4709
1,4311305459.55251,3866597587.0391,-8177903045.59161
1,4307618020.95551,7945221669.16323,-12252839689.1187
1,4304409303.69559,8058504576.22254,-12362913878.9181
1,4301964515.03745,8171787483.28184,-12473751997.3193
1,4343927401.50173,8169229165.08648,-12513156565.5882
1,4340240197.8807,8166670846.89112,-12506911043.7718
1,4337030087.73867,8162237968.18246,-12499268054.9211
1,4334584243.78843,8157805089.47379,-12492389332.2622
1,1457904368.89269,8151163712.78781,-9609068080.6805
1,2106682862.76265,8144522336.10183,-10251205197.8645
1,2755936822.25356,8135654528.50863,-10891591349.7622
1,3405955385.52626,8126786720.91543,-11532742105.4417
1,5730775191.74946,8115598019.37167,-13846373210.1211
1,6379553920.59539,8104409317.82792,-14483963237.4233
1,7028806487.20419,8090895101.00445,-15119701587.2086
1,7678823995.18478,8077380884.18098,-15756204878.3658
1,7689046166.27399,8061854995.29889,-15750901160.5729
1,7685359792.78554,8046329106.4168,-15731688898.2023
1,7682145503.99719,8029562251.26722,-15711707754.2644
1,7679696494.17064,8012795396.11763,-15692491889.2883
1,7695932257.28819,7995617732.40081,-15691549988.689
1,7692246243.98039,7978440068.68399,-15670686311.6644
1,7689030562.30993,7961792019.67524,-15650822580.9852
1,7686580497.19128,7945143970.6665,-15631724466.8578
1,7700595695.16357,7929832947.62693,-15630428641.7905
1,7696910042.03642,7914521924.58736,-15611431965.6238
1,7693692967.48386,7900376439.18382,-15594069405.6677
1,7691241847.0731,7886230953.78027,-15577472799.8534
1,7704328757.2954,7871678119.60141,-15576006875.8968
1,7700643464.34891,7857125285.42255,-15557768748.7715
1,7697424996.91424,7841103014.13612,-15538528010.0504
1,7694972750.85342,7825080742.8497,-15520053492.7031
1,7712079287.77464,7807086192.92418,-15519165479.6988
1,7708394355.0088,7789091642.99865,-15497485997.0074
1,7705174494.69203,7768349449.80637,-15473523943.4984
1,7702721122.98114,7747607256.6141,-15450328378.5952
1,7716206580.19658,7724353267.37629,-15440559846.5729
1,7712522007.61139,7701099278.13849,-15413621284.7499
1,7709300754.41252,7675422473.87458,-15384723227.2871
1,7706846257.05158,7649745669.61068,-15356591925.6623
1,7719766652.1525,7621299808.50538,-15341066459.6579
1,7716082439.74797,7592853947.40007,-15308936386.148
1,7712859793.66698,7562034651.51088,-15274894444.1779
1,7710404170.65598,7531215355.62169,-15241619525.2777
1,7723681175.85812,7498464729.80344,-15222145904.6616
1,7719997323.63424,7465714103.98519,-15185711426.6194
1,7716773284.67115,7431571159.99164,-15148344443.6628
1,7714316536.01009,7397428215.9981,-15111744751.0082
1,7724677282.72008,7362399145.08366,-15087076426.8037
1,7720993790.67686,7327370074.16922,-15048363863.8461
1,7717768848.73233,7292351202.30731,-15010120050.0396
1,7715310484.52055,7257332330.44541,-14972642813.966
1,7724135278.15045,7223086571.06177,-14947221848.2122
1,7720452146.28789,7188840811.67814,-14909292956.966
1,7717226301.36191,7155778607.9452,-14873004908.3071
1,7714766321.59941,7122716404.21226,-14837482724.8117
1,7816361077.06677,7090863240.19429,-14907224316.2611
1,7812678305.38485,7059010076.17632,-14871688380.5612
1,7809451557.47743,7027971786.7252,-14837423343.2026
1,7806989962.16421,6996933497.27409,-14803923458.4383
1,4975014919.38883,6966701376.16345,-11941716294.5523
1,5443819661.82186,6936469255.05282,-12380288915.8747
1,5913079164.86728,6907557886.6256,-12820637050.4929
1,6383103107.93762,6878646518.19838,-13261749625.136
