"EstimatedTransactionVolume","seasonal","trend","remainder"
0,-41086.3485606286,37207.4608122923,3878.88774833634
0,-33836.1274087544,36704.4408711911,-2868.31346243672
0,-33836.1274087544,36201.42093009,-2365.29352133557
0,-33836.1274087544,35789.8640785379,-1953.7366697835
0,-33836.1274087544,35378.3072269858,-1542.17981823142
0,-28938.4789188249,35072.1427278201,-6133.66380899519
0,-28938.4789188249,34765.9782286544,-5827.49930982946
0,-28938.4789188249,34981.3030672952,-6042.8241484703
0,-28938.4789188249,35196.627905936,-6258.14898711113
24,-32307.0636915555,34323.5346494984,-1992.4709579429
10,-32307.0636915555,33450.4413930607,-1133.37770150524
0,-32307.0636915555,32287.7134035513,19.3502880041924
414,-32307.0636915555,31124.9854140419,1596.07827751362
100,-39932.925661336,29960.2078995108,10072.7177618253
100,-39932.925661336,28795.4303849797,11237.4952763564
0,-39932.925661336,27732.8932693829,12200.0323919532
150,-39932.925661336,26670.3561537861,13412.56950755
775,-28707.9886992673,26270.0934033808,3212.8952958865
500,-28707.9886992673,25869.8306529755,3338.15804629179
500,-28707.9886992673,26500.9461093682,2707.04258989903
150,-28707.9886992673,27132.061565761,1725.92713350627
800,-30571.8332817201,26875.8999122114,4495.93336950866
50,-30571.8332817201,26619.7382586618,4002.09502305824
0,-30571.8332817201,25629.7153269206,4942.11795479945
1150,-30571.8332817201,24639.6923951794,7082.14088654066
0,-38877.1484096521,22774.999555879,16102.1488537731
0,-38877.1484096521,20910.3067165787,17966.8416930734
600,-38877.1484096521,19076.9622496812,20400.1861599709
0,-38877.1484096521,17243.6177827837,21633.5306268684
1100,-33210.3398697773,15746.6280930632,18563.7117767141
0,-33210.3398697773,14249.6384033427,18960.7014664345
115,-33210.3398697773,14512.5195786816,18812.8202910957
38,-33210.3398697773,14775.4007540204,18472.9391157569
0,-38687.9608832549,16312.8821503738,22375.078732881
0,-38687.9608832549,17850.3635467273,20837.5973365275
1150,-38687.9608832549,18626.9775531926,21210.9833300622
1000,-38687.9608832549,19403.5915596579,20284.3693235969
2200,-38781.3135751033,19421.6869667281,21559.6266083752
0,-38781.3135751033,19439.7823737982,19341.5312013051
350,-38781.3135751033,18905.2542834069,20226.0592916964
200,-38781.3135751033,18370.7261930156,20610.5873820877
0,-37913.0587201083,17449.7645943479,20463.2941257603
0,-37913.0587201083,16528.8029956802,21384.255724428
900,-37913.0587201083,16878.5430659994,21934.5156541089
0,-37913.0587201083,17228.2831363186,20684.7755837897
1500,-34026.5786417192,18132.2384167566,17394.3402249625
0,-34026.5786417192,19036.1936971947,14990.3849445245
0,-34026.5786417192,19719.741475846,14306.8371658731
800,-34026.5786417192,20403.2892544974,14423.2893872218
0,-19531.1720071197,20069.0010299218,-537.829022802034
1050,-19531.1720071197,19734.7128053461,846.459201773596
0,-19531.1720071197,18192.0520229633,1339.1199841564
0,-19531.1720071197,16649.3912405805,2881.78076653921
0,-15528.6754657411,14373.643034588,1155.03243115301
0,-15528.6754657411,12097.8948285956,3430.78063714549
0,-15528.6754657411,9700.84787090958,5827.82759483147
1800,-15528.6754657411,7303.8009132236,10024.8745525175
350,-24334.3520537098,5625.3411800606,19059.0108736492
0,-24334.3520537098,3946.8814468976,20387.4706068122
400,-24334.3520537098,3515.75249830176,21218.599555408
0,-24334.3520537098,3084.62354970592,21249.7285040039
1200,-32704.483401475,3534.99019518394,30369.4932062911
400,-32704.483401475,3985.35684066195,29119.1265608131
0,-32704.483401475,5052.08389794662,27652.3995035284
1550,-32704.483401475,6118.81095523128,28135.6724462438
0,-29262.1870740547,6627.00509433834,22635.1819797164
0,-29262.1870740547,7135.1992334454,22126.9878406093
0,-29262.1870740547,7928.4772258009,21333.7098482538
150,-29262.1870740547,8721.7552181564,20690.4318558983
750,-21718.2353402013,10027.1069173634,12441.1284228379
0,-21718.2353402013,11332.4586165705,10385.7767236308
0,-21718.2353402013,12024.05757151,9694.17776869129
2400,-21718.2353402013,12715.6565264496,11402.5788137517
0,-27882.3544964085,13357.5829585801,14524.7715378284
0,-27882.3544964085,13999.5093907106,13882.8451056979
700,-27882.3544964085,14807.0808149588,13775.2736814497
600,-27882.3544964085,15614.652239207,12867.7022572015
0,-31780.5075768817,15247.7694603957,16532.7381164861
550,-31780.5075768817,14880.8866815843,17449.6208952974
0,-31780.5075768817,14889.7293551731,16890.7782217086
0,-31780.5075768817,14898.572028762,16881.9355481197
0,-17110.4357963839,15757.9115743509,1352.524222033
1400,-17110.4357963839,16617.2511199398,1893.1846764441
0,-17110.4357963839,17283.0443547516,-172.608558367723
1000,-17110.4357963839,17948.8375895634,161.598206820454
0,-20676.0636331847,18205.0381391266,2471.02549405809
0,-20676.0636331847,18461.2386886897,2214.82494449496
1600,-20676.0636331847,17973.4494793861,4302.61415379852
0,-20676.0636331847,17485.6602700826,3190.40336310209
0,-37115.7054972502,16065.8424506153,21049.8630466349
0,-37115.7054972502,14646.024631148,22469.6808661022
0,-37115.7054972502,12975.1694927152,24140.536004535
0,-37115.7054972502,11304.3143542824,25811.3911429679
850,-33036.3839576537,10002.6076873154,23883.7762703383
0,-33036.3839576537,8700.9010203484,24335.4829373053
0,-33036.3839576537,8391.47613295681,24644.9078246969
0,-33036.3839576537,8082.05124556523,24954.3327120885
0,-19567.931806739,7445.59932766144,12122.3324790776
350,-19567.931806739,6809.14740975764,13108.7843969814
0,-19567.931806739,5664.01760167795,13903.9142050611
960,-19567.931806739,4518.88779359825,16009.0440131408
0,-19980.0011519807,4118.99178102128,15861.0093709594
0,-19980.0011519807,3719.09576844432,16260.9053835364
0,-19980.0011519807,3842.44748650332,16137.5536654774
0,-19980.0011519807,3965.79920456233,16014.2019474184
115,-21467.9721064814,4386.2658058773,17196.7063006041
450,-21467.9721064814,4806.73240719226,17111.2396992891
2250,-21467.9721064814,6724.29575426888,16993.6763522125
3500,-21467.9721064814,8641.8591013455,16326.1130051359
0,-11901.3503342564,10559.5539257902,1341.79640846618
0,-11901.3503342564,12477.2487502349,-575.8984159785
0,-11901.3503342564,13351.9069785459,-1450.55664428954
0,-11901.3503342564,14226.5652068569,-2325.21487260059
750,-2657.54829942622,15524.1360893491,-12116.5877899228
0,-2657.54829942622,16821.7069718412,-14164.158672415
0,-2657.54829942622,18880.8738417277,-16223.3255423014
0,-2657.54829942622,20940.0407116141,-18282.4924121879
1000,-7517.5373552399,23153.173791681,-14635.6364364411
0,-7517.5373552399,25366.3068717479,-17848.769516508
0,-7517.5373552399,27311.8758624688,-19794.3385072289
699,-7517.5373552399,29257.4448531896,-21040.9074979497
50,-16260.3754249649,30665.3692840313,-14354.9938590664
1500,-16260.3754249649,32073.293714873,-14312.9182899081
500,-16260.3754249649,32572.1703772508,-15811.7949522859
0,-16260.3754249649,33071.0470396286,-16810.6716146637
0,-14535.5170438918,32625.8913912122,-18090.3743473204
0,-14535.5170438918,32180.7357427958,-17645.218698904
0,-14535.5170438918,32135.7890625609,-17600.2720186692
