"EstimatedTransactionVolumeUSD","seasonal","trend","remainder"
0,5886138.73491692,-5892174.89085206,6036.15593514033
0,5401139.81203531,-5500944.57647285,99804.7644375376
0,5401139.81203531,-5109714.26209364,-291425.549941675
0,5401139.81203531,-4729586.06110691,-671553.750928406
0,5401139.81203531,-4349457.86012017,-1051681.95191514
0,4958146.94591495,-3973801.2489104,-984345.697004547
0,4958146.94591495,-3598144.63770063,-1360002.30821432
0,4958146.94591495,-3270327.45457963,-1687819.49133532
0,4958146.94591495,-2942510.27145864,-2015636.67445631
0,4275346.70200837,-2723288.44703707,-1552058.2549713
0,4275346.70200837,-2504066.6226155,-1771280.07939287
0,4275346.70200837,-2328349.21737501,-1946997.48463336
0,4275346.70200837,-2152631.81213452,-2122714.88987385
0,3747776.11792652,-2008514.05981293,-1739262.05811359
0,3747776.11792652,-1864396.30749134,-1883379.81043518
0,3747776.11792652,-1768794.76374628,-1978981.35418024
0,3747776.11792652,-1673193.22000123,-2074582.8979253
0,3563420.13195412,-1621870.71360171,-1941549.41835242
0,3563420.13195412,-1570548.20720219,-1992871.92475193
0,3563420.13195412,-1549184.74935846,-2014235.38259567
0,3563420.13195412,-1527821.29151473,-2035598.8404394
0,3363264.23890654,-1540687.63853694,-1822576.6003696
0,3363264.23890654,-1553553.98555916,-1809710.25334739
0,3363264.23890654,-1604401.72788003,-1758862.51102651
0,3363264.23890654,-1655249.4702009,-1708014.76870564
0,3065893.0333367,-1729772.88058489,-1336120.1527518
0,3065893.0333367,-1804296.29096889,-1261596.74236781
0,3065893.0333367,-1885777.1457199,-1180115.8876168
0,3065893.0333367,-1967258.00047091,-1098635.03286579
0,2786566.90063245,-2053855.35775496,-732711.54287749
0,2786566.90063245,-2140452.71503902,-646114.185593438
0,2786566.90063245,-2209313.95277099,-577252.94786146
0,2786566.90063245,-2278175.19050297,-508391.710129481
0,2515997.97267035,-2308503.86558004,-207494.107090312
0,2515997.97267035,-2338832.5406571,-177165.432013249
0,2515997.97267035,-2369605.58369544,-146392.388974912
0,2515997.97267035,-2400378.62673377,-115619.345936575
0,2235042.4986898,-2477299.17556382,242256.676874022
0,2235042.4986898,-2554219.72439387,319177.225704073
0,2235042.4986898,-2680041.87246347,444999.373773666
0,2235042.4986898,-2805864.02053306,570821.521843258
0,1999262.37151107,-2975530.56035637,976268.188845295
0,1999262.37151107,-3145197.10017968,1145934.7286686
0,1999262.37151107,-3384834.39149429,1385572.01998322
0,1999262.37151107,-3624471.68280891,1625209.31129784
0,1937890.1018646,-3923006.94453122,1985116.84266661
0,1937890.1018646,-4221542.20625352,2283652.10438892
0,1937890.1018646,-4573156.44138403,2635266.33951943
0,1937890.1018646,-4924770.67651454,2986880.57464993
0,1992991.01707668,-5335274.02231213,3342283.00523546
0,1992991.01707668,-5745777.36810973,3752786.35103306
0,1992991.01707668,-6180504.06153402,4187513.04445734
0,1992991.01707668,-6615230.7549583,4622239.73788163
0,1907918.62427752,-7045333.04167663,5137414.4173991
0,1907918.62427752,-7475435.32839495,5567516.70411743
0,1907918.62427752,-7883426.16313962,5975507.5388621
0,1907918.62427752,-8291416.9978843,6383498.37360678
0,1745998.29046121,-8619712.19498249,6873713.90452128
0,1745998.29046121,-8948007.39208067,7202009.10161946
0,1745998.29046121,-9180077.41079266,7434079.12033145
0,1745998.29046121,-9412147.42950465,7666149.13904345
0,1554522.49131865,-9581911.89213619,8027389.40081753
0,1554522.49131866,-9751676.35476773,8197153.86344907
0,1554522.49131866,-9751451.98887151,8196929.49755286
0,1554522.49131865,-9751227.6229753,8196705.13165665
0,1388685.58067469,-9636362.29001124,8247676.70933655
0,1388685.58067469,-9521496.95704718,8132811.37637248
0,1388685.58067469,-9322147.01032087,7933461.42964618
0,1388685.58067469,-9122797.06359456,7734111.48291987
0,1317428.50924063,-8821101.30147098,7503672.79223035
0,1317428.50924063,-8519405.53934741,7201977.03010678
0,1317428.50924063,-8074808.7998139,6757380.29057327
0,1317428.50924063,-7630212.0602804,6312783.55103977
0,1405478.76291233,-7114915.53546657,5709436.77255424
0,1405478.76291233,-6599619.01065274,5194140.24774041
0,1405478.76291233,-6071507.52288045,4666028.75996812
0,1405478.76291233,-5543396.03510816,4137917.27219583
0,1521350.21706238,-5044967.91386341,3523617.69680103
0,1521350.21706238,-4546539.79261866,3025189.57555628
0,1521350.21706238,-4116008.7477612,2594658.53069882
0,1521350.21706238,-3685477.70290374,2164127.48584136
0,1582158.24672553,-3338929.03809929,1756770.79137376
0,1582158.24672553,-2992380.37329484,1410222.12656931
0,1582158.24672553,-2728373.67798994,1146215.43126441
0,1582158.24672553,-2464366.98268504,882208.735959515
0,1661570.5986147,-2297809.77508169,636239.176466988
0,1661570.5986147,-2131252.56747834,469681.968863635
0,1661570.5986147,-2043820.74004467,382250.141429973
0,1661570.5986147,-1956388.91261101,294818.313996311
0,1645872.59221266,-1901133.23690828,255260.644695623
0,1645872.59221266,-1845877.56120555,200004.96899289
0,1645872.59221266,-1789710.78636251,143838.194149848
0,1645872.59221266,-1733544.01151946,87671.4193068056
0,1645964.23029123,-1657358.20925565,11393.9789644182
0,1645964.23029123,-1581172.40699183,-64791.8232993982
0,1645964.23029123,-1476585.93546182,-169378.294829413
0,1645964.23029123,-1371999.4639318,-273964.766359427
0,1557994.48719138,-1232913.28542353,-325081.201767851
0,1557994.48719138,-1093827.10691525,-464167.380276126
0,1557994.48719138,-928925.544252061,-629068.942939316
0,1557994.48719138,-764023.981588871,-793970.505602506
0,1625060.01542966,-564064.638310905,-1060995.37711876
0,1625060.01542966,-364105.295032939,-1260954.72039673
0,1625060.01542966,-107952.450053181,-1517107.56537648
0,1625060.01542966,148200.394926577,-1773260.41035624
0,1911782.48998279,467941.853065691,-2379724.34304848
0,1911782.48998279,787683.311204805,-2699465.8011876
0,1911782.48998279,1169345.88043043,-3081128.37041322
0,1911782.48998279,1551008.44965605,-3462790.93963885
0,2097226.15784802,1995778.91206552,-4093005.06991354
0,2097226.15784802,2440549.37447499,-4537775.53232301
0,2097226.15784802,2933807.54830344,-5031033.70615146
0,2097226.15784802,3427065.72213188,-5524291.8799799
0,2252142.79609002,3950733.76389988,-6202876.5599899
0,2252142.79609002,4474401.80566787,-6726544.60175789
