"MarketCap","seasonal","trend","remainder"
0,624919007.373776,-633030849.958053,8111842.58427739
0,614200755.258431,-619899008.465566,5698253.2071346
0,614079774.881743,-606767166.973079,-7312607.90866423
0,613948162.79195,-593584424.661618,-20363738.1303316
0,613869937.252024,-580401682.350158,-33468254.901866
0,602466688.491175,-567186874.476684,-35279814.0144911
0,602345832.87609,-553972066.60321,-48373766.27288
0,602214163.596426,-540564294.021299,-61649869.5751269
0,602135812.864342,-527156521.439387,-74979291.424955
0,588320563.892156,-513868503.866054,-74452060.0261022
0,588199833.038674,-500580486.292721,-87619346.7459536
0,588068106.569138,-487730013.104306,-100338093.464832
0,587989630.644897,-474879539.915892,-113110090.729006
0,574599494.148583,-462726104.572616,-111873389.575968
0,574478888.056705,-450572669.229339,-123906218.827365
0,574347104.397297,-439215679.882443,-135131424.514854
0,574268503.280899,-427858690.535547,-146409812.745352
0,562986016.777054,-417281092.924708,-145704923.852346
0,562865535.446779,-406703495.313869,-156162040.13291
0,562733694.597499,-396614064.912546,-166119629.684954
0,562654968.288944,-386524634.511223,-176130333.777721
0,549040368.667145,-376707153.558721,-172333215.108425
0,548920012.098473,-366889672.606219,-182030339.492255
0,548788142.534137,-357425300.703531,-191362841.830605
0,548709262.558609,-347960928.800844,-200748333.757765
0,533977603.537211,-338812375.235898,-195165228.301313
0,533857371.730143,-329663821.670952,-204193550.05919
0,533725473.450749,-320653067.117144,-213072406.333605
0,533646439.80825,-311642312.563335,-222004127.244914
0,520646786.64305,-302823621.025524,-217823165.617526
0,520526679.597584,-294004929.487713,-226521750.109872
0,520394752.603133,-285260022.0457,-235134730.557433
0,520315565.293662,-276515114.603688,-243800450.689974
0,506361751.225695,-267952051.989834,-238409699.235861
0,506241768.941833,-259388989.37598,-246852779.565853
0,506109813.232325,-251458365.507163,-254651447.725162
0,506030472.255882,-243527741.638345,-262502730.617538
0,492692646.433394,-236671351.295439,-256021295.137955
0,492572788.911135,-229814960.952534,-262757827.958601
0,492440804.486569,-224063642.428617,-268377162.057952
0,492361309.843155,-218312323.9047,-274048985.938455
0,480446171.603016,-213428909.101628,-267017262.501388
0,480326438.84236,-208545494.298555,-271780944.543805
0,480194425.702737,-204666599.96946,-275527825.733277
0,480114777.392351,-200787705.640365,-279327071.751986
0,467934551.272544,-198142838.940643,-269791712.331901
0,467814943.273492,-195497972.240921,-272316971.032571
0,467682901.418811,-194017948.554724,-273664952.864087
0,467603099.441453,-192537924.868527,-275065174.572926
0,456296770.878208,-192269838.010678,-264026932.867529
0,456177287.640759,-192001751.152829,-264175536.487929
0,456045217.071021,-193044842.843651,-263000374.22737
0,455965261.426691,-194087934.534472,-261877326.892219
0,444057330.240436,-196250501.970925,-247806828.269511
0,443937971.764591,-198413069.407378,-245524902.357212
0,443805872.479795,-201449818.1311,-242356054.348695
0,443725763.168494,-204486566.854821,-239239196.313673
0,432433793.616547,-208411947.414908,-224021846.201639
0,432314559.902305,-212337327.974994,-219977231.92731
0,432182431.902452,-216777198.335152,-215405233.5673
0,432102168.924179,-221217068.69531,-210885100.228869
0,421721260.204385,-225660141.069085,-196061119.1353
0,421602151.251746,-230103213.44286,-191498937.808886
0,421469994.536836,-234192357.390426,-187277637.14641
0,421389577.891591,-238281501.337992,-183108076.553599
0,410501324.354328,-241330032.240095,-169171292.114232
0,410382340.163292,-244378563.142199,-166003777.021093
0,410250154.733325,-245824846.196054,-164425308.537271
0,410169584.421108,-247271129.249909,-162898455.1712
0,400736255.783483,-246860639.34647,-153875616.437013
0,400617396.354051,-246450149.443031,-154167246.91102
0,400485182.209026,-243885326.74149,-156599855.467535
0,400404458.229838,-241320504.03995,-159083954.189888
0,391122932.916876,-236769217.220028,-154353715.696848
0,391004198.249047,-232217930.400106,-158786267.848941
0,390871955.388965,-225766687.762174,-165105267.626791
0,390791077.742805,-219315445.124242,-171475632.618563
0,381723142.315442,-211752881.952176,-169970260.363266
0,381604532.409216,-204190318.780109,-177414213.629107
0,381472260.834076,-196087585.666991,-185384675.167086
0,381391229.520945,-187984852.553872,-193406376.967074
0,373699679.949093,-179858923.878586,-193840756.070507
0,373581194.804471,-171732995.203301,-201848199.60117
0,373448894.514274,-163916923.29036,-209531971.223914
0,373367709.534171,-156100851.377419,-217266858.156751
0,364432254.811477,-148782610.304197,-215649644.50728
0,364313894.428458,-141464369.230975,-222849525.197483
0,364181565.423203,-134938503.048888,-229243062.374316
0,364100226.776129,-128412636.8668,-235687589.909328
0,352550490.109339,-123288284.135551,-229262205.973788
0,352432254.487924,-118163931.404302,-234268323.083622
0,352299896.767612,-114383268.779969,-237916627.987643
0,352218404.453565,-110602606.155636,-241615798.297929
0,341600331.18841,-108083666.944596,-233516664.243813
0,341482220.328598,-105564727.733557,-235917492.595041
0,341349833.893228,-103859999.168388,-237489834.72484
0,341268187.91221,-102155270.60322,-239112917.308991
0,332761915.815932,-100870594.136568,-231891321.679364
0,332643929.717723,-99585917.6699162,-233058012.047807
0,332511514.567296,-98265953.6079293,-234245560.959367
0,332429714.919307,-96945989.5459425,-235483725.373364
0,323487037.415954,-95341395.3698458,-228145642.046108
0,323369176.079348,-93736801.1937491,-229632374.885599
0,323236732.213864,-91605700.633838,-231631031.580026
0,323154778.898902,-89474600.0739269,-233680178.824976
0,315718374.263589,-86558756.5959831,-229159617.667605
0,315600637.688586,-83642913.1180394,-231957724.570547
0,315468165.108045,-80259248.7434922,-235208916.364553
0,315386058.126112,-76875584.368945,-238510473.757167
0,309378582.580984,-71863602.4211144,-237514980.159869
0,309260970.767585,-66851620.4732839,-242409350.294301
0,309128469.471986,-52421267.6709612,-256707201.801025
0,309046208.823081,-37990914.8686385,-271055293.954443
