"MinersRevenue","seasonal","trend","remainder"
0,216127.218414377,-219382.072511737,3254.85409735923
0,212030.377394109,-215307.462521611,3277.08512750213
0,212030.377394109,-211232.852531486,-797.524862623337
0,212030.377394109,-207092.754298251,-4937.62309585846
0,212030.377394109,-202952.656065016,-9077.72132909356
0,209244.74409898,-198795.962381171,-10448.7817178085
0,209244.74409898,-194639.268697327,-14605.4754016527
0,209244.74409898,-190235.534860436,-19009.2092385435
0,209244.74409898,-185831.801023546,-23412.9430754342
0,207364.478678043,-181207.959913284,-26156.5187647599
0,207364.478678043,-176584.118803022,-30780.3598750219
0,207364.478678043,-171980.522578892,-35383.9560991512
0,207364.478678043,-167376.926354763,-39987.5523232804
0,202863.772392025,-162963.035570089,-39900.7368219356
0,202863.772392025,-158549.144785415,-44314.6276066095
0,202863.772392025,-154384.653362997,-48479.1190290276
0,202863.772392025,-150220.161940579,-52643.6104514456
0,198079.126522954,-146406.664089001,-51672.4624339532
0,198079.126522954,-142593.166237422,-55485.9602855316
0,198079.126522954,-139289.075203965,-58790.0513189894
0,198079.126522954,-135984.984170507,-62094.1423524472
0,192492.174913189,-133030.484793003,-59461.6901201859
0,192492.174913189,-130075.9854155,-62416.1894976894
0,192492.174913189,-127383.129834437,-65109.045078752
0,192492.174913189,-124690.274253375,-67801.9006598147
0,187655.169534332,-122214.87214479,-65440.297389542
0,187655.169534332,-119739.470036206,-67915.6994981262
0,187655.169534332,-117209.830901476,-70445.3386328563
0,187655.169534332,-114680.191766746,-72974.9777675864
0,184638.620847708,-111875.828327356,-72762.7925203522
0,184638.620847708,-109071.464887966,-75567.1559597421
0,184638.620847708,-105634.895216869,-79003.7256308398
0,184638.620847708,-102198.325545771,-82440.2953019375
0,178190.539139435,-98240.2510450194,-79950.2880944157
0,178190.539139435,-94282.1765442678,-83908.3625951673
0,178190.539139435,-90002.8139429741,-88187.7251964611
0,178190.539139435,-85723.4513416804,-92467.0877977548
0,172814.989673463,-81397.3019993344,-91417.6876741282
0,172814.989673463,-77071.1526569885,-95743.8370164741
0,172814.989673463,-73026.3707488007,-99788.6189246619
0,172814.989673463,-68981.588840613,-103833.40083285
0,170110.896424469,-65152.1743542552,-104958.722070214
0,170110.896424469,-61322.7598678975,-108788.136556572
0,170110.896424469,-57448.2767885968,-112662.619635872
0,170110.896424469,-53573.7937092961,-116537.102715173
0,165836.882931319,-49859.6234512752,-115977.259480044
0,165836.882931319,-46145.4531932542,-119691.429738065
0,165836.882931319,-42755.7181215074,-123081.164809811
0,165836.882931319,-39365.9830497604,-126470.899881558
0,160926.906035128,-36593.0215583595,-124333.884476769
0,160926.906035128,-33820.0600669586,-127106.84596817
0,160926.906035128,-31956.3069585359,-128970.599076593
0,160926.906035128,-30092.5538501132,-130834.352185015
0,155863.84027144,-29099.3661024419,-126764.474168998
0,155863.84027144,-28106.1783547706,-127757.661916669
0,155863.84027144,-27717.2276056161,-128146.612665824
0,155863.84027144,-27328.2768564616,-128535.563414978
0,150548.123676994,-27523.9213340952,-123024.202342899
