"NetworkDeficit","seasonal","trend","remainder"
0,-214790.389924253,217707.733854787,-2917.34393053412
0,-210036.721433116,213704.581289504,-3667.85985638842
0,-210036.721433116,209701.428724222,335.292708894412
0,-210036.721433116,205628.926752268,4407.79468084779
0,-210036.721433116,201556.424780315,8480.29665280113
0,-207344.384018603,197467.395327292,9876.98869131043
0,-207344.384018603,193378.36587427,13966.018144333
0,-207344.384018603,189046.481320049,18297.9026985542
0,-207344.384018603,184714.596765827,22629.7872527753
0,-206099.356602689,180096.507243893,26002.8493587961
0,-206099.356602689,175478.417721958,30620.9388807308
0,-206099.356602689,170836.605508491,35262.7510941977
0,-206099.356602689,166194.793295024,39904.5633076646
0,-201495.784071479,161727.809675779,39767.9743956997
0,-201495.784071479,157260.826056534,44234.9580149446
0,-201495.784071479,153035.185071287,48460.5990001918
0,-201495.784071479,148809.54408604,52686.2399854389
0,-196914.849201118,144959.678972489,51955.1702286288
0,-196914.849201118,141109.813858939,55805.0353421794
0,-196914.849201118,137776.667744328,59138.1814567905
0,-196914.849201118,134443.521629717,62471.3275714014
0,-191595.975155483,131449.828926866,60146.1462286172
0,-191595.975155483,128456.136224015,63139.8389314682
0,-191595.975155483,125723.876341566,65872.0988139175
0,-191595.975155483,122991.616459116,68604.3586963668
0,-186462.681150182,120483.793143116,65978.8880070662
0,-186462.681150182,117975.969827116,68486.7113230665
0,-186462.681150182,115436.323553095,71026.3575970873
0,-186462.681150182,112896.677279074,73566.003871108
0,-183314.874592687,110126.432085491,73188.4425071962
0,-183314.874592687,107356.186891909,75958.6877007789
0,-183314.874592687,103991.908913801,79322.965678886
0,-183314.874592687,100627.630935694,82687.2436569931
0,-177338.202369179,96730.5166976998,80607.685671479
0,-177338.202369179,92833.4024597052,84504.7999094736
0,-177338.202369179,88599.4868836712,88738.7154855075
0,-177338.202369179,84365.5713076373,92972.6310615415
0,-171989.256111508,80063.0966426753,91926.1594688328
0,-171989.256111508,75760.6219777133,96228.6341337947
0,-171989.256111508,71686.7820337906,100302.474077717
0,-171989.256111508,67612.9420898679,104376.31402164
0,-169042.895456406,63710.016402571,105332.879053835
0,-169042.895456406,59807.0907152741,109235.804741132
0,-169042.895456406,55850.7606797674,113192.134776639
0,-169042.895456406,51894.4306442607,117148.464812145
0,-164674.039718644,48066.3541369352,116607.685581709
0,-164674.039718644,44238.2776296096,120435.762089034
0,-164674.039718644,40731.3622713218,123942.677447322
0,-164674.039718644,37224.4469130339,127449.59280561
0,-159537.720111272,34407.9841003647,125129.736010907
0,-159537.720111272,31591.5212876954,127946.198823576
0,-159537.720111272,29715.4007042964,129822.319406975
0,-159537.720111272,27839.2801208974,131698.439990374
0,-154413.806771677,26829.5738455509,127584.232926126
0,-154413.806771677,25819.8675702044,128593.939201472
0,-154413.806771677,25422.235584312,128991.571187365
0,-154413.806771677,25024.6035984196,129389.203173257
0,-149168.679118608,25172.0159644806,123996.663154127
0,-149168.679118608,25319.4283305417,123849.250788066
0,-149168.679118608,25880.527737584,123288.151381024
0,-149168.679118608,26441.6271446263,122727.051973982
0,-145247.13287433,27525.9800406203,117721.15283371
0,-145247.13287433,28610.3329366144,116636.799937716
0,-145247.13287433,29990.1624296722,115256.970444658
0,-145247.13287433,31369.9919227299,113877.140951601
0,-142860.276787809,32487.0890140874,110373.187773722
0,-142860.276787809,33604.1861054449,109256.090682364
0,-142860.276787809,34115.6551109252,108744.621676884
0,-142860.276787809,34627.1241164056,108233.152671403
0,-139068.876867714,34586.3951273101,104482.481740404
0,-139068.876867714,34545.6661382147,104523.210729499
0,-139068.876867714,33755.9219949712,105312.954872743
0,-139068.876867714,32966.1778517276,106102.699015986
0,-134628.964898818,31703.4876813438,102925.477217474
0,-134628.964898818,30440.79751096,104188.167387858
0,-134628.964898818,28966.2119206341,105662.752978184
0,-134628.964898818,27491.6263303082,107137.33856851
0,-130737.527251095,25994.1501362401,104743.377114855
0,-130737.527251095,24496.6739421721,106240.853308923
0,-130737.527251095,22992.3084660382,107745.218785057
0,-130737.527251095,21487.9429899043,109249.584261191
0,-129954.818857628,19966.2416769582,109988.57718067
0,-129954.818857628,18444.540364012,111510.278493616
0,-129954.818857628,16749.7489360274,113205.069921601
0,-129954.818857628,15054.9575080428,114899.861349585
0,-128230.509512464,13001.7217665739,115228.78774589
0,-128230.509512464,10948.486025105,117282.023487359
0,-128230.509512464,8564.36684560713,119666.142666857
