"NumTransactions","seasonal","trend","remainder"
1,1563.76365808168,-1410.44885913812,-152.314798943559
0,1675.01668178517,-1495.90579847817,-179.110883307001
0,1675.01668178517,-1581.36273781821,-93.6539439669575
0,1675.01668178517,-1673.56070462555,-1.45597715961594
0,1675.01668178517,-1765.75867143289,90.7419896477259
0,1606.48841158268,-1860.03100679209,253.54259520941
14,1606.48841158268,-1954.30334215129,361.81493056861
31,1606.48841158268,-2065.42456613601,489.936154553326
106,1606.48841158268,-2176.54579012073,676.057378538042
95,1542.47645726224,-2347.25672512933,899.780267867086
116,1542.47645726224,-2517.96766013793,1091.49120287569
126,1542.47645726224,-2750.81430608652,1334.33784882428
136,1542.47645726224,-2983.6609520351,1577.18449477286
117,1639.14842531264,-3226.32966559752,1704.18124028488
109,1639.14842531264,-3468.99837915994,1938.8499538473
101,1639.14842531264,-3724.18388715399,2186.03546184135
120,1639.14842531264,-3979.36939514805,2460.2209698354
118,1710.40348673351,-4245.47010452906,2653.06661779555
115,1710.40348673351,-4511.57081391007,2916.16732717656
76,1710.40348673351,-4733.92292486259,3099.51943812908
68,1710.40348673351,-4956.27503581511,3313.87154908159
201,2014.73923692275,-5171.85251805558,3358.11328113283
195,2014.73923692275,-5387.43000029606,3567.69076337331
116,2014.73923692275,-5596.31820492286,3697.57896800012
105,2014.73923692275,-5805.20640954967,3895.46717262692
103,2302.2902556959,-6015.40803046636,3816.11777477046
122,2302.2902556959,-6225.60965138305,4045.31939568715
122,2302.2902556959,-6446.55260940899,4266.2623537131
129,2302.2902556959,-6667.49556743494,4494.20531173904
118,2157.75870743809,-6858.45042411612,4818.69171667802
127,2157.75870743809,-7049.4052807973,5018.6465733592
150,2157.75870743809,-7237.35612118636,5229.59741374826
126,2157.75870743809,-7425.30696157542,5393.54825413732
121,2537.12160593511,-7622.19918157094,5206.07757563583
129,2537.12160593511,-7819.09140156647,5410.96979563135
130,2537.12160593511,-7988.09351301089,5580.97190707577
135,2537.12160593511,-8157.09562445531,5754.97401852019
129,3065.17713458397,-8325.08030695411,5388.90317237014
127,3065.17713458397,-8493.06498945292,5554.88785486894
132,3065.17713458397,-8647.62645296896,5714.44931838499
119,3065.17713458397,-8802.18791648501,5856.01078190104
124,2590.8443111085,-8893.6166156213,6426.7723045128
141,2590.8443111085,-8985.04531475759,6535.20100364909
125,2590.8443111085,-9025.59782428958,6559.75351318108
123,2590.8443111085,-9066.15033382156,6598.30602271306
119,2574.7917619501,-9150.31105507333,6694.51929312323
124,2574.7917619501,-9234.47177632509,6783.68001437499
117,2574.7917619501,-9345.58011952737,6887.78835757727
129,2574.7917619501,-9456.68846272964,7010.89670077954
110,3359.84878699794,-9596.95943670361,6347.11064970568
125,3359.84878699794,-9737.23041067759,6502.38162367965
107,3359.84878699794,-9901.24465650158,6648.39586950364
111,3359.84878699794,-10065.2589023256,6816.41011532763
107,4007.56333166585,-10197.4413334368,6296.87800177093
96,4007.56333166585,-10329.623764548,6418.06043288215
123,4007.56333166585,-10368.1960196453,6483.63268797944
103,4007.56333166585,-10406.7682747426,6502.20494307673
107,4312.28161322836,-10353.5941325796,6148.31251935121
104,4312.28161322836,-10300.4199904166,6092.1383771882
108,4312.28161322836,-10123.7556805282,5919.47406729979
106,4312.28161322836,-9947.09137063975,5740.80975741138
108,4385.78276246506,-9668.31302600328,5390.53026353822
119,4385.78276246506,-9389.53468136682,5122.75191890176
111,4385.78276246506,-9043.46615610099,4768.68339363593
115,4385.78276246506,-8697.39763083515,4426.61486837009
113,4406.225713561,-8368.51417734961,4075.28846378862
105,4406.225713561,-8039.63072386407,3738.40501030308
108,4406.225713561,-7759.26103733069,3461.03532376969
119,4406.225713561,-7478.89135079731,3191.66563723631
115,4501.02971183104,-7267.63739453953,2881.60768270849
116,4501.02971183104,-7056.38343828176,2671.35372645071
111,4501.02971183104,-6936.70805196593,2546.67834013489
131,4501.02971183104,-6817.0326656501,2447.00295381906
115,4961.41452047857,-6765.99436360764,1919.57984312908
110,4961.41452047857,-6714.95606156518,1863.54154108662
124,4961.41452047857,-6653.53828979058,1816.12376931201
119,4961.41452047857,-6592.12051801597,1749.70599753741
77,5282.89173648523,-6518.19854874586,1312.30681226063
97,5282.89173648523,-6444.27657947574,1258.38484299051
132,5282.89173648523,-6403.07631901265,1252.18458252742
105,5282.89173648523,-6361.87605854955,1183.98432206433
116,5435.44286024454,-6347.95251970812,1028.50965946358
114,5435.44286024454,-6334.02898086669,1012.58612062215
110,5435.44286024454,-6357.29060701851,1031.84774677397
122,5435.44286024454,-6380.55223317033,1067.10937292578
112,5688.21654674414,-6466.71331308341,890.496766339267
125,5688.21654674414,-6552.8743929965,989.657846252352
114,5688.21654674414,-6675.25882785199,1101.04228110784
107,5688.21654674414,-6797.64326270748,1216.42671596333
120,5931.57098284033,-6918.07391894332,1106.50293610299
113,5931.57098284033,-7038.50457517917,1219.93359233884
113,5931.57098284033,-7214.99089040587,1396.41990756554
129,5931.57098284033,-7391.47720563257,1588.90622279224
117,6029.78589570389,-7599.82017161091,1687.03427590702
99,6029.78589570389,-7808.16313758925,1877.37724188536
104,6029.78589570389,-7964.14894467662,2038.36304897272
99,6029.78589570389,-8120.13475176398,2189.34885606009
103,6220.15778347748,-8171.81463089007,2054.65684741259
123,6220.15778347748,-8223.49451001617,2126.33672653868
115,6220.15778347748,-8182.40480755741,2077.24702407993
118,6220.15778347748,-8141.31510509866,2039.15732162117
127,6518.22403277754,-8033.36178902397,1642.13775624643
112,6518.22403277754,-7925.40847294928,1519.18444017174
123,6518.22403277754,-7736.2926185685,1341.06858579095
115,6518.22403277754,-7547.17676418771,1143.95273141017
125,6459.50977795425,-7264.85437312213,930.344595167886
121,6459.50977795425,-6982.53198205655,644.022204102305
118,6459.50977795425,-6568.93653010145,227.426752147205
125,6459.50977795425,-6155.34107814635,-179.168699807895
121,6607.37076344664,-5549.87254480087,-936.498218645768
80,6607.37076344664,-4944.40401145539,-1582.96675199125
113,6607.37076344664,-4224.46286154555,-2269.90790190109
122,6607.37076344664,-3504.5217116357,-2980.84905181093
111,7215.91178297711,-2648.30132080709,-4456.61046217002
105,7215.91178297711,-1792.08092997848,-5318.83085299864
117,7215.91178297711,-620.066993704156,-6478.84478927296
123,7215.91178297711,551.946942570167,-7644.85872554728
133,7639.76932601333,1501.19110750926,-9007.96043352259
123,7639.76932601333,2450.43527244836,-9967.20459846169
124,7639.76932601333,3394.00810817637,-10909.7774341897
115,7639.76932601333,4337.58094390437,-11862.3502699177
125,7751.91281217085,4867.38242286829,-12494.2952350391
133,7751.91281217085,5397.18390183221,-13016.0967140031
138,7751.91281217085,5837.66032946709,-13451.5731416379
121,7751.91281217085,6278.13675710196,-13909.0495692728
122,7720.03955465992,6683.56227367448,-14281.6018283344
91,7720.03955465992,7088.98779024699,-14718.0273449069
62,7720.03955465992,7416.11325656102,-15074.1528112209
120,7720.03955465992,7743.23872287504,-15343.278277535
127,7516.00617375733,7980.03481856947,-15369.0409923268
117,7516.00617375733,8216.83091426389,-15615.8370880212
137,7516.00617375733,8352.22695621587,-15731.2331299732
145,7516.00617375733,8487.62299816784,-15858.6291719252
115,7803.51885944547,8556.06942055853,-16244.588280004
125,7803.51885944547,8624.51584294921,-16303.0347023947
124,7803.51885944547,8691.09228868226,-16370.6111481277
100,7803.51885944547,8757.66873441531,-16461.1875938608
104,8231.29330696266,8812.83768355838,-16940.130990521
89,8231.29330696266,8868.00663270145,-17010.2999396641
83,8231.29330696266,8938.64518506302,-17086.9384920257
7,8231.29330696266,9009.28373742458,-17233.5770443872
96,8232.81741362199,9085.47543295039,-17222.2928465724
112,8232.81741362199,9161.66712847621,-17282.4845420982
113,8232.81741362199,9186.6765771108,-17306.4939907328
125,8232.81741362199,9211.6860257454,-17319.5034393674
103,8684.47429863437,9209.45250821937,-17790.9268068537
108,8684.47429863437,9207.21899069335,-17783.6932893277
103,8684.47429863437,9106.57718382063,-17688.051482455
118,8684.47429863437,9005.93537694791,-17572.4096755823
74,9126.19336118616,8774.76248876773,-17826.9558499539
89,9126.19336118616,8543.58960058754,-17580.7829617737
98,9126.19336118616,8301.44238244461,-17329.6357436308
39,9126.19336118616,8059.29516430168,-17146.4885254878
57,9057.82159380913,7839.62488282147,-16840.4464766306
24,9057.82159380913,7619.95460134126,-16653.7761951504
4,9057.82159380913,7432.85041900222,-16486.6720128114
72,9057.82159380913,7245.74623666318,-16231.5678304723
94,8757.88350663394,7135.73157557395,-15799.6150822079
83,8757.88350663394,7025.71691448472,-15700.6004211187
93,8757.88350663394,6968.11120863519,-15632.9947152691
91,8757.88350663394,6910.50550278566,-15577.3890094196
74,9035.89696258368,6900.24281196847,-15862.1397745522
70,9035.89696258368,6889.98012115127,-15855.877083735
82,9035.89696258368,6966.6294674557,-15920.5264300394
73,9035.89696258368,7043.27881376012,-16006.1757763438
77,9493.46265609794,7242.55037479468,-16659.0130308926
81,9493.46265609794,7441.82193582924,-16854.2845919272
87,9493.46265609794,7729.64475577745,-17136.1074118754
84,9493.46265609794,8017.46757572566,-17426.9302318236
75,9321.4167110155,8277.13644611439,-17523.5531571299
81,9321.4167110155,8536.80531650312,-17777.2220275186
76,9321.4167110155,8675.63143790264,-17921.0481489181
87,9321.4167110155,8814.45755930217,-18048.8742703177
74,9049.74503277599,8841.52821882793,-17817.2732516039
90,9049.74503277599,8868.59887835369,-17828.3439111297
85,9049.74503277599,8850.58001843319,-17815.3250512092
52,9049.74503277599,8832.56115851269,-17830.3061912887
76,9226.03109993611,8776.89629134541,-17926.9273912815
89,9226.03109993611,8721.23142417813,-17858.2625241142
84,9226.03109993611,8701.19549488583,-17843.2265948219
72,9226.03109993611,8681.15956559353,-17835.1906655296
84,9411.25441509354,8642.29065822449,-17969.545073318
89,9411.25441509354,8603.42175085544,-17925.676165949
80,9411.25441509354,8488.25226979502,-17819.5066848886
91,9411.25441509354,8373.08278873459,-17693.3372038281
63,8945.81316262609,8193.69318608102,-17076.5063487071
79,8945.81316262609,8014.30358342745,-16881.1167460535
81,8945.81316262609,7850.69087180769,-16715.5040344338
82,8945.81316262609,7687.07816018794,-16550.891322814
84,9233.81203646463,7595.94350089631,-16745.7555373609
76,9233.81203646463,7504.80884160468,-16662.6208780693
76,9233.81203646463,7466.6792183841,-16624.4912548487
72,9233.81203646463,7428.54959516353,-16590.3616316282
46,10082.6490119635,7493.69623352662,-17530.3452454902
69,10082.6490119635,7558.8428718897,-17572.4918838532
65,10082.6490119635,7740.69951047719,-17758.3485224407
3,10082.6490119635,7922.55614906467,-18002.2051610282
52,10338.8006661744,8070.33279905388,-18357.1334652283
75,10338.8006661744,8218.10944904309,-18481.9101152175
75,10338.8006661744,8304.68188874358,-18568.482554918
69,10338.8006661744,8391.25432844407,-18661.0549946185
66,10204.9021925789,8435.23518125809,-18574.137373837
75,10204.9021925789,8479.2160340721,-18609.118226651
53,10204.9021925789,8389.68456647484,-18541.5867590538
13,10204.9021925789,8300.15309887758,-18492.0552914565
64,9998.49615839219,8128.15530033985,-18062.651458732
44,9998.49615839219,7956.15750180212,-17910.6536601943
32,9998.49615839219,7769.56448691942,-17736.0606453116
16,9998.49615839219,7582.97147203671,-17565.4676304289
12,10366.9252750379,7437.06146047923,-17791.9867355172
23,10366.9252750379,7291.15144892174,-17635.0767239597
30,10366.9252750379,7180.68003266244,-17517.6053077004
15,10366.9252750379,7070.20861640314,-17422.1338914411
58,10707.8077763329,6968.5690709083,-17618.3768472412
91,10707.8077763329,6866.92952541347,-17483.7373017464
96,10707.8077763329,6794.65625564116,-17406.4640319741
74,10707.8077763329,6722.38298586884,-17356.1907622018
83,10735.9649850056,6647.55197137704,-17300.5169563826
98,10735.9649850056,6572.72095688523,-17210.6859418908
82,10735.9649850056,6392.85920616549,-17046.8241911711
67,10735.9649850056,6212.99745544574,-16881.9624404513
68,10573.9976608708,5977.53473971303,-16483.5324005838
