"NumTransactionsTotal","seasonal","trend","remainder"
1,526395.603663692,-495853.746600804,-30540.8570628889
1,553388.514186642,-532932.073534977,-20455.440651665
1,553388.514186642,-570010.400469151,16622.886282509
1,553388.514186642,-607719.456569729,54331.9423830864
1,553388.514186642,-645428.512670306,92040.9984836639
1,583970.145067381,-683564.862801349,99595.7177339683
15,583970.145067381,-721701.212932391,137746.067865011
46,583970.145067381,-762463.749682306,178539.604614925
152,583970.145067381,-803226.28643222,219408.14136484
247,619324.724483101,-854749.028580844,235671.304097742
363,619324.724483101,-906271.770729467,287310.046246365
489,619324.724483101,-952873.253734347,334037.529251245
625,619324.724483101,-999474.736739227,380775.012256125
742,657080.104509435,-1047529.29838435,391191.193874914
851,657080.104509435,-1095583.86002947,439354.755520037
952,657080.104509435,-1145142.25817505,489014.153665612
1072,657080.104509435,-1194700.65632062,538692.551811187
1190,691018.700260319,-1245183.65440499,555354.954144671
1305,691018.700260319,-1295666.65248936,605952.952229038
1381,691018.700260319,-1347058.10365869,657420.403398369
1449,691018.700260319,-1398449.55482802,708879.854567699
1650,718064.958700362,-1449382.25517649,732967.296476129
1845,718064.958700362,-1500314.95552496,784094.996824602
1961,718064.958700362,-1551976.35770813,835872.399007765
2066,718064.958700362,-1603637.75989129,887638.801190928
2169,765759.439543496,-1655681.3439626,892090.904419101
2291,765759.439543496,-1707724.9280339,944256.488490408
2413,765759.439543496,-1759971.49739541,996625.057851913
2542,765759.439543496,-1812218.06675691,1049000.62721342
2660,822321.85890984,-1864996.90021998,1045335.04131014
2787,822321.85890984,-1917775.73368306,1098240.87477322
2937,822321.85890984,-1971204.42356355,1151819.56465371
3063,822321.85890984,-2024633.11344404,1205374.2545342
3184,872030.784690992,-2078823.82722198,1209977.04253099
3313,872030.784690992,-2133014.54099991,1264296.75630892
3443,872030.784690992,-2187500.5298814,1318912.74519041
3578,872030.784690992,-2241986.51876289,1373533.7340719
3707,915781.525509862,-2296881.03963397,1384806.5141241
3834,915781.525509862,-2351775.56050504,1439828.03499518
3966,915781.525509862,-2407025.88111592,1495210.35560605
4085,915781.525509862,-2462276.2017268,1550579.67621693
4209,961229.492814207,-2517467.15538377,1560446.66256956
4350,961229.492814207,-2572658.10904074,1615778.61622653
4475,961229.492814207,-2627346.06615392,1670591.57333971
4598,961229.492814207,-2682034.0232671,1725402.53045289
4717,1011830.71983493,-2731195.67341547,1724081.95358055
4841,1011830.71983493,-2780357.32356385,1773367.60372892
4958,1011830.71983493,-2816809.76431791,1809937.04448298
5087,1011830.71983493,-2853262.20507196,1846518.48523703
5197,1065353.00971581,-2881230.55815435,1821074.54843854
5322,1065353.00971581,-2909198.91123674,1849167.90152094
5429,1065353.00971581,-2934292.73646708,1874368.72675127
5540,1065353.00971581,-2959386.56169742,1899573.55198161
5647,1117089.4297176,-2994463.99066625,1883021.56094866
5743,1117089.4297176,-3029541.41963509,1918194.98991749
5866,1117089.4297176,-3186920.71247397,2075697.28275637
5969,1117089.4297176,-3344300.00531284,2233179.57559524
6076,1166289.79989404,-3464683.21008084,2304469.41018681
