"OutputVolume","seasonal","trend","remainder"
50,-374239.46182674,350119.824487497,24169.6373392432
0,-330249.719160478,329893.092889211,356.626271267305
0,-330249.719160478,309666.361290925,20583.3578695535
0,-330249.719160478,290354.275772808,39895.4433876704
0,-330249.719160478,271042.190254691,59207.5289057874
0,-268510.897335572,251784.159828627,16726.7375069449
700,-268510.897335572,232526.129402563,36684.7679330088
1550,-268510.897335572,215343.590774492,54717.30656108
5300,-268510.897335572,198161.052146421,75649.8451891512
4601,-249897.370955672,176558.302369193,77940.0685864794
5778,-249897.370955672,154955.552591965,100719.818363707
6300,-249897.370955672,130988.235228735,125209.135726937
6911,-249897.370955672,107020.917865505,149787.453090167
5900,-236232.718840207,79981.4355219923,162151.283318215
5500,-236232.718840207,52941.95317848,188790.765661727
5050,-236232.718840207,27419.7344111431,213862.984429064
6100,-236232.718840207,1897.51564380627,240435.203196401
6575,-208412.373061577,-15133.4375277225,230120.8105893
6150,-208412.373061577,-32164.3906992513,246726.763760829
4250,-208412.373061577,-45239.9066617234,257902.279723301
3500,-208412.373061577,-58315.4226241955,270227.795685773
10750,-221580.964971882,-72408.6163523431,304739.581324225
9750,-221580.964971882,-86501.8100804907,317832.775052372
5800,-221580.964971882,-90344.6932065573,317725.658178439
6300,-221580.964971882,-94187.576332624,322068.541304505
5150,-221183.41776101,-92328.3357388087,318661.753499819
6100,-221183.41776101,-90469.0951449935,317752.512906003
6650,-221183.41776101,-81906.8458064878,309740.263567498
6450,-221183.41776101,-73344.5964679821,300978.014228992
6900,-203945.931607984,-65610.4083300586,276456.339938043
6350,-203945.931607984,-57876.2201921352,268172.151800119
7436.52,-203945.931607984,-46359.0895607475,257741.541168732
6300,-203945.931607984,-34841.9589293598,245087.890537344
6050,-205249.411581806,-20594.7899206653,231894.201502471
6450,-205249.411581806,-6347.62091197083,218047.032493776
7498,-205249.411581806,6882.51693773546,205864.89464407
7700,-205249.411581806,20112.6547874417,192836.756794364
8600,-167275.195318968,37034.2076698349,138840.987649133
6350,-167275.195318968,53955.7605522281,119669.43476674
6900.04,-167275.195318968,70374.1704781452,103801.064840823
6100,-167275.195318968,86792.5804040624,86582.6149149054
6200,-125235.927181703,95693.3287068214,35742.5984748812
7050,-125235.927181703,104594.07700958,27691.8501721222
7000,-125235.927181703,109699.463414417,22536.4637672855
6150,-125235.927181703,114804.849819254,16581.0773624489
7400,-64678.3900020404,111911.738473333,-39833.348471293
6200,-64678.3900020404,109018.627127413,-38140.2371253728
5850,-64678.3900020404,96969.3999479864,-26441.0099459459
7200,-64678.3900020404,84920.1727685595,-13041.7827665191
5500,-6208.76182783679,70418.5970172081,-58709.8351893713
7100,-6208.76182783679,55917.0212658566,-42608.2594380198
5350,-6208.76182783679,44305.2575477988,-32746.495719962
5550,-6208.76182783679,32693.4938297409,-20934.7320019041
5350,2933.42153784727,22650.1422419754,-20233.5637798227
4800,2933.42153784727,12606.79065421,-10740.2121920572
