"SP500.Volume","seasonal","trend","remainder"
4503483333.33,-249069480.266108,5078289304.82046,-325736491.224351
4958696666.67,-42331069.1773962,5044282533.28488,-43254797.43748
5413910000,-42331069.1773962,5010275761.74929,445965307.428102
5392620000,-42331069.1773962,4984540837.5464,450410231.630994
4704940000,-42331069.1773962,4958805913.34351,-211534844.166116
4991550000,56484446.0082264,4939910874.98398,-4845320.99220562
4716500000,56484446.0082264,4921015836.62445,-261000282.632673
4719350000,56484446.0082264,4918413824.81318,-255548270.821411
4722200000,56484446.0082264,4915811813.00192,-250096259.010149
4725050000,-23585793.2545224,5055443044.20767,-306807250.953148
5567460000,-23585793.2545224,5195074275.41342,395971517.841105
5407880000,-23585793.2545224,5326405157.28637,105060635.968152
7807350400,-23585793.2545224,5457736039.15932,2373200154.0952
6786040000,28624120.8213325,5566103633.09138,1191312246.08728
6683337500,28624120.8213325,5674471227.02344,980242152.155224
6580635000,28624120.8213325,5712057274.71814,839953604.460526
6477932500,28624120.8213325,5749643322.41284,699665056.765828
6375230000,111463822.522804,5710721747.01977,553044430.457425
6467830000,111463822.522804,5671800171.6267,684566005.850493
5843830000,111463822.522804,5612400449.60367,119965727.873525
5832160000,111463822.522804,5553000727.58064,167695449.896555
5901420000,77642538.9000186,5482406657.03636,341370804.063623
5970680000,77642538.9000186,5411812586.49207,481224874.607906
6039940000,77642538.9000186,5326948457.51535,635349003.584635
5353260000,77642538.9000186,5242084328.53862,33533132.5613623
6199180000,18551908.2016217,5195440473.93357,985187617.864804
5067060000,18551908.2016217,5148796619.32853,-100288527.53015
5350580000,18551908.2016217,5146156685.11196,185871406.68642
5458143333.33,18551908.2016217,5143516750.89539,296074674.23299
5565706666.67,25690537.4484744,5203402260.01793,336613869.203598
5673270000,25690537.4484744,5263287769.14047,384291693.411057
5886310000,25690537.4484744,5342903611.22905,517715851.322474
6420450000,25690537.4484744,5422519453.31763,972240009.233892
6624030000,105501076.812208,5489780791.76972,1028748131.41808
6484100000,105501076.812208,5557042130.2218,821556792.965995
6180856666.67,105501076.812208,5604222360.28413,471133229.573664
5877613333.33,105501076.812208,5651402590.34646,120709666.171332
5574370000,197982092.689043,5632690107.81091,-256302200.499957
6770169600,197982092.689043,5613977625.27537,958209882.035588
5926460000,197982092.689043,5603915417.22456,124562490.086399
