"TotalBitcoins","seasonal","trend","remainder"
50,-409307.576835416,401981.361281975,7376.21555344044
50,-414630.85491861,401404.746422496,13276.1084961141
50,-414648.848716084,400828.131563016,13870.7171530679
50,-414666.975694676,400319.542469305,14397.4332253711
50,-414677.18951233,399810.953375593,14916.2361367373
50,-410442.05453304,399379.922478316,11112.1320547248
750,-410460.037502499,398948.891581038,12261.1459214609
2300,-410478.178869315,398651.097950811,14127.0809185043
7600,-410488.404123103,398353.304320584,19735.0998025196
12050,-404523.716794515,398112.49716069,18461.2196338249
17800,-404541.688935959,397871.690000797,24469.9989351623
24100,-404559.844691,398045.579531664,30614.2651593355
30450,-404570.081380921,398219.469062532,36800.6123183896
36250,-399565.72644,398309.24665614,37506.4797838604
41650,-399583.687753429,398399.024249748,42834.6635036804
46700,-399601.857896694,398463.44542436,47838.4124723343
52650,-399612.106022749,398527.866598971,53734.2394237783
58450,-396423.504747099,398836.672627583,56036.8321195163
64100,-396441.455232512,399145.478656194,61395.9765763175
67850,-396459.639764002,399785.624761021,64524.0150029811
71200,-396469.899326191,400425.770865847,67244.1284603436
81150,-391144.943464004,400872.844724944,71422.0987390596
90850,-391162.883121401,401319.918584041,80692.9645373601
96650,-391181.07751924,401948.234592996,85882.8429262443
101800,-391191.353039438,402576.550601951,90414.8024374877
106950,-385896.214064063,402752.877321406,90093.3367426574
113050,-385914.142893446,402929.204040861,96034.9388525843
119100,-385932.347157634,402974.621045484,102057.72611215
125550,-385942.638635841,403020.038050106,108472.600585735
131350,-381580.192377839,403052.803575415,109877.388802424
137700,-381598.110379206,403085.569100725,116212.541278481
144500,-381616.324509743,403126.11923128,122990.205278463
150650,-381626.631945959,403166.669361835,129109.962584124
156700,-376880.457742322,403280.229078912,130300.228663409
163150,-376898.364915673,403393.788795989,136654.576119684
169450,-376916.588912559,403554.58522198,142812.003690579
176150,-376926.912306785,403715.381647971,149361.530658814
182550,-375029.920572995,403881.309803133,153698.610769862
188900,-375047.816918332,404047.237958296,159900.578960036
195450,-375066.050781566,404230.331321772,166285.719459794
201350,-375076.390133801,404413.424685249,172012.965448553
207550,-370213.623344098,404500.96086375,173262.662480349
214600,-370231.508861419,404588.49704225,180243.011819169
220700,-370249.752591003,404532.265372138,186417.487218866
226850,-370260.107901247,404476.033702025,192634.074199223
232750,-363125.331850968,404329.8188686,191545.512982369
238950,-363143.206540274,404183.604035175,197909.602505099
244800,-363161.460136207,403901.942775624,204059.517360582
251200,-363171.83140446,403620.281516074,210751.549888386
256700,-358711.575064507,403227.032993999,212184.542070508
262750,-358729.438925797,402833.784471923,218645.654453874
268100,-358747.702388079,402379.001401639,224468.70098644
273650,-358758.089614342,401924.218331354,230483.871282987
279000,-354179.368968388,401386.724894056,231792.644074332
283800,-354197.222001663,400849.231456758,237147.990544905
289950,-354215.495330294,400285.78101738,243879.714312913
295050,-354225.898514566,399722.330578002,249553.567936564
300350,-349223.977004738,399276.381342302,250297.595662436
305550,-349241.819209998,398830.432106603,255961.387103395
310850,-349260.102404978,398543.911219891,261566.191185087
316150,-349270.521547259,398257.390333179,267163.13121408
321450,-343606.708811332,398131.316891002,266925.39192033
327350,-343624.540188576,398005.243448825,272969.296739751
332900,-343642.833249905,397982.48040748,278560.352842425
338500,-343653.268350195,397959.717366134,284193.550984061
344150,-337699.008348683,397973.914565961,283875.093782722
349400,-337716.828897912,397988.111765787,289128.717132124
354800,-337735.13182559,398061.78446793,294473.34735766
360700,-337745.582883889,398135.457170072,300310.125713817
366400,-332341.65203414,398270.56799729,300471.084036849
372200,-332359.461755353,398405.678824508,306153.782930845
377750,-332377.77454938,398562.542358095,311565.232191286
384250,-332388.241565689,398719.405891681,317918.835674008
390000,-327069.843430066,398787.599506075,318282.243923992
395500,-327087.642323264,398855.793120468,323731.849202796
401600,-327105.96498364,398752.706137549,329953.258846091
407500,-327116.447957958,398649.61915463,335966.828803328
411350,-321131.40115593,398364.202152036,334117.199003894
416100,-321149.189221113,398078.785149441,339170.404071672
422700,-321167.521747838,397787.45911423,346080.062633608
427950,-321178.020680165,397496.133079018,351631.887601147
433750,-315155.513042122,397313.359516755,351592.153525367
439400,-315173.29027929,397130.585954492,357442.704324798
444900,-315191.632672364,397049.551301053,363042.081371311
450850,-315202.1475627,396968.516647613,369083.630915088
456450,-309399.022696053,396954.690485855,368894.332210198
462700,-309416.789105205,396940.864324097,375175.924781108
468350,-309435.141364628,396966.438920578,380818.70244405
473700,-309445.672212974,396992.013517059,386153.658695915
479700,-303983.178354468,396968.759951539,386714.418402929
485350,-304000.933935605,396945.506386018,392405.427549586
491000,-304019.296061377,396783.223981149,398236.072080228
497450,-304029.842867732,396620.94157628,404858.901291452
503200,-298412.777482137,396344.034606038,405268.742876099
508150,-298430.522235258,396067.127635796,410513.394599463
513350,-298448.894227379,395743.846584932,416055.047642448
518300,-298459.456991744,395420.565534068,421338.891457676
523450,-292767.438750913,395173.571242357,421043.867508556
529550,-292785.172676019,394926.576950646,427408.595725373
535300,-292803.554534489,394835.343031512,433268.211502977
541050,-292814.133256862,394744.109112378,439120.024144484
547400,-286932.042145435,394856.770451114,439475.271694321
553000,-286949.765242526,394969.431789851,444980.333452676
559150,-286968.156967345,395211.291519685,450906.86544766
564900,-286978.751647728,395453.15124952,456425.600398208
571000,-280811.516217969,395659.23562928,456152.280588689
576950,-280829.228487044,395865.320009039,461913.908478005
582800,-280847.630078212,395963.135488334,467684.494589878
588950,-280858.240716604,396060.950967628,473747.289748976
595000,-274547.199016119,396072.480242197,473474.718773923
599000,-274564.900457179,396084.009516765,477480.890940414
604650,-274583.311914696,396051.417282575,483181.894632122
610750,-274593.938511098,396018.825048384,489325.113462714
616200,-268043.676160278,395975.510854629,488268.16530565
621450,-268061.366773323,395932.196660873,493579.17011245
627300,-268079.788097189,395936.147921572,499443.640175617
633450,-268090.4306516,395940.09918227,505600.331469329
640050,-261712.951716297,401737.169649982,500025.782066315
646200,-261730.631501327,407534.240117694,500396.391383633
652350,-261749.062691542,635770.134788886,278328.927902655
658050,-261759.721203961,864006.029460079,55803.6917438825
664150,-255671.386582454,1078065.46613495,-158244.079552496
670750,-255689.055539468,1292124.90280982,-365685.847270353
677600,-255707.496596032,1308224.3079109,-374916.811314872
683650,-255718.171066461,1324323.71301199,-384955.541945527
689750,-249598.33430303,1324532.49235094,-385184.158047906
694300,-249615.992432029,1324741.27168989,-380825.279257856
697400,-249634.443354942,1324843.88954644,-377809.446191501
703350,-249645.13378338,1324946.507403,-371951.37361962
709700,-243350.226451078,1325003.35169453,-371953.125243453
715450,-243367.873752061,1325060.19598606,-366242.322234001
722100,-243386.334541323,1325016.24298876,-359529.90844744
729250,-243397.040927771,1324972.28999146,-352325.249063693
734950,-236775.264160811,1324621.44998679,-352896.185825975
741200,-236792.90063378,1324270.60998211,-346277.709348329
747400,-236811.371289391,1323893.1842957,-339681.813006313
752400,-236822.093633847,1323515.7586093,-334293.664975452
757600,-230322.437194454,1322876.44411616,-334954.006921704
762050,-230340.062248398,1322237.12962302,-329847.067374621
766200,-230358.542770358,1320126.17601433,-323567.633243977
766550,-230369.281072823,1318015.22240565,-321095.941332828
771350,-224172.607233158,1316418.80808787,-320896.200854713
776950,-224190.220868076,1314822.39377009,-313682.172902015
782600,-224208.711256385,1312838.41206714,-306029.700810753
788850,-224219.46551686,1310854.43036419,-297784.964847326
794000,-218299.441185545,1310369.29967807,-298069.858492525
799350,-218317.043401438,1309884.16899195,-292217.125590517
804500,-218335.543656096,1307815.20126098,-284979.657604888
810400,-218346.31387458,1305746.23353001,-276999.919655434
814050,-212351.667794055,1303893.19416141,-277491.526367359
818500,-212369.258590923,1302040.15479281,-271170.89620189
823400,-212387.76871193,1299555.8941059,-263768.125393968
825350,-212398.554888423,1297071.63341898,-259323.078530559
828200,-205962.761197192,1294304.75903081,-260141.997833614
829400,-205980.340575035,1291537.88464263,-256157.544067595
829600,-205998.860562391,1288827.00534547,-253228.144783076
833200,-206009.662696894,1286116.1260483,-246906.46335141
837900,-199783.650049123,1283253.29914602,-245569.649096898
842050,-199801.218007941,1280390.47224374,-238539.254235797
846700,-199819.747861646,1276915.47331101,-230395.725449364
851250,-199830.565954158,1273440.47437828,-222359.908424124
854950,-193674.968672095,1272035.00582994,-223410.037157844
858450,-193692.525211888,1270629.5372816,-218487.012069708
862550,-193711.064931942,1268027.71089931,-211766.645967369
866200,-193721.898982463,1265425.88451702,-205503.985534562
870050,-187280.202624552,1263677.37513006,-206347.172505506
874100,-187297.74774532,1261928.86574309,-200531.11799777
878450,-187316.297331723,1260088.3480826,-194322.050750877
882650,-187327.147340253,1258247.83042211,-188270.683081856
886400,-181086.73053201,1256464.3747821,-188977.644250094
890400,-181104.264233753,1254680.9191421,-183176.654908346
894200,-181122.819394206,1252776.09993072,-177453.280536515
898450,-181133.689653045,1250871.28071934,-171287.591066299
902150,-174919.531368723,1248402.74216907,-171333.210800351
906600,-174937.053651441,1245934.2036188,-164397.149967363
910850,-174955.614385944,1243862.36345948,-158056.749073537
913400,-174966.50489509,1241790.52330016,-153424.018405067
917200,-168558.231879444,1239561.54364851,-153803.311769062
921550,-168575.742743137,1237332.56399685,-147206.821253717
925700,-168594.30905169,1236303.99133662,-142009.682284933
929300,-168605.219811145,1235275.41867639,-137370.198865248
933450,-162047.002669102,1232300.9857495,-136803.983080394
937900,-162064.50211377,1229326.5528226,-129362.05070883
941900,-162083.073996372,1227090.49355593,-123107.419559554
946450,-162094.005006136,1224854.43428925,-116310.429283118
949600,-155577.328955792,1221544.58218707,-116367.253231275
953550,-155594.816981435,1218234.73008488,-109089.913103445
957600,-155613.394438088,1216942.11158323,-103728.717145142
961700,-155624.34569816,1215649.49308158,-98325.1473834203
965900,-149584.192165575,1213999.25351835,-98515.0613527761
969700,-149601.668772193,1212349.01395512,-93047.3451829294
973500,-149620.251802896,1208152.60449564,-85032.3526927459
977100,-149631.223313275,1203956.19503616,-77224.971722885
979400,-143739.545456502,1200665.99844441,-77526.4529879072
982850,-143757.010644095,1197375.80185266,-70768.7912085629
986100,-143775.599248848,1195152.48068905,-65276.8814401987
986250,-143786.591009536,1192929.15952543,-62892.5685158989
988850,-137467.658338545,1190818.11730623,-64500.4589676831
992600,-137485.112107113,1188707.07508702,-58621.9629799086
996300,-137503.706285916,1183039.02222275,-49235.3159368383
999750,-137514.718296912,1177370.96935849,-40106.2510615741
1003050,-131287.781528218,1173779.57713483,-39441.7956066157
1006800,-131305.223877762,1170188.18491118,-32082.9610334204
1009450,-131323.823630614,1167423.75491678,-26649.9312861671
1010100,-131334.855891919,1164659.32492238,-23224.4690304617
1013300,-125365.569836464,1160115.90413738,-21450.3343009127
1015500,-125383.000766983,1155572.48335237,-14689.4825853915
1017100,-125401.606093885,1151171.42788442,-8669.82179053314
1017800,-125412.658605498,1146770.37241646,-3557.71381096425
1018400,-119524.805117846,1140987.48133074,-3062.67621288891
1019550,-119542.224629339,1135204.59024501,3887.63438433129
1021050,-119560.835530292,1133771.03914751,6839.79638278624
1021800,-119571.908292213,1132337.48805,9034.42024221015
1024700,-113667.314292441,1129989.37878427,8377.93550817203
1029250,-113684.722384909,1127641.26951853,15293.4528663745
1034050,-113703.338859911,1124711.26133924,23042.0775206746
1037750,-113714.431872141,1121781.25315994,29683.1787122018
1041850,-107596.659138375,1120554.94744305,28891.7116953265
1046750,-107614.055811818,1119328.64172616,35035.4140856601
1050850,-107632.67786087,1117926.09059255,40556.5872683183
1054200,-107643.791123408,1116523.53945895,45320.2516644623
1057600,-101547.635448788,1113231.21577253,45916.4196762627
1061650,-101565.020703206,1109938.89208611,53276.1286171009
1064900,-101583.648326308,1106594.30599041,59889.3423358942
1066600,-101594.781839154,1103249.71989472,64945.0619444314
1067850,-95572.2990593283,1099276.15608849,64146.1429708356
1068700,-95589.6728947214,1095302.59228226,68987.0806124588
1069150,-95608.3060918735,1091052.82779522,73705.4782966583
1069900,-95619.4598550277,1086803.06330817,78716.39654686
1071100,-89703.6767946702,1081828.9829602,78974.6938344655
1071900,-89721.0392110383,1076854.90261224,84766.136598797
1072300,-89739.6779822404,1072411.41614813,89628.2618341087
1072900,-89750.8519957028,1067967.92968402,94682.9223116809
1073300,-84125.4579170573,1063101.18163312,94324.2762839342
1076050,-84142.8089144005,1058234.43358222,101958.375332176
1078150,-84161.4532596525,1055606.75297804,106704.700281617
1079650,-84172.6475234232,1052979.07237385,110843.575149577
1082850,-78797.0535409057,1050859.4810337,110787.572507201
1087000,-78814.3931192239,1048739.88969356,117074.50342566
1091500,-78833.0430385258,1047049.58561773,123283.457420798
1096200,-78844.2575526048,1045359.28154189,129684.976010712
1100150,-73529.3031701083,1043118.52734737,130560.775822738
1103550,-73546.6313294015,1040877.77315285,136218.858176554
1106550,-73565.2868227533,1038827.60749693,141287.679325827
1109700,-73576.5215871406,1036777.441841,146499.079746136
1113250,-67890.1561930006,1034641.74626912,146498.40992388
1116850,-67907.4729332687,1032506.05069724,152251.422236033
1120750,-67926.1340006705,1030423.23504433,158252.898956339
1124050,-67937.389015366,1028340.41939143,163646.969623938
1126950,-62196.2085759916,1025874.30946354,163271.899112455
1130000,-62213.5138972347,1023408.19953565,168805.314361589
1133400,-62232.1805386865,1021215.13943831,174417.041100374
1136950,-62243.4558036903,1019022.07934098,180171.376462711
1140450,-56789.764525258,1016274.2751521,180965.489373162
1144500,-56807.0584274762,1013526.47096321,187780.587464263
1147300,-56825.7306429779,1011841.62188017,192284.108762811
1150200,-56837.0261582899,1010156.77279712,196880.253361169
1154350,-51333.1654885157,1008396.84040892,197286.325079591
1158400,-51350.4479717089,1006636.90802073,203113.539950981
1161950,-51369.1257612605,1004981.25453595,208337.871225308
1165900,-51380.4415268808,1003325.60105118,213954.840475705
1169600,-45649.3819195292,1000191.68749434,215057.694425191
1171300,-45666.6529836973,997057.773937499,219908.879046198
1172650,-45685.3363472989,994899.486037489,223435.850309809
1176750,-45696.6723632275,992741.19813748,229705.474225748
1181750,-39871.6776708398,990068.325318829,231553.352352011
1186450,-39888.937315983,987395.452500179,238943.484815804
1190900,-39907.6262536345,985983.003583489,244824.622670146
1195300,-39918.9825198713,984570.554666798,250648.427853073
1199450,-34148.2869182805,983426.073485023,250172.213433258
1203800,-34165.5351443987,982281.592303247,255683.942841151
1208050,-34184.2296561001,980618.855153476,261615.374502624
1211800,-34195.6061726452,978956.118003704,267039.488168941
1214700,-28550.793721455,976938.898527131,266311.895194324
1217750,-28568.0305285482,974921.679050558,271396.35147799
1220650,-28586.7306142996,972639.791317462,276596.939296838
1222700,-28598.127381153,970357.903584366,280940.223796787
1225250,-23210.8526468297,968153.754971247,280307.097675583
1228750,-23228.0780348979,965949.606358128,286028.47167677
1232650,-23246.7836946992,963573.420955833,292323.362738866
1236500,-23258.2007118608,961197.235553538,298560.965158322
1240450,-17882.78117561,959214.052294,299118.72888161
1243550,-17899.9951446532,957230.869034461,304219.126110192
1246100,-17918.7063785045,955455.922570968,308562.783807536
1248900,-17930.1436459744,953680.976107475,313149.1675385
1253150,-12271.1318384549,951188.706430643,314232.425407812
1256400,-12288.3335634427,948696.436753811,319991.896809632
1259150,-12307.0503713439,946758.778426077,324698.271945267
1262350,-12318.507889122,944821.120098343,329847.387790779
1267300,-6394.41695555291,943027.52112915,330666.895826403
1272850,-6411.60643648531,941233.922159957,338027.684276528
1277000,-6430.32881843644,939259.322391617,344171.006426819
1281300,-6441.80658652287,937284.722623278,350457.083963245
1285650,-668.819961698402,935596.327299949,350722.492661749
1289400,-685.99719857541,933907.93197662,356178.065221955
1293050,-704.72515457648,931830.198101084,361924.527053493
1296300,-716.223172971173,929752.464225547,367263.758947424
1299600,4934.3307195241,927253.803995357,367411.865285119
1302800,4917.16572670248,924755.143765167,373127.690508131
1305300,4898.43219665147,921791.165258948,378610.4025444
1308350,4886.91392794856,918827.186752729,384635.899319322
1310600,10407.3184160048,915741.069077842,384451.612506153
1312100,10390.1656672386,912654.951402956,389054.882929806
1313750,10371.4265631376,909417.059774315,393961.513662548
1316600,10359.8880441265,906179.168145673,400060.9438102
1319700,15779.6432621975,903372.267695253,400548.08904255
1322900,15762.5027574867,900565.367244832,406572.129997681
1325350,15743.7580793358,897985.090329384,411621.15159128
1329150,15732.1993100164,895404.813413937,418012.987276047
1332650,21579.1686489997,893112.939119672,417957.892231329
1335900,21562.0403883443,890821.064825406,423516.894786249
1339450,21543.2901361435,888731.373786689,429175.336077167
1342900,21531.7111165159,886641.682747972,434726.606135512
1346400,27622.3776756109,884626.104269333,434151.518055056
1349900,27605.2616590108,882610.525790694,439684.212550295
1354050,27586.50583276,880900.921087376,445562.573079864
1358850,27574.9065628242,879191.316384058,452083.777053118
1363850,33752.5622954246,877594.505256977,452502.932447598
1368400,33735.45852288,875997.694129896,458666.847347224
1372350,33716.7005110472,874755.547818588,463877.751670365
1376000,33705.0776023352,873513.401507279,468781.520890386
1380100,39863.8788509552,872300.420456117,467935.700692927
1383950,39846.787322466,871087.439404955,473015.773272579
1388950,39828.0271250512,869941.444908691,479180.527966257
1393750,39816.3805775631,868795.450412427,485138.16901001
1398850,45638.2777646283,867631.647878086,485580.074357286
1403100,45621.1984801944,866467.845343745,491010.956176061
1407000,45602.4360971976,865317.820287293,496079.74361551
1410750,45590.7659109333,864167.795230841,500991.438858226
1414650,51285.6210355554,862748.459145081,500615.919819364
1417550,51268.553995177,861329.123059321,504952.322945502
1421250,51249.7894265981,859990.607963315,510009.602610087
1424550,51238.0956015577,858652.092867309,514659.811531134
1429450,56888.5417244425,857107.400887035,515454.057388523
1433700,56871.4869281194,855562.708906761,521265.80416512
1436150,56852.7201739585,853819.004528719,525478.275297322
1438750,56841.002710142,852075.300150678,529833.69713918
1444000,62673.0965600383,851057.086209981,530269.817229981
1448700,62656.0540077707,850038.872269283,536005.073722946
1454650,62637.2850680278,849132.131220252,542880.583711721
1459350,62625.5439654351,848225.39017122,548499.065863345
1464500,68397.0356087157,848174.445522608,547928.518868677
1470750,68380.0053005034,848123.500873995,554246.493825502
1475800,68361.2341751785,848185.781345817,559252.984479005
1481000,68349.4694338097,848248.061817639,564402.468748551
1486400,73916.9812831559,848419.711685128,564063.307031716
1492200,73899.963218999,848591.361552617,569708.675228384
1498150,73881.189908092,849962.032223084,574306.777868824
1506200,73869.4015279471,851332.702893551,580997.895578502
1516200,79794.6809079547,856909.645810353,579495.673281693
1527400,79777.6750878532,862486.588727155,585135.736184992
1536150,79758.8995913643,863915.533070077,592475.567338559
1545500,79747.0875724432,865344.477412999,600408.435014558
1553100,85626.5926986185,875909.843405331,591563.563896051
1561550,85609.5991225724,886475.209397663,589465.191479765
1568750,85590.8214405015,894656.691480808,588502.487078691
1576600,85578.9857828042,902838.173563953,588182.840653243
1584550,91313.7669525166,917048.002046453,576188.23100103
1593000,91296.7856205259,931257.830528954,570445.38385052
1599900,91278.0057528729,933777.558212231,574844.436034896
1608100,91266.1464563995,936297.285895509,580536.567648091
1615900,97384.9965997887,936809.435440222,581705.567959989
1623400,97368.0275118534,937321.584984935,588710.387503212
1629350,97349.2454586184,938702.775258899,593297.979282483
1635850,97337.3625233689,940083.965532863,598428.671943768
1644000,103356.874958326,941289.647417253,599353.477624421
1653500,-409307.576835416,942495.329301644,1120312.24753377
1663900,-414630.85491861,942495.329301644,1136035.52561697
1671800,-414648.848716084,942495.329301644,1143953.51941444
