"TradeVolume","seasonal","trend","remainder"
0,446957.604805943,-496469.718161336,49512.1133553925
0,479609.314700275,-493633.299003952,14023.9843036774
0,479609.314700275,-490796.879846569,11187.5651462937
0,479609.314700275,-486224.857102143,6615.54240186862
0,479609.314700275,-481652.834357718,2043.51965744351
0,530583.961399126,-475535.069843207,-55048.8915559191
0,530583.961399126,-469417.305328695,-61166.6560704309
0,530583.961399126,-454173.326340563,-76410.6350585625
0,530583.961399126,-438929.347352432,-91654.6140466941
0,507614.661566277,-414741.230349371,-92873.4312169064
0,507614.661566277,-390553.11334631,-117061.548219967
0,507614.661566277,-363523.811952385,-144090.849613892
0,507614.661566277,-336494.510558461,-171120.151007817
0,462877.851650766,-302077.83491757,-160800.016733196
0,462877.851650766,-267661.159276679,-195216.692374086
0,462877.851650766,-226498.871154538,-236378.980496227
0,462877.851650766,-185336.583032397,-277541.268618368
0,498392.447843236,-143139.496819255,-355252.951023981
0,498392.447843236,-100942.410606113,-397450.037237123
0,498392.447843236,-60070.3098316497,-438322.138011586
0,498392.447843236,-19198.2090571868,-479194.238786049
0,538166.232287568,11411.4983661146,-549577.730653682
0,538166.232287568,42021.205789416,-580187.438076984
0,538166.232287568,53388.7652264408,-591554.997514009
0,538166.232287568,64756.3246634656,-602922.556951033
0,475583.841946024,57144.056339474,-532727.898285498
0,475583.841946024,49531.7880154824,-525115.629961507
0,475583.841946024,30849.5090965157,-506433.35104254
0,475583.841946024,12167.2301775491,-487751.072123573
0,447690.802842908,-17498.6056320513,-430192.197210856
0,447690.802842908,-47164.4414416516,-400526.361401256
0,447690.802842908,-86317.2590450422,-361373.543797865
0,447690.802842908,-125470.076648433,-322220.726194475
0,419876.991278784,-160365.201123843,-259511.790154941
0,419876.991278784,-195260.325599252,-224616.665679532
0,419876.991278784,-226930.830707707,-192946.160571077
0,419876.991278784,-258601.335816161,-161275.655462622
0,370460.614969263,-292259.865771679,-78200.7491975841
0,370460.614969263,-325918.395727196,-44542.2192420666
0,370460.614969263,-358293.825837307,-12166.7891319561
0,370460.614969263,-390669.255947417,20208.6409781544
0,302690.657383534,-419862.150081479,117171.492697945
0,302690.657383534,-449055.04421554,146364.386832007
0,302690.657383534,-455487.864684014,152797.207300481
0,302690.657383534,-461920.685152488,159230.027768955
0,286526.672202942,-448856.18528809,162329.513085147
0,286526.672202942,-435791.685423691,149265.013220748
0,286526.672202942,-409946.263621748,123419.591418806
0,286526.672202942,-384100.841819806,97574.1696168633
0,310186.805381829,-349696.314506072,39509.509124243
0,310186.805381829,-315291.787192338,5104.98181050899
0,310186.805381829,-279838.30405908,-30348.5013227488
0,310186.805381829,-244384.820925822,-65801.9844560065
0,273181.317776027,-210667.417150875,-62513.900625152
0,273181.317776027,-176950.013375928,-96231.3044000988
0,273181.317776027,-142793.359686916,-130387.958089111
0,273181.317776027,-108636.705997903,-164544.611778124
0,287645.359260004,-72040.3286648787,-215605.030595125
0,287645.359260004,-35443.9513318541,-252201.40792815
0,287645.359260004,1757.89123754368,-289403.250497548
0,287645.359260004,38959.7338069415,-326605.093066946
0,239478.49225788,83619.253067859,-323097.745325739
0,239478.49225788,128278.772328776,-367757.264586657
0,239478.49225788,181442.853728035,-420921.345985915
0,239478.49225788,234606.935127293,-474085.427385173
0,101317.093380323,287476.930470135,-388794.023850458
0,101317.093380323,340346.925812976,-441664.0191933
0,101317.093380323,391034.741119738,-492351.834500061
0,101317.093380323,441722.556426499,-543039.649806822
0,21374.0476202125,485413.208248578,-506787.25586879
0,21374.0476202125,529103.860070657,-550477.907690869
0,21374.0476202125,552458.897694061,-573832.945314274
0,21374.0476202125,575813.935317465,-597187.982937678
0,-20847.8944313966,576266.670778982,-555418.776347585
0,-20847.8944313966,576719.406240498,-555871.511809102
0,-20847.8944313966,559617.659519301,-538769.765087905
0,-20847.8944313966,542515.912798104,-521668.018366708
0,-38669.8472003794,502290.537757321,-463620.690556942
0,-38669.8472003794,462065.162716538,-423395.315516158
0,-38669.8472003794,403811.818438177,-365141.971237798
0,-38669.8472003794,345558.474159817,-306888.626959437
0,-53228.9187004565,281754.086431986,-228525.16773153
0,-53228.9187004565,217949.698704156,-164720.780003699
0,-53228.9187004565,142138.282278238,-88909.3635777814
0,-53228.9187004565,66326.8658523199,-13097.9471518634
0,-60750.2334275143,-14855.8291390871,75606.0625666015
0,-60750.2334275143,-96038.5241304942,156788.757558009
0,-60750.2334275143,-174697.833789176,235448.067216691
0,-60750.2334275143,-253357.143447858,314107.376875373
0,-57013.0877116164,-331107.935126206,388121.022837822
0,-57013.0877116164,-408858.726804553,465871.81451617
0,-57013.0877116164,-488023.927679783,545037.0153914
0,-57013.0877116164,-567189.128555014,624202.21626663
0,-84242.9878050137,-646407.2591197,730650.246924714
0,-84242.9878050137,-725625.389684386,809868.3774894
0,-84242.9878050137,-802026.366825765,886269.354630778
0,-84242.9878050137,-878427.343967143,962670.331772157
0,-100571.087662591,-947226.425881025,1047797.51354362
0,-100571.087662591,-1016025.50779491,1116596.5954575
0,-100571.087662591,-1065670.37795569,1166241.46561828
0,-100571.087662591,-1115315.24811647,1215886.33577906
0,-105826.675532208,-1133710.0409372,1239536.71646941
0,-105826.675532208,-1152104.83375794,1257931.50929014
0,-105826.675532208,-1143930.74694772,1249757.42247993
0,-105826.675532208,-1135756.6601375,1241583.33566971
0,-71019.9666150332,-1105284.44184693,1176304.40846196
0,-71019.9666150332,-1074812.22355635,1145832.19017138
0,-71019.9666150332,-1024827.95243526,1095847.91905029
0,-71019.9666150332,-974843.681314165,1045863.6479292
0,-30795.0850719911,-918064.942553117,948860.027625108
0,-30795.0850719911,-861286.20379207,892081.288864061
0,-30795.0850719911,-800116.502614366,830911.587686357
0,-30795.0850719911,-738946.801436662,769741.886508653
0,93021.7663729682,-674808.242649299,581786.47627633
0,93021.7663729682,-610669.683861935,517647.917488967
0,93021.7663729682,-541351.068250256,448329.301877288
0,93021.7663729682,-472032.452638578,379010.68626561
0,133054.336619689,-394243.74897655,261189.412356861
0,133054.336619689,-316455.045314523,183400.708694834
0,133054.336619689,-234326.188651395,101271.852031706
0,133054.336619689,-152197.331988268,19142.9953685789
0,47864.7530827276,-73293.6452419202,25428.8921591926
0,47864.7530827276,5610.04150442732,-53474.7945871549
0,47864.7530827276,73966.3844725806,-121831.137555308
0,47864.7530827276,142322.727440734,-190187.480523461
0,129543.977354752,200154.351598399,-329698.328953151
0,129543.977354752,257985.975756064,-387529.953110816
0,129543.977354752,314613.76213445,-444157.739489202
0,129543.977354752,371241.548512836,-500785.525867588
0,175548.775202994,426950.673178307,-602499.448381302
0,175548.775202994,482659.797843779,-658208.573046773
0,175548.775202994,538723.200297225,-714271.975500219
0,175548.775202994,594786.60275067,-770335.377953664
0,204963.201077796,644945.318098429,-849908.519176225
0,204963.201077796,695104.033446188,-900067.234523984
0,204963.201077796,732770.407956024,-937733.60903382
0,204963.201077796,770436.78246586,-975399.983543657
0,282930.913934377,796804.967874547,-1079735.88180892
0,282930.913934377,823173.153283234,-1106104.06721761
0,282930.913934377,840803.458810158,-1123734.37274454
0,282930.913934377,858433.764337083,-1141364.67827146
0,296929.8093866,866309.787024373,-1163239.59641097
0,296929.8093866,874185.809711664,-1171115.61909826
0,296929.8093866,871969.884919339,-1168899.69430594
0,296929.8093866,869753.960127015,-1166683.76951362
0,295724.713532598,861572.132643951,-1157296.84617655
0,295724.713532598,853390.305160887,-1149115.01869349
0,295724.713532598,839766.137486773,-1135490.85101937
0,295724.713532598,826141.969812658,-1121866.68334526
0,314494.023934029,810650.183767145,-1125144.20770117
0,314494.023934029,795158.397721631,-1109652.42165566
0,314494.023934029,787129.856662957,-1101623.88059699
0,314494.023934029,779101.315604283,-1093595.33953831
0,363056.406995271,783846.817859288,-1146903.22485456
0,363056.406995271,788592.320114293,-1151648.72710956
0,363056.406995271,806417.812787759,-1169474.21978303
0,363056.406995271,824243.305461225,-1187299.7124565
0,420415.585609075,855969.843418574,-1276385.42902765
0,420415.585609075,887696.381375923,-1308111.966985
0,420415.585609075,924262.898549013,-1344678.48415809
0,420415.585609075,960829.415722103,-1381245.00133118
0,474891.965693019,997730.452958566,-1472622.41865158
0,474891.965693019,1034631.49019503,-1509523.45588805
0,474891.965693019,1069148.15960628,-1544040.1252993
0,474891.965693019,1103664.82901753,-1578556.79471055
0,1706017.06662947,1136605.56317665,-2842622.62980612
0,1706017.06662947,1169546.29733577,-2875563.36396524
0,1706017.06662947,1199626.1456967,-2905643.21232618
0,1706017.06662947,1229705.99405764,-2935723.06068711
0,1779293.31021179,1250867.98358354,-3030161.29379533
0,1779293.31021179,1272029.97310944,-3051323.28332123
0,1779293.31021179,1276044.16134392,-3055337.47155571
0,1779293.31021179,1280058.3495784,-3059351.6597902
0,592792.736229081,1272325.39470589,-1865118.13093497
0,592792.736229081,1264592.43983337,-1857385.17606245
0,592792.736229081,1245384.20021334,-1838176.93644242
0,592792.736229081,1226175.96059331,-1818968.69682239
0,492522.130459642,1201290.57936395,-1693812.70982359
0,492522.130459642,1176405.19813459,-1668927.32859423
0,492522.130459642,1151182.32499642,-1643704.45545606
0,492522.130459642,1125959.45185826,-1618481.5823179
0,394356.386522566,1105304.8348125,-1499661.22133506
0,394356.386522566,1084650.21776674,-1479006.6042893
0,394356.386522566,1069751.10766708,-1464107.49418964
0,394356.386522566,1054851.99756742,-1449208.38408998
0,370438.452017842,1048485.09292529,-1418923.54494313
0,370438.452017842,1042118.18828317,-1412556.64030101
0,370438.452017842,1054427.74463947,-1424866.19665731
0,370438.452017842,1066737.30099578,-1437175.75301362
0,383294.5908167,1089810.08827919,-1473104.67909589
0,383294.5908167,1112882.87556261,-1496177.46637931
0,383294.5908167,1132606.62651717,-1515901.21733387
0,383294.5908167,1152330.37747173,-1535624.96828843
0,316005.341100664,1180457.87465283,-1496463.21575349
0,316005.341100664,1208585.37183392,-1524590.71293458
0,316005.341100664,1244397.74411139,-1560403.08521205
0,316005.341100664,1280210.11638886,-1596215.45748952
0,294560.945930271,1317328.00464481,-1611888.95057509
0,294560.945930271,1354445.89290077,-1649006.83883104
0,294560.945930271,1385620.80669767,-1680181.75262794
0,294560.945930271,1416795.72049457,-1711356.66642484
0,324177.294702352,1437571.36864302,-1761748.66334538
0,324177.294702352,1458347.01679148,-1782524.31149384
0,324177.294702352,1460869.9104174,-1785047.20511975
0,324177.294702352,1463392.80404332,-1787570.09874567
0,255911.215515199,1451541.09052789,-1707452.30604309
0,255911.215515199,1439689.37701247,-1695600.59252766
0,255911.215515199,1431689.22503338,-1687600.44054858
0,255911.215515199,1423689.07305429,-1679600.28856949
0,156135.424279489,1426389.68285838,-1582525.10713787
0,156135.424279489,1429090.29266248,-1585225.71694197
0,156135.424279489,1424084.02757021,-1580219.4518497
0,156135.424279489,1419077.76247794,-1575213.18675743
0,141126.659724357,1408274.37479157,-1549401.03451593
0,141126.659724357,1397470.9871052,-1538597.64682955
0,141126.659724357,1378566.35329858,-1519693.01302294
0,141126.659724357,1359661.71949197,-1500788.37921632
0,93229.276618826,1330217.4996125,-1423446.77623132
0,93229.276618826,1300773.27973303,-1394002.55635185
0,93229.276618826,1271589.23683077,-1364818.5134496
0,93229.276618826,1242405.19392852,-1335634.47054735
0,81224.3413599208,1222222.72836249,-1303447.06972241
0,81224.3413599208,1202040.26279645,-1283264.60415637
0,81224.3413599208,1186677.32133807,-1267901.66269799
0,81224.3413599208,1171314.37987968,-1252538.7212396
0,53905.5052122738,1156587.27527368,-1210492.78048595
0,53905.5052122738,1141860.17066768,-1195765.67587995
0,53905.5052122738,1124355.91386108,-1178261.41907335
0,53905.5052122738,1106851.65705447,-1160757.16226674
0,63849.938805035,1094555.17992978,-1158405.11873481
0,63849.938805035,1082258.70280509,-1146108.64161012
0,63849.938805035,1078349.92036743,-1142199.85917246
0,63849.938805035,1074441.13792976,-1138291.0767348
