,BitcoiDaysDestroyed,BitcoinDaysDestroyedCumulative,BitcoinDaysDestroyedMinMonth,BitcoinDaysDestroyedMinWeek,BitcoinDaysDestroyedMinYear
2009-01-03,0.0,0.0,0.0,0.0,0.0
2009-01-04,0.0,0.0,0.0,0.0,0.0
2009-01-05,0.0,0.0,0.0,0.0,0.0
2009-01-06,0.0,0.0,0.0,0.0,0.0
2009-01-07,0.0,0.0,0.0,0.0,0.0
2009-01-08,0.0,0.0,0.0,0.0,0.0
2009-01-09,0.0,0.0,0.0,0.0,0.0
2009-01-10,0.0,0.0,0.0,0.0,0.0
2009-01-11,0.0,0.0,0.0,0.0,0.0
2009-01-12,153.0,153.0,0.0,0.0,0.0
2009-01-13,15.0,168.0,0.0,0.0,0.0
2009-01-14,0.0,168.0,0.0,0.0,0.0
2009-01-15,750.0,918.0,0.0,0.0,0.0
2009-01-16,164.0,1082.0,0.0,0.0,0.0
2009-01-17,243.0,1325.0,0.0,0.0,0.0
2009-01-18,0.0,1325.0,0.0,0.0,0.0
2009-01-19,335.0,1660.0,0.0,0.0,0.0
2009-01-20,3071.0,4731.0,0.0,0.0,0.0
2009-01-21,1854.0,6585.0,0.0,0.0,0.0
2009-01-22,1963.0,8548.0,0.0,795.0,0.0
2009-01-23,695.0,9243.0,0.0,0.0,0.0
2009-01-24,3294.0,12537.0,0.0,408.0,0.0
2009-01-25,88.0,12625.0,0.0,0.0,0.0
2009-01-26,0.0,12625.0,0.0,0.0,0.0
2009-01-27,3328.0,15953.0,0.0,0.0,0.0
2009-01-28,0.0,15953.0,0.0,0.0,0.0
2009-01-29,0.0,15953.0,0.0,0.0,0.0
2009-01-30,1492.0,17445.0,0.0,0.0,0.0
2009-01-31,0.0,17445.0,0.0,0.0,0.0
2009-02-01,12416.0,29861.0,0.0,12302.0,0.0
2009-02-02,0.0,29861.0,0.0,0.0,0.0
2009-02-03,920.0,30781.0,0.0,868.0,0.0
2009-02-04,826.0,31607.0,0.0,658.0,0.0
2009-02-05,0.0,31607.0,0.0,0.0,0.0
2009-02-06,0.0,31607.0,0.0,0.0,0.0
2009-02-07,10977.0,42584.0,0.0,9303.0,0.0
2009-02-08,7863.0,50447.0,0.0,7863.0,0.0
2009-02-09,13601.0,64048.0,0.0,8793.0,0.0
2009-02-10,0.0,64048.0,0.0,0.0,0.0
2009-02-11,994.0,65042.0,0.0,0.0,0.0
2009-02-12,198.0,65240.0,0.0,0.0,0.0
2009-02-13,0.0,65240.0,0.0,0.0,0.0
2009-02-14,0.0,65240.0,0.0,0.0,0.0
2009-02-15,3695.0,68935.0,0.0,2898.0,0.0
2009-02-16,0.0,68935.0,0.0,0.0,0.0
2009-02-17,6309.0,75244.0,0.0,2289.0,0.0
2009-02-18,0.0,75244.0,0.0,0.0,0.0
2009-02-19,0.0,75244.0,0.0,0.0,0.0
2009-02-20,2555.0,77799.0,0.0,544.0,0.0
2009-02-21,0.0,77799.0,0.0,0.0,0.0
2009-02-22,1979.0,79778.0,0.0,365.0,0.0
2009-02-23,0.0,79778.0,0.0,0.0,0.0
2009-02-24,0.0,79778.0,0.0,0.0,0.0
2009-02-25,0.0,79778.0,0.0,0.0,0.0
2009-02-26,0.0,79778.0,0.0,0.0,0.0
2009-02-27,0.0,79778.0,0.0,0.0,0.0
2009-02-28,9922.0,89700.0,0.0,4123.0,0.0
2009-03-01,1334.0,91034.0,0.0,0.0,0.0
2009-03-02,0.0,91034.0,0.0,0.0,0.0
2009-03-03,1606.0,92640.0,0.0,929.0,0.0
2009-03-04,0.0,92640.0,0.0,0.0,0.0
2009-03-05,5182.0,97822.0,0.0,1990.0,0.0
2009-03-06,929.0,98751.0,0.0,0.0,0.0
2009-03-07,0.0,98751.0,0.0,0.0,0.0
2009-03-08,5562.0,104313.0,0.0,1394.0,0.0
2009-03-09,0.0,104313.0,0.0,0.0,0.0
2009-03-10,0.0,104313.0,0.0,0.0,0.0
2009-03-11,0.0,104313.0,0.0,0.0,0.0
2009-03-12,546.0,104859.0,0.0,0.0,0.0
2009-03-13,2757.0,107616.0,0.0,0.0,0.0
2009-03-14,0.0,107616.0,0.0,0.0,0.0
2009-03-15,0.0,107616.0,0.0,0.0,0.0
2009-03-16,19202.0,126818.0,0.0,14749.0,0.0
2009-03-17,0.0,126818.0,0.0,0.0,0.0
2009-03-18,0.0,126818.0,0.0,0.0,0.0
2009-03-19,2772.0,129590.0,0.0,352.0,0.0
2009-03-20,1518.0,131108.0,0.0,0.0,0.0
2009-03-21,0.0,131108.0,0.0,0.0,0.0
2009-03-22,4032.0,135140.0,0.0,2856.0,0.0
2009-03-23,0.0,135140.0,0.0,0.0,0.0
2009-03-24,0.0,135140.0,0.0,0.0,0.0
2009-03-25,0.0,135140.0,0.0,0.0,0.0
2009-03-26,5792.0,140932.0,0.0,0.0,0.0
2009-03-27,0.0,140932.0,0.0,0.0,0.0
2009-03-28,4738.0,145670.0,0.0,1444.0,0.0
2009-03-29,0.0,145670.0,0.0,0.0,0.0
2009-03-30,0.0,145670.0,0.0,0.0,0.0
2009-03-31,5369.0,151039.0,0.0,636.0,0.0
2009-04-01,0.0,151039.0,0.0,0.0,0.0
2009-04-02,0.0,151039.0,0.0,0.0,0.0
2009-04-03,0.0,151039.0,0.0,0.0,0.0
2009-04-04,0.0,151039.0,0.0,0.0,0.0
2009-04-05,0.0,151039.0,0.0,0.0,0.0
2009-04-06,3391.0,154430.0,0.0,742.0,0.0
2009-04-07,0.0,154430.0,0.0,0.0,0.0
2009-04-08,0.0,154430.0,0.0,0.0,0.0
2009-04-09,0.0,154430.0,0.0,0.0,0.0
2009-04-10,0.0,154430.0,0.0,0.0,0.0
2009-04-11,954.0,155384.0,0.0,0.0,0.0
2009-04-12,0.0,155384.0,0.0,0.0,0.0
2009-04-13,3869.0,159253.0,0.0,3040.0,0.0
2009-04-14,0.0,159253.0,0.0,0.0,0.0
2009-04-15,0.0,159253.0,0.0,0.0,0.0
2009-04-16,0.0,159253.0,0.0,0.0,0.0
2009-04-17,0.0,159253.0,0.0,0.0,0.0
2009-04-18,2815.0,162068.0,2712.0,2712.0,0.0
2009-04-19,2822.0,164890.0,0.0,1989.0,0.0
2009-04-20,52981.0,217871.0,34685.0,51586.0,0.0
2009-04-21,49490.0,267361.0,0.0,47353.0,0.0
2009-04-22,0.0,267361.0,0.0,0.0,0.0
2009-04-23,0.0,267361.0,0.0,0.0,0.0
2009-04-24,0.0,267361.0,0.0,0.0,0.0
2009-04-25,0.0,267361.0,0.0,0.0,0.0
2009-04-26,3157.0,270518.0,0.0,941.0,0.0
2009-04-27,0.0,270518.0,0.0,0.0,0.0
2009-04-28,0.0,270518.0,0.0,0.0,0.0
2009-04-29,0.0,270518.0,0.0,0.0,0.0
2009-04-30,5289.0,275807.0,0.0,3167.0,0.0
2009-05-01,0.0,275807.0,0.0,0.0,0.0
2009-05-02,461.0,276268.0,0.0,461.0,0.0
2009-05-03,4408.0,280676.0,0.0,3037.0,0.0
2009-05-04,82.0,280758.0,0.0,0.0,0.0
2009-05-05,5511.0,286269.0,0.0,0.0,0.0
2009-05-06,1261.0,287530.0,0.0,0.0,0.0
2009-05-07,0.0,287530.0,0.0,0.0,0.0
2009-05-08,0.0,287530.0,0.0,0.0,0.0
2009-05-09,0.0,287530.0,0.0,0.0,0.0
2009-05-10,0.0,287530.0,0.0,0.0,0.0
2009-05-11,190.0,287720.0,0.0,0.0,0.0
2009-05-12,0.0,287720.0,0.0,0.0,0.0
