,EuroPriceInUSD
1999-01-04,1.1789
1999-01-05,1.179
1999-01-06,1.1743
1999-01-07,1.1632
1999-01-08,1.1659
1999-01-09,1.1629
1999-01-10,1.1599
1999-01-11,1.1569
1999-01-12,1.152
1999-01-13,1.1744
1999-01-14,1.1653
1999-01-15,1.1626
1999-01-16,1.16213333333
1999-01-17,1.16166666667
1999-01-18,1.1612
1999-01-19,1.1616
1999-01-20,1.1575
1999-01-21,1.1572
1999-01-22,1.1567
1999-01-23,1.15726666667
1999-01-24,1.15783333333
1999-01-25,1.1584
1999-01-26,1.1582
1999-01-27,1.1529
1999-01-28,1.141
1999-01-29,1.1384
1999-01-30,1.13686666667
1999-01-31,1.13533333333
1999-02-01,1.1338
1999-02-02,1.1337
1999-02-03,1.1337
1999-02-04,1.1263
1999-02-05,1.1292
1999-02-06,1.12766666667
1999-02-07,1.12613333333
1999-02-08,1.1246
1999-02-09,1.1333
1999-02-10,1.1342
1999-02-11,1.1312
1999-02-12,1.1244
1999-02-13,1.1242
1999-02-14,1.124
1999-02-15,1.1238
1999-02-16,1.1176
1999-02-17,1.1253
1999-02-18,1.1232
1999-02-19,1.1163
1999-02-20,1.1106
1999-02-21,1.1049
1999-02-22,1.0992
1999-02-23,1.0969
1999-02-24,1.1037
1999-02-25,1.1031
1999-02-26,1.1018
1999-02-27,1.10073333333
1999-02-28,1.09966666667
1999-03-01,1.0986
1999-03-02,1.0887
1999-03-03,1.0899
1999-03-04,1.0866
1999-03-05,1.0834
1999-03-06,1.08586666667
1999-03-07,1.08833333333
1999-03-08,1.0908
1999-03-09,1.0863
1999-03-10,1.0953
1999-03-11,1.0891
1999-03-12,1.0932
1999-03-13,1.09376666667
1999-03-14,1.09433333333
1999-03-15,1.0949
1999-03-16,1.0901
1999-03-17,1.0966
1999-03-18,1.1012
1999-03-19,1.0915
1999-03-20,1.0898
1999-03-21,1.0881
1999-03-22,1.0864
1999-03-23,1.0896
1999-03-24,1.0928
1999-03-25,1.0898
1999-03-26,1.0815
1999-03-27,1.0774
1999-03-28,1.0733
1999-03-29,1.0692
1999-03-30,1.0711
1999-03-31,1.0742
1999-04-01,1.0772
1999-04-02,1.0772
1999-04-03,1.07653333333
1999-04-04,1.07586666667
1999-04-05,1.0752
1999-04-06,1.0726
1999-04-07,1.0812
1999-04-08,1.0818
1999-04-09,1.0778
1999-04-10,1.08076666667
1999-04-11,1.08373333333
1999-04-12,1.0867
1999-04-13,1.0765
1999-04-14,1.0787
1999-04-15,1.0786
1999-04-16,1.0668
1999-04-17,1.06573333333
1999-04-18,1.06466666667
1999-04-19,1.0636
1999-04-20,1.0646
1999-04-21,1.0586
1999-04-22,1.0581
1999-04-23,1.0634
1999-04-24,1.06273333333
1999-04-25,1.06206666667
1999-04-26,1.0614
1999-04-27,1.063
1999-04-28,1.0666
1999-04-29,1.0604
1999-04-30,1.0597
1999-05-01,1.05943333333
1999-05-02,1.05916666667
1999-05-03,1.0589
1999-05-04,1.0564
1999-05-05,1.0667
1999-05-06,1.0799
1999-05-07,1.0786
1999-05-08,1.0769
1999-05-09,1.0752
1999-05-10,1.0735
1999-05-11,1.0732
1999-05-12,1.0645
1999-05-13,1.0622
1999-05-14,1.0676
1999-05-15,1.0679
1999-05-16,1.0682
1999-05-17,1.0685
1999-05-18,1.069
1999-05-19,1.0634
1999-05-20,1.0639
1999-05-21,1.0572
1999-05-22,1.05763333333
1999-05-23,1.05806666667
1999-05-24,1.0585
1999-05-25,1.0627
1999-05-26,1.0535
1999-05-27,1.0473
1999-05-28,1.0479
1999-05-29,1.04713333333
1999-05-30,1.04636666667
1999-05-31,1.0456
1999-06-01,1.0434
1999-06-02,1.0382
1999-06-03,1.0382
1999-06-04,1.0315
1999-06-05,1.03153333333
1999-06-06,1.03156666667
1999-06-07,1.0316
1999-06-08,1.0385
1999-06-09,1.0466
1999-06-10,1.0474
1999-06-11,1.0474
1999-06-12,1.04616666667
1999-06-13,1.04493333333
1999-06-14,1.0437
1999-06-15,1.0392
1999-06-16,1.0345
1999-06-17,1.034
1999-06-18,1.0388
1999-06-19,1.03716666667
1999-06-20,1.03553333333
1999-06-21,1.0339
1999-06-22,1.0313
1999-06-23,1.028
1999-06-24,1.0321
1999-06-25,1.0443
1999-06-26,1.04246666667
1999-06-27,1.04063333333
1999-06-28,1.0388
1999-06-29,1.0364
1999-06-30,1.0328
1999-07-01,1.0264
1999-07-02,1.0241
1999-07-03,1.0238
1999-07-04,1.0235
1999-07-05,1.0232
1999-07-06,1.0221
1999-07-07,1.0222
1999-07-08,1.0182
1999-07-09,1.0204
1999-07-10,1.01773333333
1999-07-11,1.01506666667
1999-07-12,1.0124
1999-07-13,1.0183
1999-07-14,1.0168
1999-07-15,1.0201
1999-07-16,1.0202
1999-07-17,1.01833333333
1999-07-18,1.01646666667
1999-07-19,1.0146
1999-07-20,1.041
1999-07-21,1.0462
1999-07-22,1.0499
1999-07-23,1.0496
1999-07-24,1.05633333333
1999-07-25,1.06306666667
1999-07-26,1.0698
1999-07-27,1.0627
1999-07-28,1.0603
1999-07-29,1.068
1999-07-30,1.0694
1999-07-31,1.06843333333
1999-08-01,1.06746666667
1999-08-02,1.0665
1999-08-03,1.0645
1999-08-04,1.0761
1999-08-05,1.0791
1999-08-06,1.074
1999-08-07,1.07283333333
1999-08-08,1.07166666667
1999-08-09,1.0705
1999-08-10,1.0737
1999-08-11,1.0668
1999-08-12,1.0638
1999-08-13,1.0667
1999-08-14,1.0629
1999-08-15,1.0591
1999-08-16,1.0553
1999-08-17,1.0527
1999-08-18,1.0517
1999-08-19,1.0517
1999-08-20,1.0667
1999-08-21,1.06466666667
1999-08-22,1.06263333333
1999-08-23,1.0606
1999-08-24,1.0512
1999-08-25,1.0433
1999-08-26,1.0452
1999-08-27,1.045
1999-08-28,1.04513333333
1999-08-29,1.04526666667
1999-08-30,1.0454
1999-08-31,1.0573
1999-09-01,1.0613
1999-09-02,1.0662
1999-09-03,1.0682
1999-09-04,1.06526666667
1999-09-05,1.06233333333
1999-09-06,1.0594
1999-09-07,1.0565
1999-09-08,1.0613
1999-09-09,1.0592
1999-09-10,1.052
1999-09-11,1.04606666667
1999-09-12,1.04013333333
1999-09-13,1.0342
1999-09-14,1.0362
1999-09-15,1.0369
1999-09-16,1.0372
1999-09-17,1.0397
1999-09-18,1.04
1999-09-19,1.0403
1999-09-20,1.0406
1999-09-21,1.0388
1999-09-22,1.0509
1999-09-23,1.043
1999-09-24,1.0476
1999-09-25,1.04553333333
1999-09-26,1.04346666667
1999-09-27,1.0414
1999-09-28,1.0483
1999-09-29,1.0563
1999-09-30,1.0665
1999-10-01,1.0728
1999-10-02,1.0725
1999-10-03,1.0722
1999-10-04,1.0719
1999-10-05,1.0686
1999-10-06,1.0737
1999-10-07,1.0729
1999-10-08,1.0657
1999-10-09,1.06483333333
1999-10-10,1.06396666667
1999-10-11,1.0631
1999-10-12,1.0668
1999-10-13,1.0778
1999-10-14,1.0758
1999-10-15,1.0869
1999-10-16,1.08686666667
1999-10-17,1.08683333333
1999-10-18,1.0868
1999-10-19,1.0818
1999-10-20,1.0777
1999-10-21,1.0797
1999-10-22,1.0758
1999-10-23,1.0733
1999-10-24,1.0708
1999-10-25,1.0683
1999-10-26,1.0633
1999-10-27,1.0552
1999-10-28,1.0534
1999-10-29,1.0453
1999-10-30,1.04926666667
1999-10-31,1.05323333333
1999-11-01,1.0572
1999-11-02,1.0507
1999-11-03,1.0491
1999-11-04,1.0504
1999-11-05,1.0408
1999-11-06,1.0407
1999-11-07,1.0406
1999-11-08,1.0405
1999-11-09,1.0424
1999-11-10,1.0402
1999-11-11,1.0406
1999-11-12,1.0308
1999-11-13,1.03056666667
1999-11-14,1.03033333333
1999-11-15,1.0301
1999-11-16,1.0336
1999-11-17,1.0408
1999-11-18,1.038
1999-11-19,1.0279
1999-11-20,1.02896666667
