,NumTransactionsTotal
2009-01-03 18:15:05,1.0
2009-01-04 18:15:05,1.0
2009-01-05 18:15:05,1.0
2009-01-06 18:15:05,1.0
2009-01-07 18:15:05,1.0
2009-01-08 18:15:05,1.0
2009-01-09 18:15:05,15.0
2009-01-10 18:15:05,46.0
2009-01-11 18:15:05,152.0
2009-01-12 18:15:05,247.0
2009-01-13 18:15:05,363.0
2009-01-14 18:15:05,489.0
2009-01-15 18:15:05,625.0
2009-01-16 18:15:05,742.0
2009-01-17 18:15:05,851.0
2009-01-18 18:15:05,952.0
2009-01-19 18:15:05,1072.0
2009-01-20 18:15:05,1190.0
2009-01-21 18:15:05,1305.0
2009-01-22 18:15:05,1381.0
2009-01-23 18:15:05,1449.0
2009-01-24 18:15:05,1650.0
2009-01-25 18:15:05,1845.0
2009-01-26 18:15:05,1961.0
2009-01-27 18:15:05,2066.0
2009-01-28 18:15:05,2169.0
2009-01-29 18:15:05,2291.0
2009-01-30 18:15:05,2413.0
2009-01-31 18:15:05,2542.0
2009-02-01 18:15:05,2660.0
2009-02-02 18:15:05,2787.0
2009-02-03 18:15:05,2937.0
2009-02-04 18:15:05,3063.0
2009-02-05 18:15:05,3184.0
2009-02-06 18:15:05,3313.0
2009-02-07 18:15:05,3443.0
2009-02-08 18:15:05,3578.0
2009-02-09 18:15:05,3707.0
2009-02-10 18:15:05,3834.0
2009-02-11 18:15:05,3966.0
2009-02-12 18:15:05,4085.0
2009-02-13 18:15:05,4209.0
2009-02-14 18:15:05,4350.0
2009-02-15 18:15:05,4475.0
2009-02-16 18:15:05,4598.0
2009-02-17 18:15:05,4717.0
2009-02-18 18:15:05,4841.0
2009-02-19 18:15:05,4958.0
2009-02-20 18:15:05,5087.0
2009-02-21 18:15:05,5197.0
2009-02-22 18:15:05,5322.0
2009-02-23 18:15:05,5429.0
2009-02-24 18:15:05,5540.0
2009-02-25 18:15:05,5647.0
2009-02-26 18:15:05,5743.0
2009-02-27 18:15:05,5866.0
2009-02-28 18:15:05,5969.0
2009-03-01 18:15:05,6076.0
2009-03-02 18:15:05,6180.0
2009-03-03 18:15:05,6288.0
2009-03-04 18:15:05,6394.0
2009-03-05 18:15:05,6502.0
2009-03-06 18:15:05,6621.0
2009-03-07 18:15:05,6732.0
2009-03-08 18:15:05,6847.0
2009-03-09 18:15:05,6960.0
2009-03-10 18:15:05,7065.0
2009-03-11 18:15:05,7173.0
2009-03-12 18:15:05,7292.0
2009-03-13 18:15:05,7407.0
2009-03-14 18:15:05,7523.0
2009-03-15 18:15:05,7634.0
2009-03-16 18:15:05,7765.0
2009-03-17 18:15:05,7880.0
2009-03-18 18:15:05,7990.0
2009-03-19 18:15:05,8114.0
2009-03-20 18:15:05,8233.0
2009-03-21 18:15:05,8310.0
2009-03-22 18:15:05,8407.0
2009-03-23 18:15:05,8539.0
2009-03-24 18:15:05,8644.0
2009-03-25 18:15:05,8760.0
2009-03-26 18:15:05,8874.0
2009-03-27 18:15:05,8984.0
2009-03-28 18:15:05,9106.0
2009-03-29 18:15:05,9218.0
2009-03-30 18:15:05,9343.0
2009-03-31 18:15:05,9457.0
2009-04-01 18:15:05,9564.0
2009-04-02 18:15:05,9684.0
2009-04-03 18:15:05,9797.0
2009-04-04 18:15:05,9910.0
2009-04-05 18:15:05,10039.0
2009-04-06 18:15:05,10156.0
2009-04-07 18:15:05,10255.0
2009-04-08 18:15:05,10359.0
2009-04-09 18:15:05,10458.0
2009-04-10 18:15:05,10561.0
2009-04-11 18:15:05,10684.0
2009-04-12 18:15:05,10799.0
2009-04-13 18:15:05,10917.0
2009-04-14 18:15:05,11044.0
2009-04-15 18:15:05,11156.0
2009-04-16 18:15:05,11279.0
2009-04-17 18:15:05,11394.0
2009-04-18 18:15:05,11519.0
2009-04-19 18:15:05,11640.0
2009-04-20 18:15:05,11758.0
2009-04-21 18:15:05,11883.0
2009-04-22 18:15:05,12004.0
2009-04-23 18:15:05,12084.0
2009-04-24 18:15:05,12197.0
2009-04-25 18:15:05,12319.0
2009-04-26 18:15:05,12430.0
2009-04-27 18:15:05,12535.0
2009-04-28 18:15:05,12652.0
2009-04-29 18:15:05,12775.0
2009-04-30 18:15:05,12908.0
2009-05-01 18:15:05,13031.0
2009-05-02 18:15:05,13155.0
2009-05-03 18:15:05,13270.0
2009-05-04 18:15:05,13395.0
2009-05-05 18:15:05,13528.0
2009-05-06 18:15:05,13666.0
2009-05-07 18:15:05,13787.0
2009-05-08 18:15:05,13909.0
2009-05-09 18:15:05,14000.0
2009-05-10 18:15:05,14062.0
2009-05-11 18:15:05,14182.0
2009-05-12 18:15:05,14309.0
2009-05-13 18:15:05,14426.0
2009-05-14 18:15:05,14563.0
2009-05-15 18:15:05,14708.0
2009-05-16 18:15:05,14823.0
2009-05-17 18:15:05,14948.0
2009-05-18 18:15:05,15072.0
2009-05-19 18:15:05,15172.0
2009-05-20 18:15:05,15276.0
2009-05-21 18:15:05,15365.0
2009-05-22 18:15:05,15448.0
2009-05-23 18:15:05,15455.0
2009-05-24 18:15:05,15551.0
2009-05-25 18:15:05,15663.0
2009-05-26 18:15:05,15776.0
2009-05-27 18:15:05,15901.0
2009-05-28 18:15:05,16004.0
2009-05-29 18:15:05,16112.0
2009-05-30 18:15:05,16215.0
2009-05-31 18:15:05,16333.0
2009-06-01 18:15:05,16407.0
2009-06-02 18:15:05,16496.0
2009-06-03 18:15:05,16594.0
2009-06-04 18:15:05,16633.0
2009-06-05 18:15:05,16690.0
2009-06-06 18:15:05,16714.0
2009-06-07 18:15:05,16718.0
2009-06-08 18:15:05,16790.0
2009-06-09 18:15:05,16884.0
2009-06-10 18:15:05,16967.0
2009-06-11 18:15:05,17060.0
2009-06-12 18:15:05,17151.0
2009-06-13 18:15:05,17225.0
2009-06-14 18:15:05,17295.0
2009-06-15 18:15:05,17377.0
2009-06-16 18:15:05,17450.0
2009-06-17 18:15:05,17527.0
2009-06-18 18:15:05,17608.0
2009-06-19 18:15:05,17695.0
2009-06-20 18:15:05,17779.0
2009-06-21 18:15:05,17854.0
2009-06-22 18:15:05,17935.0
2009-06-23 18:15:05,18011.0
2009-06-24 18:15:05,18098.0
2009-06-25 18:15:05,18172.0
2009-06-26 18:15:05,18262.0
2009-06-27 18:15:05,18347.0
2009-06-28 18:15:05,18399.0
2009-06-29 18:15:05,18475.0
2009-06-30 18:15:05,18564.0
2009-07-01 18:15:05,18648.0
2009-07-02 18:15:05,18720.0
2009-07-03 18:15:05,18804.0
2009-07-04 18:15:05,18893.0
2009-07-05 18:15:05,18973.0
2009-07-06 18:15:05,19064.0
2009-07-07 18:15:05,19127.0
2009-07-08 18:15:05,19206.0
2009-07-09 18:15:05,19287.0
2009-07-10 18:15:05,19369.0
2009-07-11 18:15:05,19453.0
2009-07-12 18:15:05,19529.0
2009-07-13 18:15:05,19605.0
2009-07-14 18:15:05,19677.0
2009-07-15 18:15:05,19723.0
2009-07-16 18:15:05,19792.0
2009-07-17 18:15:05,19857.0
2009-07-18 18:15:05,19860.0
2009-07-19 18:15:05,19912.0
2009-07-20 18:15:05,19987.0
2009-07-21 18:15:05,20062.0
2009-07-22 18:15:05,20131.0
2009-07-23 18:15:05,20197.0
2009-07-24 18:15:05,20272.0
2009-07-25 18:15:05,20325.0
2009-07-26 18:15:05,20338.0
2009-07-27 18:15:05,20402.0
2009-07-28 18:15:05,20446.0
2009-07-29 18:15:05,20478.0
2009-07-30 18:15:05,20494.0
2009-07-31 18:15:05,20506.0
2009-08-01 18:15:05,20529.0
2009-08-02 18:15:05,20559.0
2009-08-03 18:15:05,20574.0
2009-08-04 18:15:05,20632.0
2009-08-05 18:15:05,20723.0
2009-08-06 18:15:05,20819.0
2009-08-07 18:15:05,20893.0
2009-08-08 18:15:05,20976.0
2009-08-09 18:15:05,21074.0
2009-08-10 18:15:05,21156.0
2009-08-11 18:15:05,21223.0
2009-08-12 18:15:05,21291.0
2009-08-13 18:15:05,21372.0
2009-08-14 18:15:05,21437.0
2009-08-15 18:15:05,21471.0
2009-08-16 18:15:05,21496.0
2009-08-17 18:15:05,21513.0
2009-08-18 18:15:05,21522.0
2009-08-19 18:15:05,21537.0
2009-08-20 18:15:05,21561.0
2009-08-21 18:15:05,21577.0
2009-08-22 18:15:05,21585.0
2009-08-23 18:15:05,21597.0
2009-08-24 18:15:05,21605.0
2009-08-25 18:15:05,21660.0
2009-08-26 18:15:05,21702.0
2009-08-27 18:15:05,21735.0
2009-08-28 18:15:05,21799.0
2009-08-29 18:15:05,21882.0
2009-08-30 18:15:05,21973.0
2009-08-31 18:15:05,22068.0
2009-09-01 18:15:05,22147.0
2009-09-02 18:15:05,22215.0
2009-09-03 18:15:05,22276.0
2009-09-04 18:15:05,22339.0
2009-09-05 18:15:05,22410.0
2009-09-06 18:15:05,22482.0
2009-09-07 18:15:05,22561.0
2009-09-08 18:15:05,22627.0
2009-09-09 18:15:05,22685.0
2009-09-10 18:15:05,22746.0
2009-09-11 18:15:05,22814.0
2009-09-12 18:15:05,22885.0
2009-09-13 18:15:05,22955.0
2009-09-14 18:15:05,23036.0
2009-09-15 18:15:05,23092.0
2009-09-16 18:15:05,23151.0
2009-09-17 18:15:05,23235.0
2009-09-18 18:15:05,23316.0
2009-09-19 18:15:05,23387.0
2009-09-20 18:15:05,23466.0
2009-09-21 18:15:05,23540.0
2009-09-22 18:15:05,23575.0
2009-09-23 18:15:05,23603.0
2009-09-24 18:15:05,23685.0
2009-09-25 18:15:05,23787.0
2009-09-26 18:15:05,23881.0
2009-09-27 18:15:05,23971.0
2009-09-28 18:15:05,24059.0
2009-09-29 18:15:05,24144.0
2009-09-30 18:15:05,24231.0
2009-10-01 18:15:05,24316.0
2009-10-02 18:15:05,24392.0
2009-10-03 18:15:05,24450.0
2009-10-04 18:15:05,24511.0
2009-10-05 18:15:05,24569.0
2009-10-06 18:15:05,24612.0
2009-10-07 18:15:05,24663.0
2009-10-08 18:15:05,24733.0
2009-10-09 18:15:05,24811.0
2009-10-10 18:15:05,24888.0
2009-10-11 18:15:05,24967.0
2009-10-12 18:15:05,25030.0
2009-10-13 18:15:05,25081.0
2009-10-14 18:15:05,25137.0
2009-10-15 18:15:05,25222.0
2009-10-16 18:15:05,25288.0
2009-10-17 18:15:05,25343.0
2009-10-18 18:15:05,25408.0
2009-10-19 18:15:05,25507.0
2009-10-20 18:15:05,25618.0
2009-10-21 18:15:05,25702.0
2009-10-22 18:15:05,25790.0
2009-10-23 18:15:05,25877.0
2009-10-24 18:15:05,25952.0
2009-10-25 18:15:05,26026.0
2009-10-26 18:15:05,26091.0
2009-10-27 18:15:05,26158.0
2009-10-28 18:15:05,26222.0
2009-10-29 18:15:05,26273.0
2009-10-30 18:15:05,26335.0
2009-10-31 18:15:05,26380.0
2009-11-01 18:15:05,26410.0
2009-11-02 18:15:05,26443.0
2009-11-03 18:15:05,26500.0
2009-11-04 18:15:05,26562.0
2009-11-05 18:15:05,26627.0
2009-11-06 18:15:05,26676.0
2009-11-07 18:15:05,26752.0
2009-11-08 18:15:05,26822.0
2009-11-09 18:15:05,26887.0
2009-11-10 18:15:05,26958.0
2009-11-11 18:15:05,27036.0
2009-11-12 18:15:05,27106.0
2009-11-13 18:15:05,27179.0
2009-11-14 18:15:05,27262.0
2009-11-15 18:15:05,27358.0
2009-11-16 18:15:05,27458.0
2009-11-17 18:15:05,27549.0
2009-11-18 18:15:05,27628.0
2009-11-19 18:15:05,27701.0
2009-11-20 18:15:05,27785.0
2009-11-21 18:15:05,27862.0
2009-11-22 18:15:05,27962.0
2009-11-23 18:15:05,28058.0
2009-11-24 18:15:05,28160.0
2009-11-25 18:15:05,28245.0
2009-11-26 18:15:05,28323.0
2009-11-27 18:15:05,28398.0
2009-11-28 18:15:05,28476.0
2009-11-29 18:15:05,28534.0
2009-11-30 18:15:05,28608.0
2009-12-01 18:15:05,28674.0
2009-12-02 18:15:05,28773.0
2009-12-03 18:15:05,28858.0
2009-12-04 18:15:05,28907.0
