,Open,High,Low,Close,Volume,Adj Close
1950-01-03,16.66,16.66,16.66,16.66,1260000.0,16.66
1950-01-04,16.85,16.85,16.85,16.85,1890000.0,16.85
1950-01-05,16.93,16.93,16.93,16.93,2550000.0,16.93
1950-01-06,16.98,16.98,16.98,16.98,2010000.0,16.98
1950-01-07,17.0133333333,17.0133333333,17.0133333333,17.0133333333,2180000.0,17.0133333333
1950-01-08,17.0466666667,17.0466666667,17.0466666667,17.0466666667,2350000.0,17.0466666667
1950-01-09,17.08,17.08,17.08,17.08,2520000.0,17.08
1950-01-10,17.030001,17.030001,17.030001,17.030001,2160000.0,17.030001
1950-01-11,17.09,17.09,17.09,17.09,2630000.0,17.09
1950-01-12,16.76,16.76,16.76,16.76,2970000.0,16.76
1950-01-13,16.67,16.67,16.67,16.67,3330000.0,16.67
1950-01-14,16.6866663333,16.6866663333,16.6866663333,16.6866663333,2706666.66667,16.6866663333
1950-01-15,16.7033326667,16.7033326667,16.7033326667,16.7033326667,2083333.33333,16.7033326667
1950-01-16,16.719999,16.719999,16.719999,16.719999,1460000.0,16.719999
1950-01-17,16.860001,16.860001,16.860001,16.860001,1790000.0,16.860001
1950-01-18,16.85,16.85,16.85,16.85,1570000.0,16.85
1950-01-19,16.870001,16.870001,16.870001,16.870001,1170000.0,16.870001
1950-01-20,16.9,16.9,16.9,16.9,1440000.0,16.9
1950-01-21,16.9066666667,16.9066666667,16.9066666667,16.9066666667,1406666.66667,16.9066666667
1950-01-22,16.9133333333,16.9133333333,16.9133333333,16.9133333333,1373333.33333,16.9133333333
1950-01-23,16.92,16.92,16.92,16.92,1340000.0,16.92
1950-01-24,16.860001,16.860001,16.860001,16.860001,1250000.0,16.860001
1950-01-25,16.74,16.74,16.74,16.74,1700000.0,16.74
1950-01-26,16.73,16.73,16.73,16.73,1150000.0,16.73
1950-01-27,16.82,16.82,16.82,16.82,1250000.0,16.82
1950-01-28,16.8866666667,16.8866666667,16.8866666667,16.8866666667,1380000.0,16.8866666667
1950-01-29,16.9533333333,16.9533333333,16.9533333333,16.9533333333,1510000.0,16.9533333333
1950-01-30,17.02,17.02,17.02,17.02,1640000.0,17.02
1950-01-31,17.049999,17.049999,17.049999,17.049999,1690000.0,17.049999
1950-02-01,17.049999,17.049999,17.049999,17.049999,1810000.0,17.049999
1950-02-02,17.23,17.23,17.23,17.23,2040000.0,17.23
1950-02-03,17.290001,17.290001,17.290001,17.290001,2210000.0,17.290001
1950-02-04,17.3000006667,17.3000006667,17.3000006667,17.3000006667,1970000.0,17.3000006667
1950-02-05,17.3100003333,17.3100003333,17.3100003333,17.3100003333,1730000.0,17.3100003333
