,TotalBitcoins
2009-01-03 18:15:05,50.0
2009-01-04 18:15:05,50.0
2009-01-05 18:15:05,50.0
2009-01-06 18:15:05,50.0
2009-01-07 18:15:05,50.0
2009-01-08 18:15:05,50.0
2009-01-09 18:15:05,750.0
2009-01-10 18:15:05,2300.0
2009-01-11 18:15:05,7600.0
2009-01-12 18:15:05,12050.0
2009-01-13 18:15:05,17800.0
2009-01-14 18:15:05,24100.0
2009-01-15 18:15:05,30450.0
2009-01-16 18:15:05,36250.0
2009-01-17 18:15:05,41650.0
2009-01-18 18:15:05,46700.0
2009-01-19 18:15:05,52650.0
2009-01-20 18:15:05,58450.0
2009-01-21 18:15:05,64100.0
2009-01-22 18:15:05,67850.0
2009-01-23 18:15:05,71200.0
2009-01-24 18:15:05,81150.0
2009-01-25 18:15:05,90850.0
2009-01-26 18:15:05,96650.0
2009-01-27 18:15:05,101800.0
2009-01-28 18:15:05,106950.0
2009-01-29 18:15:05,113050.0
2009-01-30 18:15:05,119100.0
2009-01-31 18:15:05,125550.0
2009-02-01 18:15:05,131350.0
2009-02-02 18:15:05,137700.0
2009-02-03 18:15:05,144500.0
2009-02-04 18:15:05,150650.0
2009-02-05 18:15:05,156700.0
2009-02-06 18:15:05,163150.0
2009-02-07 18:15:05,169450.0
2009-02-08 18:15:05,176150.0
2009-02-09 18:15:05,182550.0
2009-02-10 18:15:05,188900.0
2009-02-11 18:15:05,195450.0
2009-02-12 18:15:05,201350.0
2009-02-13 18:15:05,207550.0
2009-02-14 18:15:05,214600.0
2009-02-15 18:15:05,220700.0
2009-02-16 18:15:05,226850.0
2009-02-17 18:15:05,232750.0
2009-02-18 18:15:05,238950.0
2009-02-19 18:15:05,244800.0
2009-02-20 18:15:05,251200.0
2009-02-21 18:15:05,256700.0
2009-02-22 18:15:05,262750.0
2009-02-23 18:15:05,268100.0
2009-02-24 18:15:05,273650.0
2009-02-25 18:15:05,279000.0
2009-02-26 18:15:05,283800.0
2009-02-27 18:15:05,289950.0
2009-02-28 18:15:05,295050.0
2009-03-01 18:15:05,300350.0
2009-03-02 18:15:05,305550.0
2009-03-03 18:15:05,310850.0
2009-03-04 18:15:05,316150.0
2009-03-05 18:15:05,321450.0
2009-03-06 18:15:05,327350.0
2009-03-07 18:15:05,332900.0
2009-03-08 18:15:05,338500.0
2009-03-09 18:15:05,344150.0
2009-03-10 18:15:05,349400.0
2009-03-11 18:15:05,354800.0
2009-03-12 18:15:05,360700.0
2009-03-13 18:15:05,366400.0
2009-03-14 18:15:05,372200.0
2009-03-15 18:15:05,377750.0
2009-03-16 18:15:05,384250.0
2009-03-17 18:15:05,390000.0
2009-03-18 18:15:05,395500.0
2009-03-19 18:15:05,401600.0
2009-03-20 18:15:05,407500.0
2009-03-21 18:15:05,411350.0
2009-03-22 18:15:05,416100.0
2009-03-23 18:15:05,422700.0
2009-03-24 18:15:05,427950.0
2009-03-25 18:15:05,433750.0
2009-03-26 18:15:05,439400.0
2009-03-27 18:15:05,444900.0
2009-03-28 18:15:05,450850.0
2009-03-29 18:15:05,456450.0
2009-03-30 18:15:05,462700.0
2009-03-31 18:15:05,468350.0
2009-04-01 18:15:05,473700.0
2009-04-02 18:15:05,479700.0
2009-04-03 18:15:05,485350.0
2009-04-04 18:15:05,491000.0
2009-04-05 18:15:05,497450.0
2009-04-06 18:15:05,503200.0
2009-04-07 18:15:05,508150.0
2009-04-08 18:15:05,513350.0
2009-04-09 18:15:05,518300.0
2009-04-10 18:15:05,523450.0
2009-04-11 18:15:05,529550.0
2009-04-12 18:15:05,535300.0
2009-04-13 18:15:05,541050.0
2009-04-14 18:15:05,547400.0
2009-04-15 18:15:05,553000.0
2009-04-16 18:15:05,559150.0
2009-04-17 18:15:05,564900.0
2009-04-18 18:15:05,571000.0
2009-04-19 18:15:05,576950.0
2009-04-20 18:15:05,582800.0
2009-04-21 18:15:05,588950.0
2009-04-22 18:15:05,595000.0
2009-04-23 18:15:05,599000.0
