,WikipediaTrend
2009-01-03,1.0
2009-01-04,0.0
2009-01-05,1.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,1.0
2009-01-09,0.0
2009-01-10,1.0
2009-01-11,0.0
2009-01-12,0.0
2009-01-13,0.0
2009-01-14,0.0
2009-01-15,0.0
2009-01-16,1.0
2009-01-17,0.0
2009-01-18,0.0
2009-01-19,0.0
2009-01-20,0.0
2009-01-21,1.0
2009-01-22,1.0
2009-01-23,0.0
2009-01-24,0.0
2009-01-25,0.0
2009-01-26,1.0
2009-01-27,0.0
2009-01-28,0.0
2009-01-29,4.0
2009-01-30,0.0
2009-01-31,1.0
2009-02-01,0.0
2009-02-02,0.0
2009-02-03,0.0
2009-02-04,1.0
2009-02-05,2.0
2009-02-06,0.0
2009-02-07,0.0
2009-02-08,0.0
2009-02-09,0.0
2009-02-10,1.0
2009-02-11,1.0
2009-02-12,0.0
2009-02-13,0.0
2009-02-14,0.0
2009-02-15,1.0
2009-02-16,2.0
2009-02-17,0.0
2009-02-18,0.0
2009-02-19,0.0
2009-02-20,0.0
2009-02-21,0.0
2009-02-22,2.0
2009-02-23,0.0
2009-02-24,0.0
2009-02-25,1.0
2009-02-26,0.0
2009-02-27,1.0
2009-02-28,0.0
2009-03-01,0.0
2009-03-02,0.0
2009-03-03,0.0
2009-03-04,2.0
2009-03-05,0.0
2009-03-06,0.0
2009-03-07,0.0
2009-03-08,17.0
2009-03-09,9.0
2009-03-10,10.0
2009-03-11,12.0
2009-03-12,6.0
2009-03-13,22.0
2009-03-14,8.0
2009-03-15,14.0
2009-03-16,14.0
2009-03-17,9.0
2009-03-18,9.0
2009-03-19,23.0
2009-03-20,13.0
2009-03-21,9.0
2009-03-22,14.0
2009-03-23,19.0
2009-03-24,15.0
2009-03-25,10.0
2009-03-26,11.0
2009-03-27,23.0
2009-03-28,12.0
2009-03-29,8.0
2009-03-30,7.0
2009-03-31,11.0
2009-04-01,12.0
2009-04-02,7.0
2009-04-03,19.0
2009-04-04,10.0
2009-04-05,8.0
2009-04-06,12.0
2009-04-07,10.0
2009-04-08,17.0
2009-04-09,11.0
2009-04-10,11.0
2009-04-11,15.0
2009-04-12,10.0
2009-04-13,8.0
2009-04-14,17.0
2009-04-15,9.0
2009-04-16,10.0
2009-04-17,12.0
2009-04-18,20.0
2009-04-19,7.0
2009-04-20,13.0
2009-04-21,8.0
2009-04-22,6.0
2009-04-23,8.0
2009-04-24,12.0
2009-04-25,8.0
2009-04-26,14.0
2009-04-27,13.0
2009-04-28,4.0
2009-04-29,10.0
2009-04-30,14.0
2009-05-01,13.0
2009-05-02,8.0
2009-05-03,9.0
2009-05-04,9.0
2009-05-05,6.0
2009-05-06,9.0
2009-05-07,6.0
2009-05-08,14.0
2009-05-09,19.0
2009-05-10,17.0
2009-05-11,15.0
2009-05-12,11.0
2009-05-13,14.0
2009-05-14,7.0
2009-05-15,7.0
2009-05-16,4.0
2009-05-17,14.0
2009-05-18,6.0
2009-05-19,6.0
2009-05-20,11.0
2009-05-21,8.0
2009-05-22,6.0
2009-05-23,4.0
2009-05-24,5.0
2009-05-25,13.0
2009-05-26,10.0
2009-05-27,8.0
2009-05-28,5.0
2009-05-29,9.0
2009-05-30,6.0
2009-05-31,10.0
2009-06-01,20.0
2009-06-02,14.0
2009-06-03,8.0
2009-06-04,7.0
2009-06-05,9.0
2009-06-06,7.0
2009-06-07,8.0
2009-06-08,6.0
2009-06-09,14.0
2009-06-10,14.0
2009-06-11,12.0
2009-06-12,5.0
2009-06-13,4.0
2009-06-14,5.0
2009-06-15,10.0
2009-06-16,5.0
2009-06-17,13.0
2009-06-18,9.0
2009-06-19,4.0
2009-06-20,13.0
2009-06-21,9.0
2009-06-22,7.0
2009-06-23,8.0
2009-06-24,17.0
2009-06-25,5.0
2009-06-26,7.0
2009-06-27,8.0
2009-06-28,10.0
2009-06-29,13.0
2009-06-30,15.0
2009-07-01,6.0
2009-07-02,18.0
2009-07-03,6.0
2009-07-04,7.0
2009-07-05,4.0
2009-07-06,10.0
2009-07-07,11.0
2009-07-08,15.0
2009-07-09,10.0
2009-07-10,7.0
2009-07-11,8.0
2009-07-12,14.0
2009-07-13,9.0
2009-07-14,16.0
2009-07-15,13.0
2009-07-16,6.0
2009-07-17,7.0
2009-07-18,9.0
2009-07-19,15.0
2009-07-20,5.0
2009-07-21,13.0
2009-07-22,9.0
2009-07-23,15.0
2009-07-24,13.0
2009-07-25,18.0
2009-07-26,10.0
2009-07-27,12.0
2009-07-28,10.0
2009-07-29,16.0
2009-07-30,26.0
2009-07-31,24.0
2009-08-01,11.0
2009-08-02,7.0
2009-08-03,12.0
2009-08-04,12.0
2009-08-05,20.0
2009-08-06,33.0
2009-08-07,11.0
2009-08-08,15.0
2009-08-09,14.0
2009-08-10,7.0
2009-08-11,13.0
2009-08-12,9.0
2009-08-13,13.0
2009-08-14,20.0
2009-08-15,24.0
2009-08-16,12.0
2009-08-17,9.0
2009-08-18,10.0
2009-08-19,16.0
2009-08-20,16.0
2009-08-21,12.0
2009-08-22,9.0
2009-08-23,30.0
2009-08-24,25.0
2009-08-25,15.0
2009-08-26,11.0
2009-08-27,14.0
2009-08-28,11.0
2009-08-29,17.0
2009-08-30,12.0
2009-08-31,10.0
2009-09-01,9.0
2009-09-02,13.0
2009-09-03,11.0
2009-09-04,7.0
2009-09-05,9.0
2009-09-06,10.0
2009-09-07,16.0
2009-09-08,10.0
2009-09-09,17.0
2009-09-10,9.0
2009-09-11,14.0
2009-09-12,10.0
2009-09-13,11.0
2009-09-14,14.0
2009-09-15,10.0
2009-09-16,5.0
2009-09-17,13.0
2009-09-18,9.0
2009-09-19,4.0
2009-09-20,9.0
2009-09-21,8.0
2009-09-22,10.0
2009-09-23,11.0
2009-09-24,14.0
2009-09-25,10.0
2009-09-26,5.0
2009-09-27,13.0
2009-09-28,9.0
2009-09-29,4.0
2009-09-30,9.0
2009-10-01,4.0
2009-10-02,7.0
2009-10-03,11.0
2009-10-04,18.0
2009-10-05,13.0
2009-10-06,8.0
2009-10-07,12.0
2009-10-08,7.0
2009-10-09,5.0
2009-10-10,5.0
2009-10-11,10.0
2009-10-12,7.0
2009-10-13,20.0
2009-10-14,17.0
2009-10-15,20.0
2009-10-16,14.0
2009-10-17,12.0
2009-10-18,54.0
2009-10-19,21.0
2009-10-20,10.0
2009-10-21,10.0
2009-10-22,15.0
2009-10-23,4.0
2009-10-24,15.0
2009-10-25,10.0
2009-10-26,14.0
2009-10-27,14.0
2009-10-28,21.0
2009-10-29,17.0
2009-10-30,17.0
2009-10-31,13.0
2009-11-01,15.0
2009-11-02,14.0
2009-11-03,11.0
2009-11-04,18.0
2009-11-05,10.0
2009-11-06,10.0
2009-11-07,6.0
2009-11-08,8.0
2009-11-09,10.0
2009-11-10,22.0
2009-11-11,10.0
2009-11-12,16.0
2009-11-13,18.0
2009-11-14,12.0
2009-11-15,6.0
2009-11-16,11.0
2009-11-17,13.0
2009-11-18,14.0
2009-11-19,8.0
2009-11-20,9.0
2009-11-21,14.0
2009-11-22,5.0
2009-11-23,8.0
2009-11-24,10.0
2009-11-25,9.0
2009-11-26,7.0
2009-11-27,4.0
2009-11-28,11.0
2009-11-29,6.0
2009-11-30,8.0
2009-12-01,11.0
2009-12-02,14.0
2009-12-03,6.0
2009-12-04,21.0
2009-12-05,17.0
2009-12-06,20.0
2009-12-07,8.0
2009-12-08,24.0
2009-12-09,19.0
2009-12-10,12.0
2009-12-11,14.0
2009-12-12,10.0
2009-12-13,13.0
2009-12-14,9.0
2009-12-15,10.0
2009-12-16,15.0
2009-12-17,38.0
2009-12-18,25.0
2009-12-19,12.0
2009-12-20,25.0
2009-12-21,9.0
2009-12-22,15.0
2009-12-23,17.0
2009-12-24,8.0
2009-12-25,10.0
2009-12-26,9.0
2009-12-27,10.0
2009-12-28,13.0
2009-12-29,20.0
2009-12-30,16.0
2009-12-31,13.0
2010-01-01,17.0
2010-01-02,12.0
2010-01-03,8.0
2010-01-04,9.0
2010-01-05,6.0
2010-01-06,9.0
2010-01-07,12.0
2010-01-08,9.0
2010-01-09,10.0
2010-01-10,7.0
2010-01-11,16.0
2010-01-12,19.0
2010-01-13,12.0
2010-01-14,9.0
2010-01-15,14.0
2010-01-16,12.0
2010-01-17,13.0
2010-01-18,12.0
2010-01-19,16.0
2010-01-20,16.0
2010-01-21,11.0
2010-01-22,9.0
2010-01-23,9.0
2010-01-24,9.0
2010-01-25,14.0
2010-01-26,18.0
2010-01-27,16.0
2010-01-28,8.0
2010-01-29,11.0
2010-01-30,12.0
2010-01-31,10.0
2010-02-01,12.0
2010-02-02,24.0
2010-02-03,17.0
2010-02-04,22.0
2010-02-05,11.0
2010-02-06,17.0
2010-02-07,14.0
2010-02-08,10.0
2010-02-09,10.0
2010-02-10,16.0
2010-02-11,13.0
2010-02-12,15.0
2010-02-13,28.0
2010-02-14,13.0
2010-02-15,20.0
2010-02-16,21.0
2010-02-17,16.0
2010-02-18,20.0
2010-02-19,10.0
2010-02-20,39.0
2010-02-21,45.0
2010-02-22,24.0
2010-02-23,19.0
2010-02-24,20.0
2010-02-25,12.0
2010-02-26,7.0
2010-02-27,37.0
2010-02-28,16.0
2010-03-01,26.0
2010-03-02,10.0
2010-03-03,10.0
2010-03-04,12.0
2010-03-05,11.0
2010-03-06,21.0
2010-03-07,12.0
2010-03-08,13.0
2010-03-09,14.0
2010-03-10,10.0
2010-03-11,22.0
2010-03-12,17.0
2010-03-13,34.0
2010-03-14,16.0
2010-03-15,29.0
2010-03-16,9.0
2010-03-17,16.0
2010-03-18,22.0
2010-03-19,14.0
2010-03-20,14.0
2010-03-21,18.0
2010-03-22,21.0
2010-03-23,24.0
2010-03-24,19.0
2010-03-25,17.0
2010-03-26,16.0
2010-03-27,15.0
2010-03-28,16.0
2010-03-29,20.0
2010-03-30,16.0
2010-03-31,12.0
2010-04-01,14.0
2010-04-02,24.0
2010-04-03,6.0
2010-04-04,7.0
2010-04-05,14.0
2010-04-06,186.0
2010-04-07,21.0
2010-04-08,37.0
2010-04-09,81.0
2010-04-10,35.0
2010-04-11,26.0
2010-04-12,22.0
2010-04-13,35.0
2010-04-14,54.0
2010-04-15,124.0
2010-04-16,92.0
2010-04-17,59.0
2010-04-18,39.0
2010-04-19,32.0
2010-04-20,38.0
2010-04-21,33.0
2010-04-22,38.0
2010-04-23,39.0
2010-04-24,61.0
2010-04-25,44.0
2010-04-26,31.0
2010-04-27,40.0
2010-04-28,78.0
2010-04-29,54.0
2010-04-30,99.0
2010-05-01,43.0
2010-05-02,60.0
2010-05-03,43.0
2010-05-04,51.0
2010-05-05,37.0
2010-05-06,37.0
2010-05-07,31.0
2010-05-08,35.0
2010-05-09,39.0
2010-05-10,44.0
2010-05-11,39.0
2010-05-12,37.0
2010-05-13,42.0
2010-05-14,40.0
2010-05-15,35.0
2010-05-16,44.0
2010-05-17,42.0
2010-05-18,37.0
2010-05-19,42.0
2010-05-20,39.0
2010-05-21,48.0
2010-05-22,44.0
2010-05-23,51.0
2010-05-24,42.0
2010-05-25,112.0
2010-05-26,95.0
2010-05-27,63.0
2010-05-28,44.0
2010-05-29,55.0
2010-05-30,44.0
2010-05-31,45.0
2010-06-01,39.0
2010-06-02,37.0
2010-06-03,44.0
2010-06-04,38.0
2010-06-05,79.0
2010-06-06,38.0
2010-06-07,59.0
2010-06-08,52.0
2010-06-09,62.0
2010-06-10,56.0
2010-06-11,43.0
2010-06-12,59.0
2010-06-13,65.0
2010-06-14,58.0
2010-06-15,34.0
2010-06-16,36.0
2010-06-17,39.0
2010-06-18,125.0
2010-06-19,60.0
2010-06-20,67.0
2010-06-21,92.0
2010-06-22,43.0
2010-06-23,95.0
2010-06-24,65.0
2010-06-25,44.0
2010-06-26,114.0
2010-06-27,126.0
2010-06-28,916.0
2010-06-29,1083.0
2010-06-30,424.0
2010-07-01,149.0
2010-07-02,71.0
2010-07-03,82.0
2010-07-04,58.0
2010-07-05,70.0
2010-07-06,56.0
2010-07-07,77.0
2010-07-08,56.0
2010-07-09,77.0
2010-07-10,52.0
2010-07-11,1271.0
2010-07-12,8611.0
2010-07-13,1086.0
2010-07-14,733.0
2010-07-15,423.0
2010-07-16,386.0
2010-07-17,245.0
2010-07-18,215.0
2010-07-19,241.0
2010-07-20,196.0
2010-07-21,293.0
2010-07-22,223.0
2010-07-23,251.0
2010-07-24,164.0
2010-07-25,233.0
2010-07-26,246.0
2010-07-27,305.0
2010-07-28,158.0
2010-07-29,188.0
2010-07-30,136.0
2010-07-31,161.0
2010-08-01,92.0
2010-08-02,70.0
2010-08-03,76.0
2010-08-04,62.0
2010-08-05,77.0
2010-08-06,52.0
2010-08-07,39.0
2010-08-08,31.0
2010-08-09,44.0
2010-08-10,55.0
2010-08-11,46.0
2010-08-12,44.0
2010-08-13,41.0
2010-08-14,20.0
2010-08-15,33.0
2010-08-16,48.0
2010-08-17,38.0
2010-08-18,38.0
2010-08-19,25.0
2010-08-20,27.0
2010-08-21,38.0
2010-08-22,52.0
2010-08-23,27.0
2010-08-24,33.0
2010-08-25,39.0
2010-08-26,27.0
2010-08-27,35.0
2010-08-28,12.0
2010-08-29,21.0
2010-08-30,31.0
2010-08-31,23.0
2010-09-01,25.0
2010-09-02,20.0
2010-09-03,24.0
2010-09-04,14.0
2010-09-05,19.0
2010-09-06,23.0
2010-09-07,16.0
2010-09-08,25.0
2010-09-09,17.0
2010-09-10,32.0
2010-09-11,26.0
2010-09-12,15.0
2010-09-13,25.0
2010-09-14,33.0
2010-09-15,13.0
2010-09-16,23.0
2010-09-17,16.0
2010-09-18,21.0
2010-09-19,21.0
2010-09-20,30.0
2010-09-21,41.0
2010-09-22,25.0
2010-09-23,27.0
2010-09-24,32.0
2010-09-25,15.0
2010-09-26,53.0
2010-09-27,79.0
2010-09-28,86.0
2010-09-29,100.0
2010-09-30,305.0
2010-10-01,85.0
2010-10-02,61.0
2010-10-03,38.0
2010-10-04,107.0
2010-10-05,43.0
2010-10-06,79.0
2010-10-07,84.0
2010-10-08,68.0
2010-10-09,65.0
2010-10-10,72.0
2010-10-11,44.0
2010-10-12,22.0
2010-10-13,26.0
2010-10-14,15.0
2010-10-15,15.0
2010-10-16,20.0
2010-10-17,30.0
2010-10-18,17.0
2010-10-19,34.0
2010-10-20,20.0
2010-10-21,22.0
2010-10-22,11.0
2010-10-23,20.0
2010-10-24,16.0
2010-10-25,18.0
2010-10-26,20.0
2010-10-27,17.0
2010-10-28,16.0
2010-10-29,10.0
2010-10-30,12.0
2010-10-31,20.0
2010-11-01,15.0
2010-11-02,20.0
2010-11-03,21.0
2010-11-04,19.0
2010-11-05,18.0
2010-11-06,15.0
2010-11-07,25.0
2010-11-08,38.0
2010-11-09,34.0
2010-11-10,37.0
2010-11-11,43.0
2010-11-12,17.0
2010-11-13,19.0
2010-11-14,40.0
2010-11-15,129.0
2010-11-16,68.0
2010-11-17,15.0
2010-11-18,35.0
2010-11-19,23.0
2010-11-20,23.0
2010-11-21,39.0
2010-11-22,44.0
2010-11-23,18.0
2010-11-24,35.0
2010-11-25,23.0
2010-11-26,37.0
2010-11-27,46.0
2010-11-28,18.0
2010-11-29,14.0
2010-11-30,32.0
2010-12-01,89.0
2010-12-02,31.0
2010-12-03,46.0
2010-12-04,35.0
2010-12-05,30.0
2010-12-06,85.0
2010-12-07,77.0
2010-12-08,60.0
2010-12-09,33.0
2010-12-10,52.0
2010-12-11,75.0
2010-12-12,353.0
2010-12-13,386.0
2010-12-14,1042.0
2010-12-15,575.0
2010-12-16,520.0
2010-12-17,423.0
2010-12-18,385.0
2010-12-19,539.0
2010-12-20,606.0
2010-12-21,500.0
2010-12-22,409.0
2010-12-23,324.0
2010-12-24,286.0
2010-12-25,228.0
2010-12-26,221.0
2010-12-27,282.0
2010-12-28,230.0
2010-12-29,217.0
2010-12-30,548.0
2010-12-31,310.0
2011-01-01,203.0
2011-01-02,258.0
2011-01-03,300.0
2011-01-04,218.0
2011-01-05,371.0
2011-01-06,278.0
2011-01-07,251.0
2011-01-08,195.0
2011-01-09,193.0
2011-01-10,265.0
2011-01-11,281.0
2011-01-12,246.0
2011-01-13,285.0
2011-01-14,210.0
2011-01-15,193.0
2011-01-16,219.0
2011-01-17,293.0
2011-01-18,294.0
2011-01-19,172.0
2011-01-20,194.0
2011-01-21,242.0
2011-01-22,232.0
2011-01-23,185.0
2011-01-24,238.0
2011-01-25,249.0
2011-01-26,199.0
2011-01-27,199.0
2011-01-28,281.0
2011-01-29,194.0
2011-01-30,172.0
2011-01-31,251.0
2011-02-01,271.0
2011-02-02,333.0
2011-02-03,257.0
2011-02-04,312.0
2011-02-05,263.0
2011-02-06,282.0
2011-02-07,266.0
2011-02-08,305.0
2011-02-09,426.0
2011-02-10,2987.0
2011-02-11,2479.0
2011-02-12,1009.0
2011-02-13,975.0
2011-02-14,978.0
2011-02-15,822.0
2011-02-16,766.0
2011-02-17,850.0
2011-02-18,821.0
2011-02-19,628.0
2011-02-20,828.0
2011-02-21,968.0
2011-02-22,1222.0
2011-02-23,748.0
2011-02-24,925.0
2011-02-25,726.0
2011-02-26,813.0
2011-02-27,838.0
2011-02-28,866.0
2011-03-01,1284.0
2011-03-02,879.0
2011-03-03,857.0
2011-03-04,647.0
2011-03-05,485.0
2011-03-06,656.0
2011-03-07,1064.0
2011-03-08,1205.0
2011-03-09,716.0
2011-03-10,631.0
2011-03-11,574.0
2011-03-12,467.0
2011-03-13,388.0
2011-03-14,676.0
2011-03-15,584.0
2011-03-16,514.0
2011-03-17,516.0
2011-03-18,473.0
2011-03-19,391.0
2011-03-20,579.0
2011-03-21,3898.0
2011-03-22,1778.0
2011-03-23,4564.0
2011-03-24,1859.0
2011-03-25,1035.0
2011-03-26,758.0
2011-03-27,1112.0
2011-03-28,1276.0
2011-03-29,972.0
2011-03-30,935.0
2011-03-31,734.0
2011-04-01,597.0
2011-04-02,567.0
2011-04-03,759.0
2011-04-04,1386.0
2011-04-05,1308.0
2011-04-06,981.0
2011-04-07,815.0
2011-04-08,836.0
2011-04-09,669.0
2011-04-10,634.0
2011-04-11,1056.0
2011-04-12,954.0
2011-04-13,745.0
2011-04-14,845.0
2011-04-15,718.0
2011-04-16,1197.0
2011-04-17,1434.0
2011-04-18,1564.0
2011-04-19,1857.0
2011-04-20,1355.0
2011-04-21,994.0
2011-04-22,1003.0
2011-04-23,957.0
2011-04-24,1089.0
2011-04-25,1376.0
2011-04-26,1423.0
2011-04-27,1501.0
2011-04-28,1884.0
2011-04-29,1369.0
2011-04-30,1606.0
2011-05-01,1599.0
2011-05-02,1282.0
2011-05-03,1187.0
2011-05-04,1342.0
2011-05-05,1520.0
2011-05-06,1244.0
2011-05-07,1111.0
2011-05-08,1780.0
2011-05-09,3129.0
2011-05-10,2229.0
2011-05-11,2691.0
2011-05-12,2453.0
2011-05-13,2788.0
2011-05-14,2264.0
2011-05-15,2546.0
2011-05-16,22736.0
2011-05-17,12462.0
2011-05-18,7679.0
2011-05-19,16329.0
2011-05-20,10969.0
2011-05-21,7347.0
2011-05-22,6512.0
2011-05-23,6990.0
2011-05-24,8233.0
2011-05-25,17666.0
2011-05-26,8539.0
2011-05-27,6101.0
2011-05-28,4575.0
2011-05-29,5074.0
2011-05-30,6227.0
2011-05-31,13833.0
2011-06-01,15010.0
2011-06-02,21646.0
2011-06-03,21418.0
2011-06-04,11267.0
2011-06-05,12225.0
2011-06-06,15389.0
2011-06-07,12122.0
2011-06-08,17327.0
2011-06-09,17769.0
2011-06-10,15465.0
2011-06-11,22449.0
2011-06-12,23578.0
2011-06-13,22471.0
2011-06-14,20308.0
2011-06-15,23429.0
2011-06-16,21630.0
2011-06-17,18997.0
2011-06-18,14481.0
2011-06-19,13085.0
2011-06-20,29642.0
2011-06-21,18749.0
2011-06-22,21928.0
2011-06-23,15675.0
2011-06-24,10051.0
2011-06-25,7504.0
2011-06-26,7168.0
2011-06-27,9214.0
2011-06-28,7805.0
2011-06-29,8448.0
2011-06-30,7496.0
2011-07-01,6723.0
2011-07-02,4932.0
2011-07-03,4675.0
2011-07-04,5561.0
2011-07-05,5732.0
2011-07-06,5936.0
2011-07-07,6827.0
2011-07-08,5216.0
2011-07-09,3975.0
2011-07-10,3859.0
2011-07-11,4767.0
2011-07-12,4596.0
2011-07-13,6685.0
2011-07-14,12101.0
2011-07-15,5406.0
2011-07-16,4128.0
2011-07-17,3988.0
2011-07-18,5569.0
2011-07-19,6707.0
2011-07-20,7167.0
2011-07-21,5087.0
2011-07-22,3937.0
2011-07-23,3404.0
2011-07-24,3774.0
2011-07-25,5693.0
2011-07-26,6007.0
2011-07-27,4769.0
2011-07-28,4281.0
2011-07-29,3695.0
2011-07-30,2930.0
2011-07-31,3170.0
2011-08-01,4035.0
2011-08-02,4673.0
2011-08-03,5803.0
2011-08-04,4486.0
2011-08-05,6590.0
2011-08-06,5068.0
2011-08-07,4441.0
2011-08-08,5459.0
2011-08-09,4496.0
2011-08-10,3750.0
2011-08-11,3508.0
2011-08-12,3001.0
2011-08-13,2347.0
